,mntd4,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28
0.5,53.212740155,55.78245589000004,58.05774517625,63.357367378,57.236604914999965,59.70080147142854,59.162394713125,60.82885515444445,61.4178193525,62.33323616954546,63.0810658020833,66.5782029230769,73.1635462142857
1,57.440101885000004,59.80079044,62.060282005000005,64.77087101,59.93298836000003,62.244124290000016,60.98962921625,62.449118896666626,62.569510803,63.54648250727271,64.0914564441667,66.98793869230765,73.1635462142857
1.5,58.696,64.7130177633333,64.28462206249999,66.311789838,61.595972182500006,62.688520270714285,62.784905846875,63.546918758333305,63.752075024,64.64641361045454,64.4712951575,66.9953883076923,73.1635462142857
2,62.703368940000004,66.9508722266667,66.42076989499999,67.895555496,62.677327903333335,63.99462752571423,64.52341985,63.93600611111114,64.404632246,65.37165372363636,64.972287655,67.0838186923077,73.1635462142857
2.5,63.505897,68.08327793333336,68.700887525,68.29737702,64.75600871249999,65.16899824285717,65.733942275,64.67164338611107,65.25168350999999,65.98178554545454,65.15339263333334,68.1730545384615,73.1635462142857
5,76.1664715,74.4796097,74.3852747125,72.3702525,70.29706541666667,67.3274996142857,68.11682115625,66.82882947222221,67.01941362000001,67.51380929999995,67.03008374583334,69.0056007692308,73.1635462142857
10,89.9657175,83.75590326666665,79.81507194999999,76.86029148,74.7189307666667,71.88076225714282,71.97692939999999,69.9675094,69.58897969,69.52158672727269,69.11547900833334,70.2620980769231,73.1635462142857
25,110.561906875,99.29736274999996,92.0990534375,86.3089499,82.65277479166664,79.13048160714284,77.57964071875,74.87933872222223,73.987174175,73.08412404545456,72.5619516875,72.4709744615385,73.1635462142857
75,158.82763087499998,132.559835583333,117.6950159375,106.92880715,100.20919737500024,95.21123785714288,90.29506674999999,86.7900681944444,83.54517587500001,80.70838840909087,78.63999156249997,76.3668192307692,73.1635462142857
90,186.1143805,147.859477333333,128.657880275,116.68680692000001,107.8526109000003,101.3405287571429,96.14666918750001,91.97474152222217,87.64785018,84.12089821818184,80.91365947499997,78.08270644615384,73.1635462142857
97.5,189.428856,159.6801644250003,140.4282650625,126.68181545999998,115.79094800416665,108.01579030357169,101.5705683125,96.03900699166671,91.5430485275,87.00481813636364,83.0776526666667,78.9728642307692,73.1635462142857
98,189.428856,164.592894333333,143.149358515,127.727680172,116.72069280999999,109.50041646285756,102.35929591749999,96.79664926222225,91.965147692,87.10018936545458,83.2401379216667,78.9728642307692,73.1635462142857
98.5,194.822724,166.88011236499997,145.506745,129.18175768799998,117.79569178499999,110.08029493714271,102.87364706625,97.84698228444444,92.282334843,87.52478621636365,83.43989275,79.291576,73.1635462142857
99,194.822724,170.231958,146.54659410999997,132.169401446,118.73482056166634,112.07119977714285,103.63231060875,98.32190014999998,92.966642021,88.24562364090913,83.7810827116667,79.291576,73.1635462142857
99.5,194.822724,179.883861333333,150.87827478124998,135.36663819999998,121.21274963916633,112.86532408928613,105.307984491875,99.06413474611114,93.617665247,89.25329539454549,84.11649955624999,79.6457557692308,73.1635462142857
Median,136.4194275,117.43465,104.719312125,97.292667,91.6024401666667,86.69619157142856,83.8314823125,80.85279966666664,78.97895365,76.901351,75.47520116666665,74.60716434615381,73.1635462142857
Mean,134.35151358949997,116.03292144566667,104.71811060749998,96.94558001480002,91.33013619833335,86.80155192371429,83.85082453925001,80.74413513955555,78.7107905682,76.77813325372726,75.27994189025,74.30068772276921,73.1635462142857
