,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42,pd44,pd46,pd48,pd50,pd52
0.5,319.41446483000004,436.07405559,520.08490349,598.970347825,677.130552835,755.8139892600001,816.28751987,890.918616565,981.956636645,1067.876027475,1120.042890155,1191.98688612,1268.702876125,1335.4502454899998,1400.5952656700001,1475.7998582700002,1535.495348145,1601.05550394,1672.05627055,1735.1213054700002,1819.944853555,1877.993869075,1964.397110085,2095.382943
1,338.57184804999997,445.77545392,531.3475228899999,605.5415886,684.92007136,773.3372379499999,837.27533644,910.44661675,994.1802071799999,1075.52829789,1139.33839034,1204.90532919,1280.81224873,1340.37028901,1411.76955522,1484.8979390999998,1558.98670609,1617.05877524,1683.93613421,1746.10412552,1827.4745149999999,1896.2317713700002,1964.523554,2095.382943
1.5,347.8206742,453.339608485,551.4514323450001,611.3036293800001,707.11860699,787.6822007950001,847.74118438,919.848871875,1007.383911505,1085.0170554249999,1154.63585388,1213.726429105,1285.243790595,1350.9003653900002,1424.13478274,1497.104133835,1565.75409898,1628.563763025,1688.9154916399998,1758.281693085,1836.153744055,1901.46509559,1967.055156,2095.382943
2,355.96626288,462.12293158,556.66502728,625.97767314,714.18900782,792.1347517800001,857.63279346,929.500677,1017.624824,1093.44957928,1162.84082372,1225.3784171,1292.08010384,1364.8345683999999,1432.44429576,1504.79408788,1571.09996464,1639.10051822,1699.0389095,1767.332958,1839.1494217,1906.38348302,1972.3121108999999,2095.382943
2.5,363.68375012499996,469.641194375,561.0848126249999,637.7696208,717.8742617749999,794.76339395,873.161520225,936.67091475,1022.0007795500001,1102.064768,1167.949883325,1230.003427875,1300.14355135,1369.216509675,1438.9128578,1514.51291805,1579.289639925,1642.328566525,1705.241873575,1769.9735305,1842.008708325,1909.40265465,1976.6687791250001,2095.382943
5,379.48602095,484.9637297,576.1406617499999,663.4770993999999,741.8685097,829.20956205,900.4416974,966.11311325,1045.9097013,1121.5386001499999,1194.29981745,1259.10347975,1320.0525599999999,1395.76800585,1456.42416305,1531.3037522500001,1598.6797748,1659.52900795,1723.5323915,1785.6087235,1858.2122241,1923.2156228,1988.537051,2095.382943
10,399.6898702,504.9862283,599.0261248,684.0958977,770.3687446,855.4125085000001,926.9152072,998.3535999,1077.3420766000002,1149.0416917,1218.8780308,1283.9488408,1350.2272914999999,1420.2257975,1485.9021798,1559.7625543,1624.6854414,1679.0758819,1745.8445007,1805.2112875,1874.6565266,1938.6086889,2001.6286996000001,2095.382943
25,433.10853225,542.2405145,634.2131565,723.18096175,812.61210925,897.17196175,971.12118475,1045.76381975,1126.0837470000001,1197.1786610000001,1258.6543725,1328.91188025,1398.9371345,1464.06392125,1530.421045,1597.797804,1662.2259080000001,1717.0525245,1777.99042175,1838.68293975,1898.6225775,1961.5748250000001,2023.0089305000001,2095.382943
75,498.2829585,613.38433,717.867839,810.1819624999999,906.0632149999999,986.182918,1066.32930925,1145.00702875,1221.541495,1297.6439947499998,1355.24608575,1426.0508607499999,1492.6020125,1554.2919152499999,1618.1353135,1681.089971,1735.2062065,1795.7227067499998,1851.49791975,1904.3592935,1958.22000425,2009.85971725,2059.043351,2095.382943
90,522.517199,646.5560473,747.1759754,847.8510129,944.2047671,1025.9571030999998,1106.4057904000001,1184.7426604999998,1266.6257504999999,1336.7826138,1397.6008292,1463.5942511,1531.6213293,1590.2597861000002,1655.6493480000001,1718.6865245,1768.9123760999998,1826.7159204999998,1882.4089819,1928.8388313,1980.4736025,2026.3917746,2068.9190174,2095.382943
97.5,545.072909,674.507255525,776.382708,879.53756635,977.5870101,1061.299514525,1152.430698975,1225.7156627,1307.0933473,1370.288576975,1429.9212273,1506.444350325,1574.592034975,1634.749349525,1691.01774915,1755.366842125,1803.6530225749998,1857.657370125,1916.952376025,1955.601317125,2005.17293905,2042.3905407,2076.2353068,2095.382943
98,545.072909,676.0779055,779.8439058399999,883.2280314999999,981.44852426,1067.44367622,1155.9850779199999,1230.59609982,1310.58426426,1372.0747332800001,1433.96220982,1516.6730839,1578.04791112,1637.9880576799999,1695.374431,1759.7347728,1808.34625786,1861.0727421,1919.4685478,1958.59111154,2005.9385038,2044.0829394999998,2077.5190997,2095.382943
98.5,549.556889,677.89654778,782.466513105,887.131716645,985.50948919,1071.18397278,1165.181399115,1241.1320165149998,1319.3530642599999,1380.0206830500001,1444.19964338,1521.592485905,1584.043873955,1647.53831584,1701.84446704,1768.0060242499999,1817.7409942749998,1865.1282748200001,1923.87065127,1962.543260785,2008.054976915,2045.9599829649999,2077.920065,2095.382943
99,551.256889,684.86323605,790.12813467,898.32305164,993.52675533,1078.4113978,1170.91990551,1246.92399782,1326.81285095,1395.05606013,1450.18112815,1528.51462615,1591.96669365,1649.90985379,1706.94801342,1773.92321656,1824.0770607499999,1870.16834319,1930.8151544999998,1964.72157094,2009.8231321399999,2050.0816436,2079.30352574,2095.382943
99.5,560.1728889999999,697.278660975,800.31721739,910.222902425,1002.955596505,1091.44857594,1183.968805835,1255.100342575,1334.98357382,1402.220502315,1455.552209745,1538.549272355,1606.3001554100001,1669.4508523099998,1716.267190715,1785.6271702350002,1831.4650605099998,1876.31761964,1936.726717685,1974.31668725,2014.7050931649999,2054.16770199,2081.758534,2095.382943
Median,468.775231,580.2122850000001,675.2707095000001,769.271603,860.844204,942.1342115,1023.545807,1095.4906795,1173.837705,1247.1519480000002,1304.688264,1381.326142,1448.7927245,1511.1533325,1573.383004,1638.7862685,1698.122213,1756.7199095,1819.522767,1871.8070885,1930.13126,1988.4106405,2042.501704,2095.382943
Mean,464.111984808,577.087197145,674.158954845,766.299174104,857.779721624,940.102477182,1018.713021758,1093.561774479,1172.1826242070001,1245.6113518910001,1305.929339243,1376.253962148,1444.386393755,1507.913439755,1572.6355394549998,1638.4287930570001,1697.3596075130001,1754.8387839080003,1815.3026090609999,1869.9853353150002,1928.224477388,1984.5670934549998,2038.5334966849998,2095.382943
