,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40,mpd42,mpd44,mpd46,mpd48,mpd50,mpd52
Low,142.8798524433333,150.95166343035743,154.24626465444447,155.04588177499986,158.4034133631872,161.24767623666634,162.83612596601262,162.83113935657875,163.83788584393932,164.22579506177556,164.93162790584623,165.5445513342593,166.85183173953993,167.0217743212705,167.41449749269162,167.67280877753998,168.37473758477992,168.6756935451279,169.07178328397214,169.6342284282766,169.9772751219802,170.44081073058487,170.98069532718333,172.212805447964
High,191.393868133333,186.27599279821456,184.18216041333324,182.0294032242426,181.12106433736278,180.62124652875033,179.47649740228735,179.23328299894695,178.41744727272746,177.9490441831517,177.41099249599964,176.94750382063495,176.75896374908072,176.4536505891131,176.12183268983938,175.5864950930955,175.5028962610954,174.9592924614102,174.73843400249686,174.3953437790693,173.91358281647362,173.67204205425574,173.14284397395926,172.212805447964
Mean,171.8051625133333,172.32508213100002,172.19993408186667,171.8766040594242,172.08070921043955,172.26086606201667,172.1330408960915,172.24548238868422,172.31633064652812,172.33230986160146,172.15061377864617,172.24787658507407,172.26761302049195,172.2164233976411,172.17641278397505,172.12894488830156,172.24717694343096,172.12112138898718,172.2662705663368,172.20064897995132,172.23398936597485,172.23545487961877,172.2480332270955,172.212805447964
