,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28
Low,241.15669255,341.09765285,439.79995045,536.5169565250001,631.42517595,726.811097425,796.1634597249999,885.7669447,976.884088175,1048.5749391000002,1131.469687,1240.781681,1382.611863
High,390.880531,537.6028165,659.599745475,769.0539481999999,866.446760725,954.1353506,1029.4491452250002,1109.542196875,1178.836896225,1249.6290989,1310.1520495250002,1355.174623,1382.611863
Mean,329.834179028,448.249791228,555.8062175090001,656.107100142,749.396645007,838.6764432230001,921.5665431509999,1005.7617736480001,1083.478594943,1158.963337422,1233.590771109,1309.6954011330001,1382.6118629999996
