,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440,pd445,pd450,pd455,pd460,pd465,pd470,pd475,pd480,pd485,pd490,pd495,pd500,pd505,pd510,pd515,pd520,pd525,pd530,pd535,pd540,pd545,pd550,pd555,pd560,pd565,pd570,pd575,pd580,pd585,pd590,pd595,pd600,pd605,pd610,pd615,pd620,pd625
Low,1228.68661805,1554.527629725,1890.8587728749999,2208.674445225,2483.103914975,2835.12090915,3074.6471554,3293.44366075,3603.5688546750002,3873.7511768249997,4119.029752075,4308.05531255,4538.467485,4758.79728615,4985.390719325001,5165.840389125,5346.289727,5543.330472775,5741.52298145,5972.54093825,6102.876697150001,6258.510745225,6519.456642225,6680.2514128,6882.551370275,7033.3457664,7099.4541709000005,7303.1049741,7517.8033167,7718.860868825,7821.7735858999995,7891.785496175,8090.99803955,8290.068961224999,8428.51794115,8545.591272825,8722.77757185,8909.1036621,8948.40475385,9066.18833055,9291.865001775,9416.272339175,9488.751084225001,9695.0943914,9868.669831325,9950.220985324999,10102.259316324999,10308.937361125001,10383.676905075,10510.201646625,10742.1790305,10747.780296125,10906.3204009,10971.3399225,11151.7973561,11356.307398224999,11453.049651725,11482.161445975,11688.818192024999,11756.490583249999,12049.02520845,12115.562928575,12178.303988349999,12312.9548972,12421.318103425,12510.490273225,12671.121730199999,12865.5796847,12900.11636625,13115.568944925,13182.843965875,13313.337605249999,13420.3514681,13620.42710715,13720.931387475,13842.708888725001,13890.7038713,13996.216401925,14113.05057655,14253.267378475,14398.681578725,14539.799630025,14664.3682725,14758.30954845,14910.411082675,14989.617006575,15113.312201325001,15249.378718125,15330.304166475,15480.441272575,15565.4651325,15616.428902425001,15819.87180755,15905.9427596,16028.47747685,16187.285216875001,16207.437603725,16332.84736,16501.47484445,16651.43851395,16659.677635725,16831.94189105,16931.561737199998,17074.0866274,17213.508966100002,17267.566806275,17407.907087925,17521.758644949998,17623.70943295,17798.762529425003,17846.6301074,17984.863271975,18064.494656000003,18222.296576574998,18347.893974500003,18467.817422024997,18607.32587365,18710.709809225,18848.652832275002,18992.814713674998,19087.178305425,19237.580624125,19359.7312354,19640.327625424998
High,2074.31923675,2688.56998295,3172.238882575,3529.8397386499996,3926.75532635,4272.178898724999,4630.929349274999,5015.43488865,5256.016516524999,5566.603168799999,5820.2910271,5990.577792149999,6286.912418374999,6484.232817749999,6795.078816375,7056.0975102,7083.032986175,7385.4626449,7656.81966955,7750.2404554,8039.490804949999,8201.47034565,8410.989445675,8583.29292845,8691.336595375,8917.560321925,9070.422163525,9283.844674125,9411.664551349999,9563.878847375,9705.935262874998,9940.5335143,10024.94027325,10213.556831625001,10388.962828925001,10496.836396550001,10712.682443,10782.39883425,10942.09242785,11165.28644225,11289.706262349999,11386.889924325,11581.460483525001,11655.963427825,11780.214349425,11981.127003624999,12015.88690415,12204.8929239,12331.23288745,12478.7464913,12615.37466375,12668.01698425,12911.310344700001,13011.7035703,13126.3763863,13197.933474575,13381.540221574998,13476.627748674999,13644.4856195,13700.511091174998,13929.576385325,13975.249989150001,14075.00296555,14142.319415324999,14276.084309925001,14406.452224825001,14602.01530995,14675.670068250001,14782.266198199999,14880.949964225,15007.943628824998,15139.33418655,15224.535245475001,15319.678893049999,15411.40331485,15476.077097075,15656.682898425,15777.49339195,15845.775840925,15990.239318625001,16111.4268592,16178.524821575,16278.471599475,16361.267926875,16495.040019674998,16599.328630624997,16675.21519535,16831.90439555,16898.39821925,16962.534791125,17090.956724425,17128.837052475,17242.919547825,17364.929550475,17439.860998599997,17600.5647158,17626.237170475,17702.700755825,17833.21116105,17884.891349275,18010.040537524997,18074.568197775,18169.624312125,18258.245274825,18369.198005950002,18438.675428725,18533.02582955,18618.956054050002,18703.935975875,18800.46840675,18874.78781215,18978.787480299998,19041.7978569,19117.479188875,19181.752817475,19279.64958035,19349.086348375,19429.95667435,19501.18921505,19571.49566695,19628.086206025,19688.674308725,19752.429240875,19793.926133775
Mean,1601.900315553,2049.8654050520004,2453.998628612,2821.853478832,3172.5411137960004,3517.013378447,3798.811223876,4101.873253966,4371.804888375,4676.0674010190005,4912.836460971,5118.7873389139995,5374.578144968999,5605.982672496,5827.918742279999,6030.798034808001,6229.9982737089995,6449.164774231,6647.214851566,6823.728773415,7032.3841185989995,7218.874166832999,7419.187873368,7589.062606973,7767.41941585,7947.964542470001,8111.686548821,8263.847824503,8428.175986285,8629.915053807,8783.703876267,8905.721199477002,9078.912576942,9248.788885694,9382.438803426001,9536.899561162,9679.926246591001,9865.359205709,9978.306752029002,10138.992159058998,10308.972131136998,10416.244869726,10581.861138395001,10715.833073906,10870.293267658,11003.950769786,11094.132803646,11249.86277128,11387.710554563999,11544.381168007,11700.681966264,11782.530458366999,11923.567717875,12039.757668657001,12173.709929531,12301.557314663998,12449.111514036,12559.836084751,12733.357467507001,12806.805808342999,12972.39049297,13059.997631354,13190.372820223,13318.344991507,13428.747249082,13558.826692539,13676.967820639,13796.376383476001,13918.002478854001,14036.804219894999,14156.338322852998,14278.755704415,14373.705743383,14508.975181823,14636.091741638002,14725.520140873,14840.335281763,14978.469745083,15071.036609834,15207.718926867,15297.553211406,15425.440957476,15517.359021619997,15651.994514229,15738.385549222,15845.442712361999,15927.664706475001,16075.447325969002,16180.558090876,16291.923506698,16407.596776263,16473.133345555,16604.290970396,16718.138469634,16810.319598524,16952.936053732,17034.795790730997,17129.21001217,17247.053954222,17323.442424306,17440.138299223,17543.110422145,17652.669902189,17757.115571441,17860.606956086,17948.195365461,18053.713359328,18171.227500784,18256.459331807004,18373.104113365,18459.700411618003,18556.339768688,18662.590910356997,18758.177242878,18860.480471495004,18950.800175675,19062.711326061002,19156.501680968002,19256.323228238,19354.058842464998,19444.199612599,19546.293624852,19640.22241571,19746.483826522
