,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255,mntd260,mntd265,mntd270,mntd275,mntd280,mntd285,mntd290,mntd295,mntd300,mntd305,mntd310,mntd315,mntd320,mntd325,mntd330,mntd335,mntd340,mntd345,mntd350,mntd355,mntd360,mntd365,mntd370,mntd375,mntd380,mntd385,mntd390,mntd395,mntd400,mntd405,mntd410,mntd415,mntd420,mntd425,mntd430,mntd435,mntd440,mntd445,mntd450,mntd455,mntd460,mntd465,mntd470,mntd475,mntd480,mntd485,mntd490,mntd495,mntd500,mntd505,mntd510,mntd515,mntd520,mntd525,mntd530,mntd535,mntd540,mntd545,mntd550,mntd555,mntd560,mntd565,mntd570,mntd575,mntd580,mntd585,mntd590,mntd595,mntd600,mntd605,mntd610,mntd615,mntd620,mntd625
Low,106.2041095425,99.95826902999993,96.56035097500009,91.727992013,88.5183505833333,83.51124434357143,81.410866628125,78.42702217833329,76.1459984585,74.45445540318177,73.88189149124995,71.3754734196154,70.56344569428576,67.43040302066667,64.91304018,65.5297776017647,64.18359622055561,63.327143321842115,62.55124512275,60.67611177499998,59.35592697136364,60.80221748456518,57.69155199958337,57.584209561200005,56.944011275576976,55.991915131481456,55.44555665660713,55.0874180006897,54.50941969883337,53.402178475483844,54.1585835690625,52.4322763034848,52.42185952205885,51.73842846900001,51.303592760555524,50.67653131094598,50.20790042039472,50.09062208256408,49.741449988250004,49.35122069829272,48.29443927630957,48.29642432302326,48.375874171363684,47.764996791111116,47.354981746847855,47.100519871383035,47.05581481770834,47.025777996428566,46.051489617,45.815993738333354,45.94737184826919,45.22209470047168,45.56942269611115,44.96249352554548,45.27239134866071,45.28159737657893,44.33842391586205,44.59350725432202,44.02334280175,44.002648171311435,43.9158340195161,43.24129375412699,43.65252605640625,43.130355437769246,43.434435890984886,42.60522238992543,43.05967530389707,42.736617235724665,42.64436756185713,42.50714398028174,41.90742920104162,42.212060724178095,42.09155219567568,41.9934047543333,41.80158177355266,41.20263208883122,41.48131235474356,41.07325103468357,41.16314783575,41.1883696131482,40.456168473658586,40.99863925156631,40.56454939749997,40.70779160899999,40.478071840406976,40.09000507091959,40.083730267897764,40.153012133595524,39.85190948961115,39.93231428785713,39.606637420869596,39.7967967826344,39.85330426803188,39.35650708284208,39.27315200307292,39.432828428402026,39.27466391020413,39.082852665000004,39.1481539996,38.880397059108915,38.879874082009806,38.75295262121362,38.710763508221206,38.63943579966664,38.36222842485853,38.38911132018696,38.48256443541669,38.30718833385318,38.346260552227264,38.224602042567525,38.19087164705355,37.99821848553097,37.984205534517535,37.96731769360871,37.99299805284485,37.805570972735055,37.92707362444912,37.76825960436977,37.841365818166665,37.916736385454556,37.9300636636885,37.76188111609762,38.10317524169357,38.21960304248
High,308.9504759075,260.5543773816663,235.30989465125,206.12593175899997,188.59571606583364,175.60089340000013,160.80682791125,149.2138320683332,144.22180909699998,137.20481445500033,134.323002401667,122.51830963807706,118.41527015499958,113.39094090999969,111.2837191490625,106.446151120294,103.96703208472245,100.42684612710495,96.83786400525,94.94641754619046,93.09463434613635,89.35615699804349,89.13902848395833,85.5485556442,84.15464306230768,81.74861313259261,80.7165982939286,79.42274955068972,78.04619908649997,77.03537636822578,75.27384855796875,74.09069403090906,73.08942962411763,71.49550200485712,70.51922699583336,70.60297203918924,69.27589911118426,68.32656820653845,68.18325508987499,66.8829698828049,65.85256550000005,65.25497555139535,64.63800970000001,63.40141399222227,63.353225882826116,62.518301796489325,61.755133691041635,60.99270880295917,60.853065884399996,60.39201148931372,59.8538016724038,58.943778273396234,58.53541248685182,57.835302904909135,57.32959814803574,57.078671558947384,56.74465024137932,56.37939770754242,55.67874976541667,55.244780159918044,55.05187337419354,54.090860433174576,54.11936468140625,53.483964053153905,53.38842316325758,52.73834078970154,52.624728968014715,52.154109621159435,51.72611573428567,51.557460597605626,51.0955733553472,50.601147700068516,50.48490308918921,50.09315816206663,49.97714378585529,49.48802908253246,49.38391046935897,48.93513560867094,48.6881031186875,48.62796369771604,48.21247343085369,47.769652098614415,47.42605281660717,47.456894984647064,47.09665600901163,46.95216458327591,46.528746194375,46.25593124730342,46.0864161580556,45.79530896576922,45.56405741222828,45.3986103163979,45.23097076021276,45.00406005057895,44.77915349286455,44.537486263505194,44.21306922275511,44.10645508843437,43.807719492649994,43.64712659504948,43.44271488352941,43.20213534606793,43.057334849471175,42.84370436395234,42.63390197877357,42.323645092850505,42.19326288662033,42.03977066417435,41.79909558977278,41.62782269522525,41.52681051330359,41.25390276331857,41.08184065732454,40.858513206043455,40.69759291629315,40.47797561965811,40.34581316220335,40.08274500210081,39.86959846116667,39.73299972165293,39.46297358655734,39.22642665447153,39.01901811995964,38.74208032304
Mean,195.5353998633,172.05492266833335,156.9099383714,144.04830140372,133.76611750953333,125.40621171454285,118.08113622765,113.21581522046667,107.88171333382,103.35009630123636,100.67741183340001,95.83168744312309,93.50030894620001,90.03213157002666,86.666438752575,85.67279216995294,83.24528311343336,80.77677636530527,79.17841845952,76.88747143865716,75.51680108652728,74.62927320046958,72.74836993335,71.51398695176,70.44606143996923,68.84996700218518,67.96282996854286,67.31302267886208,66.29558494258666,65.35679064156129,64.37786642346875,63.41944950683032,62.65769501127647,61.855651797108585,61.509820548405564,60.72603755607028,59.93832638710001,59.51243450141539,59.134131884665,58.285302109175625,57.58421219873809,57.08479430702791,56.77462153945456,55.905302215253336,55.68946104674348,55.067976373221285,54.74228004100834,54.352991422644905,53.9486150286,53.436218780996086,52.974522957303854,52.58717587081133,52.37170557601112,51.893242113538186,51.62141577473216,51.41563445446317,50.907860955375874,50.628677713193234,50.157744093026665,49.85952924228525,49.683383997367756,49.30675631232065,49.03406312759062,48.577227120424624,48.51481058379698,48.136155230313435,48.085770573082364,47.66384293137681,47.28634409549715,47.233695534230996,46.882761577094456,46.77803691066576,46.48268534622974,46.282391563344,46.075809755368425,45.71635958165455,45.6331188604077,45.387802515736716,45.3239516365925,44.98940982852346,44.732496944160985,44.517388048139765,44.35356029530715,44.26167314221178,44.15813482440931,43.799349789839084,43.63620855380228,43.49026462741349,43.28653834218001,43.13386192686154,42.9660992824587,42.76593786607098,42.6582912526383,42.421642025305275,42.31216457098334,42.10785594875876,41.97640543871837,41.87231531318385,41.721370595682,41.67474510591485,41.44740304353334,41.23125008823496,41.20201835407886,40.992385403148575,40.86279266220567,40.7442013528729,40.628649518701856,40.42547417245138,40.335706549989105,40.14569046308829,40.1002249855018,39.94826504116815,39.802186627533345,39.69074980254609,39.607323691877596,39.43966830387864,39.339040542318656,39.19352507794791,39.10895363340167,39.009064661403315,38.882544685340996,38.749307586606506,38.64173998189194,38.5347215303216
