,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440,pd445,pd450,pd455,pd460,pd465,pd470,pd475,pd480,pd485,pd490,pd495,pd500,pd505,pd510,pd515,pd520,pd525,pd530,pd535,pd540,pd545,pd550,pd555,pd560,pd565,pd570,pd575,pd580,pd585,pd590,pd595,pd600,pd605,pd610,pd615,pd620,pd625
0.5,1135.955139125,1465.368551235,1766.17816766,2059.7999486450003,2292.735517575,2638.0373063549996,2927.0602541,3126.56334277,3419.1891851550004,3653.8617307000004,3965.985568795,4065.9501293050002,4357.678363875,4557.4451880550005,4768.624937144999,4889.713597185,5080.99952823,5244.91544719,5534.3874081700005,5782.878567265,5899.183587869999,6063.4514086,6216.011625894999,6392.758736985,6577.319459134999,6706.22203125,6938.21113434,6959.660127375,7204.34833823,7514.02573675,7574.1857832000005,7648.484829,7902.309754010001,8057.080974385,8155.91997324,8300.437252094998,8513.628915625,8660.63402171,8760.718827905,8798.08654827,9101.87225803,9097.156799285,9242.680715305,9444.258212895002,9618.235506975,9682.320265775,9857.13068387,9934.314373505,10076.429083165001,10265.55376974,10473.42552225,10403.135070745,10645.7947358,10749.635271995,10904.12808278,11049.665326065,11112.9863552,11237.137562845,11328.90262096,11404.48577698,11548.767360515,11778.505636835001,11872.856199095,11943.63019014,12137.988559950001,12262.493506935,12420.889901525,12411.032548399999,12721.103013525,12668.495570455,12757.197378025,12997.03444951,13142.74291987,13234.55528839,13405.584452475,13526.493111545002,13532.61245346,13628.75487207,13732.17566948,13898.637562815,14002.26337271,14118.670784235,14311.10966991,14417.820911390001,14501.26253354,14579.14922063,14751.53341505,14951.830918025,15051.276697705,15215.922226820001,15307.716895964999,15315.617135015,15424.490659105,15654.4420194,15694.68842735,15869.468224605,16053.423259625,16111.122717715,16185.098984339998,16383.584712005,16317.860853555,16584.133911484998,16651.77054169,16904.451765234997,16918.508721925,16912.022748965,17238.460277275,17303.76150068,17307.521505535,17559.13366636,17670.561326225,17785.071619275,17814.27645347,18091.259985405,18099.25143271,18224.005470319997,18371.273818395,18530.925314525,18628.27940905,18810.926862765,18963.145208399998,19112.825868975,19200.219698330002,19511.280098765
1,1196.39905652,1478.09751901,1792.58818661,2129.3304446200004,2358.64433234,2674.74296217,2988.60726514,3201.75369293,3475.54262196,3740.8003787999996,4005.8915338,4158.41170684,4411.01420163,4609.53332872,4888.0961283100005,5069.7047468499995,5241.59369215,5372.72275962,5631.13598181,5807.64596067,5990.97300896,6186.85069673,6336.804568979999,6533.67163446,6713.94212943,6907.49313713,6991.83073427,7064.6101248,7337.89030654,7603.636879809999,7708.6471892,7765.04359791,7965.52082407,8136.395042120001,8283.092282990001,8399.55487336,8588.84869701,8735.35809412,8812.13868087,8945.74545218,9165.54552073,9215.463373440001,9346.46570102,9582.24184072,9667.72926476,9756.19786448,9961.43916677,10109.478820839999,10187.196800310001,10327.41847223,10564.55258062,10560.284995670001,10737.247188239999,10850.536300310001,10943.94072847,11150.45579037,11243.50358759,11289.21945374,11523.15979183,11566.55540359,11690.65714306,11924.25440862,11943.619099910002,12100.404357500001,12200.14931586,12321.419577120001,12529.84569814,12724.835585249999,12778.13825969,12846.49164571,12996.6407208,13164.48073977,13236.09262254,13364.50116744,13540.64328534,13647.79941412,13805.56949706,13800.54496875,13855.83139983,14009.8994214,14246.8356911,14291.72787836,14446.322004430001,14506.793590020001,14710.39168089,14794.0766242,14921.8482822,15105.74627103,15179.66735261,15313.364712530001,15410.06272649,15437.43957044,15583.7517209,15744.19238474,15837.59680275,15959.51702224,16135.08019773,16209.40882323,16301.09425794,16453.61830156,16452.31126132,16676.62477477,16767.94251061,16986.29392124,17037.60589869,17132.679442829998,17329.49599216,17398.695926620003,17440.66514031,17694.075306839997,17740.35942709,17872.41379112,17906.036135349997,18137.680513209998,18213.90111229,18348.99540375,18474.950047090002,18625.53880501,18695.29180688,18892.95385604,18980.51513249,19164.1099416,19246.514641160004,19538.30863046
1.5,1212.8396057,1517.6902504500001,1844.2062478199998,2156.40676459,2402.441939985,2773.122726385,3017.5061908549997,3217.665708145,3517.938651075,3784.695133825,4048.35512717,4220.45389873,4444.151092615,4648.878122415,4910.560007970001,5117.21067063,5275.737677405001,5481.451886275,5654.2474360549995,5869.119357745,6063.8255424849995,6216.44587902,6435.54742307,6569.27484796,6785.813583165,6964.744236955,7038.86692117,7197.930773845001,7419.5800164150005,7662.914407055,7749.857242335,7829.8313854749995,8020.206334065,8189.49343605,8328.912169485,8427.86779754,8627.623103785,8810.31221534,8897.720060025,8998.41458425,9213.961218965,9315.88954459,9397.20224917,9635.93704059,9777.901702585,9861.59416,10009.785644309999,10214.82957681,10237.336803844999,10378.79040468,10657.92227293,10632.93810787,10804.173301665,10894.676117395,11004.995096424998,11272.08814336,11311.499145285,11370.079159445,11599.317146235,11647.889740755,11837.23273106,12045.652401755,12084.122832845,12214.998415205,12306.230724175,12402.457164284999,12587.025328329999,12761.94963239,12826.082456845,12976.44599716,13047.45905193,13205.288222095,13273.349815925001,13530.013945805,13597.37657974,13706.91222909,13849.597140130001,13862.105333235,13944.373919285,14156.74765519,14293.41352276,14453.41040867,14526.075017885,14626.08132298,14826.682202465,14860.805130440001,14989.511178895,15168.519440985001,15242.019547195,15396.885090235,15429.30226711,15499.505481040002,15719.098178305,15782.200782020001,15955.985614725001,16074.71832387,16164.189447475,16250.814148129999,16407.155566064997,16523.300016229998,16543.288303515,16727.05010163,16824.865827875,17015.38975083,17082.766072155002,17196.028666715,17359.607944425003,17480.24914194,17508.66762967,17720.23382603,17813.16638554,17905.780663914997,17981.867167509998,18159.000084854997,18285.501424560003,18397.424459085,18517.38527002,18655.39718118,18739.606984424998,18951.727699095,19016.153357655,19186.317356945,19282.05547871,19581.51072888
2,1222.36800196,1539.28679808,1857.48242688,2181.75212964,2433.80075326,2809.12420282,3057.89751296,3266.5002080400004,3572.92031704,3828.9270164,4087.17286618,4273.22004116,4509.94113874,4680.67307406,4938.40733126,5154.90633734,5331.11628734,5514.2891946400005,5709.77685946,5922.88235568,6092.5623195,6250.00576522,6500.29082938,6651.4731093400005,6820.39085782,6990.60498928,7072.480627479999,7258.00807916,7473.6987103599995,7699.070407239999,7800.48169926,7865.62301512,8083.655934439999,8230.483236,8361.14519504,8523.37102576,8681.73163238,8868.62091842,8923.55673208,9035.957208900001,9274.565745439999,9349.845788179999,9462.00220562,9658.89600584,9825.03677918,9928.51053566,10072.46345162,10256.76948876,10299.49120686,10471.139187300001,10701.69682234,10676.64235836,10835.06827622,10928.02080848,11101.44743176,11315.16048446,11428.98575672,11411.39624698,11616.70275214,11728.21022576,11994.76523316,12081.57472618,12136.06480238,12295.484553679998,12378.80548526,12479.180317920001,12647.276464319999,12784.365278640002,12867.71635638,13052.896774480001,13105.710016179999,13267.68972852,13338.97642794,13575.4901983,13645.18695538,13751.00699772,13876.01451796,13921.62042124,14032.11478096,14214.836511,14350.43100028,14487.96500706,14597.152558880001,14713.35582412,14875.26086394,14937.46113112,15038.04097026,15212.6107051,15284.9719418,15438.971679060001,15488.34538976,15567.70069956,15769.38141288,15843.25845004,15991.61453912,16129.35846822,16186.83718554,16316.251274639999,16449.890396619998,16563.49171494,16608.09300552,16762.33642164,16889.86447422,17043.9541225,17141.6762077,17247.08741984,17391.456773240003,17495.457866200002,17603.377744179998,17773.80223338,17823.17717578,17944.11398572,18024.21015324,18189.19987552,18313.132919919997,18444.56716706,18570.97712706,18699.186127200002,18795.93973072,18973.203753920003,19044.74007788,19212.37061396,19309.6252225,19609.9755531
2.5,1228.68661805,1554.527629725,1890.8587728749999,2208.674445225,2483.103914975,2835.12090915,3074.6471554,3293.44366075,3603.5688546750002,3873.7511768249997,4119.029752075,4308.05531255,4538.467485,4758.79728615,4985.390719325001,5165.840389125,5346.289727,5543.330472775,5741.52298145,5972.54093825,6102.876697150001,6258.510745225,6519.456642225,6680.2514128,6882.551370275,7033.3457664,7099.4541709000005,7303.1049741,7517.8033167,7718.860868825,7821.7735858999995,7891.785496175,8090.99803955,8290.068961224999,8428.51794115,8545.591272825,8722.77757185,8909.1036621,8948.40475385,9066.18833055,9291.865001775,9416.272339175,9488.751084225001,9695.0943914,9868.669831325,9950.220985324999,10102.259316324999,10308.937361125001,10383.676905075,10510.201646625,10742.1790305,10747.780296125,10906.3204009,10971.3399225,11151.7973561,11356.307398224999,11453.049651725,11482.161445975,11688.818192024999,11756.490583249999,12049.02520845,12115.562928575,12178.303988349999,12312.9548972,12421.318103425,12510.490273225,12671.121730199999,12865.5796847,12900.11636625,13115.568944925,13182.843965875,13313.337605249999,13420.3514681,13620.42710715,13720.931387475,13842.708888725001,13890.7038713,13996.216401925,14113.05057655,14253.267378475,14398.681578725,14539.799630025,14664.3682725,14758.30954845,14910.411082675,14989.617006575,15113.312201325001,15249.378718125,15330.304166475,15480.441272575,15565.4651325,15616.428902425001,15819.87180755,15905.9427596,16028.47747685,16187.285216875001,16207.437603725,16332.84736,16501.47484445,16651.43851395,16659.677635725,16831.94189105,16931.561737199998,17074.0866274,17213.508966100002,17267.566806275,17407.907087925,17521.758644949998,17623.70943295,17798.762529425003,17846.6301074,17984.863271975,18064.494656000003,18222.296576574998,18347.893974500003,18467.817422024997,18607.32587365,18710.709809225,18848.652832275002,18992.814713674998,19087.178305425,19237.580624125,19359.7312354,19640.327625424998
5,1260.2709842,1622.446623,1965.0004677499999,2288.4679923999997,2604.8168423,2926.82852925,3175.8161219999997,3467.012828,3715.40430275,3961.44569645,4218.81944155,4418.78280395,4665.7972843,4874.14733545,5121.8014797999995,5292.7890676,5498.3661798,5701.93584,5927.3824797,6096.6676622,6237.90564445,6443.4539899500005,6650.1122399,6790.5108998000005,6977.0991765,7187.53368895,7283.98115035,7422.1190867,7635.14489385,7825.5453022,7956.4960209500005,8042.145746599999,8183.218506,8417.6321931,8539.598220599999,8704.5355884,8842.329263650001,9056.46974995,9125.4581437,9219.186495400001,9438.429554350001,9563.6296845,9701.68557865,9827.604647799999,10062.5386043,10208.2050308,10283.480146099999,10438.18449745,10571.7329069,10648.51264395,10926.325941000001,10910.78189295,11043.2274454,11133.701586199999,11309.72249715,11517.66980655,11643.75049275,11710.23171575,11906.8270192,11933.761970200001,12165.72161355,12248.58979445,12377.00860895,12553.4539683,12637.96638745,12730.802556800001,12856.9084033,13009.3044582,13091.54466395,13249.5360549,13358.22606995,13537.559087950001,13575.66193775,13731.977754250001,13867.381087900001,13993.6203451,14090.43558225,14188.012063600001,14296.89555315,14412.644737600001,14544.25281275,14705.764874600001,14832.6839678,14924.0684748,15053.2369429,15152.599594649999,15268.53951595,15375.743675250002,15502.82763655,15600.1173894,15693.46038535,15766.6806009,15924.63282585,16095.0944215,16182.968831350001,16330.14666305,16412.020683749997,16499.4650152,16618.4259139,16738.6964146,16853.261924550003,16941.562585749998,17069.19607095,17155.76925755,17330.48763685,17397.5917981,17514.0094594,17662.11474485,17729.77741485,17896.41522445,17975.29043115,18127.51777585,18183.929840949997,18319.191047049997,18461.094421849997,18559.742843699998,18696.860340649997,18800.1621663,18916.003317000002,19081.00354885,19148.557464150002,19315.68146805,19452.96694895,19676.82579325
10,1313.6539186,1699.4329409000002,2084.5391813,2399.5463584000004,2725.7370404,3055.3106229,3304.2797463,3581.6608713,3866.3943064,4125.5905791000005,4333.9066931,4545.3849556,4830.5563455,5058.2072981,5255.4557331000005,5440.1212355,5642.5910783,5829.3857351,6045.3991671,6252.7265886,6403.6015475,6597.8120894,6807.4878799,6955.9114909,7114.6247625000005,7359.1569491,7442.2367298,7613.7680785,7767.6563754,7966.3525205999995,8117.7379635,8244.8080314,8388.8461776,8577.754175,8751.9179389,8881.329290200001,9003.3626442,9242.2877564,9290.7079515,9407.0539364,9655.8094502,9732.134998000001,9895.8283867,10047.0725819,10232.3514775,10370.1430726,10439.54219,10598.2522716,10756.8418254,10843.3979721,11109.505223299999,11102.8914681,11259.653789900001,11349.326289800001,11520.4705191,11692.116528800001,11791.2689131,11878.0258614,12096.3783993,12147.6396758,12336.6185257,12441.439563,12520.4697207,12744.4430042,12818.7065798,12928.465773,13060.7640872,13189.1852922,13290.5204195,13429.663322400002,13557.574729599999,13686.4602331,13748.7336878,13922.128223900001,14058.2835254,14181.5637195,14276.609225400001,14367.9434324,14485.589949700001,14628.5030345,14706.444223100001,14873.4746851,14996.6906903,15132.3620697,15200.0236491,15277.7072866,15408.209474700001,15541.1855709,15675.28333,15756.4888529,15871.1735101,15906.8569964,16074.2724495,16216.279683300001,16334.194703000001,16476.1151455,16564.539604399997,16652.3525062,16792.236098700003,16874.7386215,16992.6566987,17124.5901399,17211.6725901,17325.4971918,17463.3395323,17530.4104205,17674.8983464,17785.611812799998,17869.8339104,17996.8409419,18104.3906682,18224.9486106,18334.3827471,18446.514079999997,18571.8396615,18664.1086425,18803.8966459,18897.5078088,19022.738826200002,19148.008147700002,19250.1005578,19400.6696201,19529.298565200002,19701.9564828
25,1444.71056325,1848.84910375,2226.5857967499996,2593.8392185000002,2933.52169075,3255.785221,3519.43204,3812.46173575,4061.8420015,4380.389477250001,4608.507737,4813.5970705,5084.7752977499995,5290.1754915,5524.105185,5683.94681775,5907.4451535,6097.67921825,6299.3742235,6488.665828,6679.65020475,6885.1763615,7059.68313225,7238.341592,7413.4398117499995,7625.163219,7766.917549,7931.09404475,8093.33344525,8279.06703875,8481.271242,8538.316063499999,8717.53165475,8900.50897375,9044.3882495,9203.24577275,9332.13745525,9544.31015675,9602.62809025,9805.63357375,9967.43354225,10050.31960425,10229.503596,10397.991669500001,10519.47295775,10649.391523999999,10747.2875095,10890.241282750001,11059.40229125,11192.1805565,11395.2935775,11466.260404249999,11587.48930675,11688.70273125,11849.38621725,11978.66476675,12118.643969249999,12253.19268275,12408.4079645,12503.72479425,12671.60487875,12737.26152925,12851.95611025,13010.2809005,13118.253139,13233.63247225,13360.920393,13489.700722000001,13604.46423975,13739.460515,13867.1696405,13963.4024425,14095.232596,14213.8947495,14319.379035,14433.922184250001,14553.096313,14682.1198505,14787.19235,14934.00666675,15018.79962925,15153.1380295,15239.2560565,15387.5105,15491.69866525,15570.67122525,15669.55172275,15804.7466635,15915.337464,16041.73093875,16166.244853999999,16223.033671250001,16360.0892245,16466.21833925,16584.99439675,16723.9736165,16813.05027675,16897.3297115,17034.03323825,17104.099153,17245.94153825,17353.60549925,17475.043337249997,17568.59242125,17687.382648,17767.99852025,17871.5910375,17988.717146,18097.1319435,18199.879351249998,18304.312977,18398.2769795,18527.633433749997,18631.831058,18739.691512999998,18823.94208325,18961.46231325,19054.42168625,19182.78018875,19273.76661175,19387.59349875,19500.13594875,19609.23046225,19731.8844455
75,1741.64821325,2229.02221025,2648.0734175000002,3032.5114694999997,3411.8466660000004,3762.89699525,4031.2214705,4349.6066145,4651.074049,4981.814555999999,5208.1900027500005,5422.95816975,5655.710027,5916.139741499999,6119.2282405,6328.53037775,6568.6320965,6791.834854250001,6976.74215025,7146.445259499999,7373.19896425,7533.89229525,7756.10517775,7948.96934525,8093.34928825,8264.12185025,8469.82730425,8625.81931675,8754.93252825,8987.5977005,9108.036455,9260.089250500001,9458.43697775,9574.051697249999,9729.29019825,9872.60282925,10028.45381125,10212.5869285,10363.558032,10495.737776,10677.6283,10778.1009275,10935.55196575,11070.03164725,11205.552056499999,11345.423111,11447.215181,11610.939967,11739.842628,11899.258072,12013.029392999999,12132.46573525,12271.2460585,12402.58868825,12496.30571875,12634.107703000001,12802.224234000001,12913.1625365,13066.82531475,13134.17027425,13302.49658475,13379.802153,13539.91038575,13651.769500999999,13769.89621275,13879.64556375,13991.90979125,14125.326665249999,14250.8191895,14371.64591325,14472.4462215,14623.74347,14688.37293825,14826.8675215,14966.7385025,15038.06003375,15139.328046499999,15316.561064,15384.90253925,15518.229472500001,15606.80700225,15719.7666355,15819.87432975,15941.23647,16002.76583225,16144.99976875,16200.202948,16353.646167,16467.98979825,16583.73575225,16686.772619000003,16779.3641745,16883.77470875,16974.539351,17061.6047475,17210.4828905,17286.9084095,17387.0864545,17487.86459375,17560.7921695,17689.47890175,17768.722528749997,17879.566578,17990.11083175,18069.6066505,18170.5015275,18258.55852925,18383.74228025,18460.489399749997,18560.48543575,18644.41789025,18737.08940325,18841.47757825,18915.47657775,19015.773266250002,19102.19362175,19196.06280475,19290.886320750004,19375.4819805,19458.18594525,19539.96926325,19623.86341925,19702.65240125,19775.069814000002
90,1902.2713576,2416.1511208,2884.3564091,3240.9011021,3629.3100143,4005.0594259,4323.3541439,4652.3582447,4947.4778063,5269.723202599999,5507.523572200001,5716.7236653,5953.9788087,6200.1778496,6418.9524127,6644.7367818,6851.7765798,7077.0250703,7278.2530423,7414.335977899999,7664.1526411,7893.9531471,8063.9135236,8225.4835053,8405.820630499999,8577.310468399999,8757.691138600001,8893.0107052,9073.8225537,9264.5459575,9421.099973999999,9570.688873199999,9724.5711601,9916.7057006,10022.4122956,10193.3301821,10342.530255900001,10486.4902658,10618.059795699999,10803.640719500001,10960.3567537,11052.946629700002,11253.2550208,11389.7793645,11518.6610189,11635.725570800001,11745.740881,11930.9735711,12004.1839678,12208.019208400001,12313.416519999999,12398.229980200002,12561.0639543,12700.146229,12806.7710257,12895.0283114,13070.3152924,13208.4620488,13362.7035038,13425.9461099,13588.676531199999,13688.5905737,13792.0251377,13887.890024,13991.0085159,14149.3230325,14291.0800342,14376.603472499999,14532.4320914,14617.0416501,14726.5940896,14851.4124135,14948.3870728,15069.361750099999,15215.7975936,15270.7700716,15406.850298700001,15530.7529315,15601.7946042,15742.3549364,15870.4137896,15947.0416005,16037.614085399999,16156.0652435,16233.5203428,16366.4194073,16437.382602499998,16607.422680300002,16677.421303,16748.3174554,16889.409202400002,16942.2493072,17050.4939601,17164.957175300002,17243.645833399998,17401.9508553,17465.7806389,17549.364729300003,17671.4026742,17742.6647036,17843.740818100003,17905.2570381,18039.6257953,18130.7907644,18220.7135754,18307.6915719,18407.4023457,18502.9117041,18577.046434,18691.9525573,18750.6828031,18853.6306631,18940.5616743,19018.8799389,19095.7043491,19188.6816326,19273.2518422,19362.1711053,19439.7287039,19510.385858899997,19585.7404915,19659.4729925,19730.0416665,19785.4899822
