,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255,mntd260,mntd265,mntd270,mntd275,mntd280,mntd285,mntd290,mntd295,mntd300,mntd305,mntd310,mntd315,mntd320,mntd325,mntd330,mntd335,mntd340,mntd345,mntd350,mntd355,mntd360,mntd365,mntd370,mntd375,mntd380,mntd385,mntd390,mntd395,mntd400,mntd405,mntd410,mntd415,mntd420,mntd425,mntd430,mntd435,mntd440,mntd445,mntd450,mntd455,mntd460,mntd465,mntd470,mntd475,mntd480,mntd485,mntd490,mntd495,mntd500,mntd505,mntd510,mntd515,mntd520,mntd525,mntd530,mntd535,mntd540,mntd545,mntd550,mntd555,mntd560,mntd565,mntd570,mntd575,mntd580,mntd585,mntd590,mntd595,mntd600,mntd605,mntd610,mntd615,mntd620,mntd625
0.5,73.5570719330001,75.92852600199994,81.517400654,74.9226219234,77.36956422866669,75.05211817457143,71.089340256125,73.1020928868889,70.60678664779999,68.48393143363634,66.79297742325006,65.16844865561546,65.49060592407147,60.42285562393333,59.754281853687495,62.082964665176505,60.3795710334445,58.03034619542104,59.1518473762,57.071136007999996,53.05360076236369,58.05824627086964,54.88032272187503,55.18232257084,54.10857366338467,52.54910800485185,52.471511696642835,50.971640836758624,50.87231769296667,50.77665290109679,51.225950075312504,49.523785182848506,49.93168728585296,49.190196980742854,48.75600783658332,47.41654813621625,46.70646839818426,47.30192051812823,47.045379645625005,47.08428530956097,46.00428619476191,46.34011797216284,45.51503922261366,45.56766601904447,44.340206045782594,45.00222069946806,44.64677642206247,45.12014248722446,43.98603829678,43.44526313184319,43.98482427719234,42.30211211562265,43.77097600375922,43.411083419399965,43.73247467105363,43.816657115526326,42.34663463322418,41.77622569740681,42.3976977470167,42.56986301668852,42.82290855811293,40.903600632238046,41.95506215217188,41.10903324193847,42.44124689484849,40.986109098402956,41.57488194276467,40.342924356507254,41.04346254867144,40.94047224878873,39.62176999675001,40.82419528753428,40.25225145394593,40.153232836813295,40.498600027223645,40.54339186675324,40.0257787884744,40.026687973354434,39.3323175868625,39.47585741444442,39.2988551168659,39.78621643089155,38.984325907059514,39.465483690599974,39.71154892529068,38.89387231473561,38.36578396762505,38.78967941153932,38.60058684284447,38.30239252908791,38.63067355740214,38.948187258043056,38.701833788808514,38.75102154653686,38.50831053914583,38.34825192335056,38.472993765612244,38.159517145666655,38.20721010886,37.980917411683144,38.21877513640193,38.25548569193203,37.827445820394196,37.92877808329522,37.504517879641554,37.93568506385044,37.70241409156485,37.44974421197248,37.74206647502731,37.849065909801816,37.608571346133886,37.45761080023004,37.30049655683329,37.295725100113096,37.17789148880171,37.40801624116239,37.057652974771194,37.23268338144533,37.29867290923333,37.09226313382642,37.320900101549206,37.201700511073135,37.46869042944357,37.949454817544
1,85.104393446,85.37114154599996,87.44446020849999,83.1861172916,79.0139229253333,78.87783603199993,73.40883530674999,75.10939845666668,72.00225362340001,70.49330112763636,70.99783463133333,67.15506532553847,66.96991416600001,63.968952269866605,62.6992949345,63.122288691529434,61.90372478877773,60.65351451778949,61.0041002383,58.18308503980954,56.71197848436367,58.77429092895653,55.85375793741663,55.9793738224,54.796603650384625,53.88345550103704,53.214751137714316,52.923168436344874,52.2400186930667,52.209402161161265,52.436924708375,50.379834581818166,50.98956133876466,49.88994153051426,49.72791808444442,49.593257297675706,47.93048633552629,48.0431046522564,47.761865755200006,47.91064328107318,46.39027043438098,46.93302977246512,46.60675903072723,46.36034510519999,46.283199045739174,45.700736351744645,45.67775698500004,45.65009105730608,44.6821291156,44.39647299647056,44.53370076973076,43.87360215845285,43.97538885555554,43.94759782643632,44.03269901214287,44.36696598249127,43.15312038489659,42.50983352125422,43.1280659385,42.95822141822955,43.04891057280642,42.204423917111114,42.5944857265,41.93920117587688,42.87880148539392,41.4469099538508,41.713360796529386,41.67057239744932,41.720171491742825,41.69089073732398,40.791264759138876,41.3419117968767,40.955481864567595,41.08083544602663,41.32876900086846,40.732856782389646,40.555668170897405,40.42820159382282,40.118930393250004,40.183704932691406,39.69981570075609,40.49220108527713,39.83666536114288,40.075573767341155,40.01793850379075,39.451413120229915,39.39460379527275,39.29661743265167,39.21112540700002,39.284785570351694,38.94607518841306,39.223576656150534,39.08994978091489,38.93271421027374,38.7480464443958,38.83713808901027,38.76902188657147,38.53285760268683,38.51260347996,38.18273588988119,38.48565302531376,38.35411453213597,38.05885393832694,38.080931434342915,37.90409314498114,38.015061731140165,38.04410541422228,37.83718607893576,38.01301181356368,37.94235101079283,37.8086419916964,37.607933158177005,37.52347402977193,37.52401302808695,37.47787571134487,37.53338748128202,37.50978347959323,37.4660634783025,37.40307285711667,37.35712644446278,37.4729962207869,37.306826843203275,37.85262426540322,38.057080077536
1.5,94.3605078535,90.684419333,90.38403023775001,85.82318582260001,84.3520110996667,80.51036101842861,77.6984768555,75.78946996577773,73.9209178003,72.15414035845458,71.9635530439167,68.9399163341539,68.59393994871425,64.7950492068,64.020197834,64.28242512705879,63.019930394833395,61.60462766573687,61.3664488025,59.62154265247617,58.29070706350002,59.38820098269562,56.12810406575,56.50900078964,55.39255350053844,54.90906999625924,54.49494327864285,54.09380619737926,53.0905190591334,52.780217971871,53.181944329468756,51.738489597909116,51.63472639876474,50.57307671511431,50.38772734749997,49.99089520291891,48.747153105078986,48.89825562169235,48.2881926901,48.319467186048776,47.0077458230952,47.531805115232544,47.455089692386316,46.872644397533335,46.35700095817396,46.04301160127664,46.188794562125004,46.36649704487753,45.08930721278,45.34239800303923,45.13068154013465,44.409010786830216,44.89910376794443,44.328467971527246,44.73065115680359,44.628565188193036,43.747277965758606,43.55605897323729,43.5936318293167,43.40881413078692,43.4285483151452,42.43437427658727,43.007272856734374,42.64329608501536,43.04026961510609,41.733260650000055,42.11071623210292,42.11778223318843,42.01335939248573,42.02731836853523,41.35690282455553,41.651256391917855,41.66781610179733,41.495313322680005,41.54774708630261,40.905683952363596,40.90070232671801,40.568184184620314,40.6101336097875,40.45147605111115,39.993813528731735,40.768713549975864,40.2456544824881,40.28877592239998,40.21593841791862,39.74789150425287,39.57755942917047,39.49802721901119,39.53207861271113,39.613547710714286,39.121592083119545,39.52551367229036,39.36452313928726,39.153895586378965,38.8760988317292,39.12702200885566,39.049739126061255,38.815973985616175,38.89413237302,38.39530660208914,38.58452983608824,38.51067107505825,38.34104293145189,38.408152131857115,38.08469714934902,38.09467286402805,38.295834220212974,38.10872056111008,38.15204589151822,38.07933538993697,37.932444207580346,37.80923811220352,37.83951167657896,37.71766855604351,37.706389165543094,37.628303718846176,37.62468204640676,37.55367228940339,37.6465773818583,37.67965578842976,37.53761390585243,37.440265229073205,37.97940253428225,38.131021532472
2,99.6926956059999,96.99641917733337,92.771595742,90.23215312319999,86.25332848866663,82.3493932097143,80.6569506015,77.758235188,75.6608580404,73.44996780036361,72.391938047,70.13553992646158,69.81325937314288,66.5156804368,64.47697476675,64.93811490588241,63.71290299355561,62.30429597157893,62.2363503934,60.11837879542853,59.13681698727279,60.32724292295656,56.705611937333366,57.245307519040004,56.16600695692304,55.64716040355555,54.826692977857185,54.636157518344845,53.64898063666671,53.21595155406453,53.66155273225,52.213295200727266,52.123781005176426,51.09639920502856,51.035930391,50.23344689816213,49.53254483957892,49.733595259794825,49.299795235599994,49.12387102497566,47.602083234190424,47.74306282362795,48.15743395045461,47.44808540693332,46.76571288591303,46.42157873531918,46.71804331941664,46.58609817632658,45.75768640168,45.670374203372525,45.69994148569235,44.98484201547173,45.35205362733332,44.72890131672725,45.0842126108572,44.79790401017544,44.12030568889654,44.437185924542405,43.83461122799997,43.72196540406556,43.59746419941934,42.973285246031786,43.2268060784375,42.95763025864619,43.3256283861818,42.12313264764178,42.82206423452941,42.50457680284057,42.48190945479998,42.32439974118312,41.637686221388876,41.88575143304113,41.877423830108114,41.77517175824,41.6756015081053,41.037310866961,41.186635300359,40.72024391675948,41.021563100049995,40.87236409767906,40.2009396086341,40.837882703518055,40.384597100809586,40.47531307731766,40.284265942790654,39.98085046491953,40.00116389663637,39.896326000629266,39.707638876755574,39.8157907253626,39.35569996643482,39.5736199510968,39.50302746336168,39.207302687452604,39.189705780583296,39.36913326197942,39.1654963541633,38.95816006682826,39.06083899208,38.64607517132676,38.68788331854904,38.56415595145629,38.52548625642312,38.54386053584759,38.12919204611323,38.22626299218689,38.43732470155557,38.22345903732111,38.22340902501822,38.137924156864905,38.04415402246429,37.90325205872567,37.90016016456138,37.80988781822613,37.806557772862035,37.70191909015386,37.838963221694875,37.63337943193275,37.723720548766636,37.73382632049592,37.65349415508195,37.61638457583743,38.03564350587096,38.176944984416004
2.5,106.2041095425,99.95826902999993,96.56035097500009,91.727992013,88.5183505833333,83.51124434357143,81.410866628125,78.42702217833329,76.1459984585,74.45445540318177,73.88189149124995,71.3754734196154,70.56344569428576,67.43040302066667,64.91304018,65.5297776017647,64.18359622055561,63.327143321842115,62.55124512275,60.67611177499998,59.35592697136364,60.80221748456518,57.69155199958337,57.584209561200005,56.944011275576976,55.991915131481456,55.44555665660713,55.0874180006897,54.50941969883337,53.402178475483844,54.1585835690625,52.4322763034848,52.42185952205885,51.73842846900001,51.303592760555524,50.67653131094598,50.20790042039472,50.09062208256408,49.741449988250004,49.35122069829272,48.29443927630957,48.29642432302326,48.375874171363684,47.764996791111116,47.354981746847855,47.100519871383035,47.05581481770834,47.025777996428566,46.051489617,45.815993738333354,45.94737184826919,45.22209470047168,45.56942269611115,44.96249352554548,45.27239134866071,45.28159737657893,44.33842391586205,44.59350725432202,44.02334280175,44.002648171311435,43.9158340195161,43.24129375412699,43.65252605640625,43.130355437769246,43.434435890984886,42.60522238992543,43.05967530389707,42.736617235724665,42.64436756185713,42.50714398028174,41.90742920104162,42.212060724178095,42.09155219567568,41.9934047543333,41.80158177355266,41.20263208883122,41.48131235474356,41.07325103468357,41.16314783575,41.1883696131482,40.456168473658586,40.99863925156631,40.56454939749997,40.70779160899999,40.478071840406976,40.09000507091959,40.083730267897764,40.153012133595524,39.85190948961115,39.93231428785713,39.606637420869596,39.7967967826344,39.85330426803188,39.35650708284208,39.27315200307292,39.432828428402026,39.27466391020413,39.082852665000004,39.1481539996,38.880397059108915,38.879874082009806,38.75295262121362,38.710763508221206,38.63943579966664,38.36222842485853,38.38911132018696,38.48256443541669,38.30718833385318,38.346260552227264,38.224602042567525,38.19087164705355,37.99821848553097,37.984205534517535,37.96731769360871,37.99299805284485,37.805570972735055,37.92707362444912,37.76825960436977,37.841365818166665,37.916736385454556,37.9300636636885,37.76188111609762,38.10317524169357,38.21960304248
5,117.363054385,108.73039117666634,106.966246665,97.18256852600001,94.415584025,91.29449277142851,86.28117000875001,83.94652781555558,80.36374481300001,77.97353475999995,78.5197463216667,74.69994564923086,73.1079710257143,71.40216715266664,68.19861544125,68.41498998352938,66.0465939788889,65.27319239684212,64.89159411499999,62.36914527857147,62.56015254863631,62.25349914999998,60.19592703,59.6667050344,58.792108393461575,57.789689907037015,56.551961287857104,56.34061509689653,56.0767138883333,55.176740575806434,55.538693928125,53.50488374121219,53.56962267294116,52.695839108000015,53.073867999166666,52.545550979459485,51.669050628684204,51.40981373769229,50.9811865295,50.42225930390244,49.95987074880952,49.770112576279054,49.69572335954543,49.046803764444434,49.02008030000004,48.62153197787231,48.586910658333366,48.288371816938806,47.5271930542,46.989105740196074,47.13536160923074,46.639700676226376,46.64154437759257,46.36054653654551,46.411377251607114,45.952062685964954,45.53119150775862,45.36689252966101,45.132447363500034,45.022557539836086,44.85992893161292,44.67033834317457,44.52602155046875,44.019467636923075,44.33388499833334,43.81870852343289,43.84560251529409,43.54001173869571,43.378697344142836,43.24086443098592,42.870243104166626,43.045670007808226,42.70974998851348,42.7072398650667,42.52148202223688,41.94086871623382,42.03397388730772,41.759034299620275,41.8242044375,41.77643043135801,41.37311602536591,41.48417540819275,41.14876572976192,41.19421871341175,41.445358047790734,40.715774349425295,40.733395203295466,40.661230487303385,40.614457700333304,40.28228887692305,40.20638567500003,40.21136043881722,40.22064352617022,39.836498154947336,39.85400399895833,39.838633912164966,39.67781815142862,39.44192229363639,39.6594156047,39.50622458940599,39.2828947403922,39.02998714553401,39.11833401413458,39.01235018314285,38.803194502358544,38.89156777467294,38.88010491138887,38.57703387229359,38.758279003727246,38.55408699549554,38.57620321741069,38.46737576973448,38.37377009061401,38.2473063829565,38.25131270068962,38.1996510771795,38.25949641042377,38.11737193226894,38.151470201,38.1903502680165,38.274911749426224,38.21192952040651,38.23997638241937,38.281027009679995
10,129.71484955,119.9308274866664,115.80054068000001,107.993781032,101.6099011099997,97.27806997142854,92.041274805,90.30074984000002,85.83594459599999,81.9196114236364,82.22051971666664,78.4502424938462,77.12813334857141,74.52209560000003,71.40837874375,72.01471325529417,69.74192710555556,68.10197707263154,67.313317711,65.4850907580953,65.09062488090916,64.37754118347827,62.84639050333333,62.0936215648,60.902811987692324,60.085051736296336,58.96303378142857,58.972424226896536,58.26492568800006,57.31372891032262,57.195746189375,55.948238062424196,55.39776684235296,55.13499027142861,55.09147943499995,54.13976371621623,53.49459765421052,53.28068526051286,53.048236895500004,52.12045018731713,51.71333632428572,51.7862328111628,51.344241588636365,50.32396020488887,50.44840668565214,49.90566767531914,50.0137157783333,49.80942517591839,48.983983504,48.73189445529408,48.497972011923046,47.92915134113209,48.127997358518556,47.718347160000036,47.40449488392853,47.48704186385967,47.03927507620689,46.88727354508473,46.33632112399997,46.08719426459018,46.16975165612905,45.6344794803175,45.477696269374995,44.981884841230794,45.21146269000001,45.03567206208952,44.96814642911762,44.51991633130436,44.19905720485712,44.261151443661994,43.821784708888934,43.854604945205466,43.59884339540537,43.4315926418667,43.25825083973686,42.790157157402575,42.95953643230766,42.916480820000004,42.671793929500005,42.39804655234569,42.27399631609756,42.15023263831328,42.01820360309524,41.92832511270589,41.991354534883726,41.586303356321814,41.48473736318179,41.39468165123594,41.12106002022226,41.04545174395605,40.94868247173912,40.82412387010755,40.70998416851067,40.43175052736845,40.35423882354167,40.383761015670146,40.18909678897958,40.13636987979802,40.1117149834,40.13211224633666,39.86127846960782,39.57037353961166,39.75594412519232,39.438999442476224,39.31558298264153,39.369701927289775,39.389358417592554,39.10453404935777,39.18549986945453,38.97841025639644,39.025933456428554,38.779033764247785,38.81504063736839,38.70072679356518,38.65952383379311,38.52354594666669,38.57129303576271,38.50258303310927,38.5344562243333,38.47262293057851,38.441645384426224,38.39204511837401,38.33356951306454,38.37997406224
25,153.90278337499998,143.59630669999973,131.513953825,124.30805529,115.42528984999976,108.62059692142824,103.52483534375,101.028075594444,95.82396339499999,91.51398144090913,90.13280783750002,86.47312967692307,84.78000491428573,81.38476692666666,79.06460835,77.77917519411764,75.60044830833333,73.84955834473689,72.44636303749999,70.6489617452381,69.18774975681822,69.02352517391304,67.36874083333335,65.959920384,65.29929936538463,64.03479200555554,63.35126374642855,62.863775577586175,62.0862187466667,60.9834993467742,60.483119125,59.49668349545452,58.68144794117645,58.44029126142857,58.172189666666696,57.20249435675677,56.89351910657893,56.0868830564103,56.06320196,55.25285108170732,54.6586658416667,54.30894282906975,53.8141894556818,53.28916297666665,53.15703201956525,52.38343543085107,52.15778226145835,52.188511889795926,51.509577791,51.223936737254924,50.86360781923075,50.29381990849055,50.37071612962968,49.678473040909076,49.662961892857155,49.39665050964915,48.92082756293107,48.6800877618644,48.17208578416665,47.804161687704905,47.858665732258046,47.62219284365077,47.1994215515625,46.7677946969231,46.7732415840909,46.57221893731342,46.433547391176525,46.06245665217395,45.76305822785713,45.6696964971831,45.4754809354167,45.343352848630175,44.94215116148648,44.82451330199998,44.65702486249997,44.2620007792208,44.2313791974359,44.20341895000005,44.13683727,43.66454476728392,43.525652297560974,43.3156838186747,43.132711018452355,43.10824469588238,43.11193412848835,42.64269456724135,42.5605838875,42.39146086348315,42.2439036055556,42.158142665384624,41.997591004891305,41.745246747311874,41.687171625,41.485587602631576,41.3762205036458,41.17192748762885,41.13069546224492,41.03177940303033,40.938167688,40.98709964158412,40.64334564460782,40.42562836067965,40.58984275288462,40.273373557619024,40.23118637405663,40.14570535327105,40.040789635648125,39.877822689449545,39.771623215454525,39.57960526576572,39.63333723348212,39.46899984380528,39.38508316885962,39.31893852086958,39.234339020689674,39.079749856410274,39.02248376610168,38.917703087394976,38.84991541874997,38.776771027685975,38.69394273647543,38.60429989024388,38.5296388709677,38.4787540184
75,233.39429955000003,198.34426576666698,179.5264827125,162.55517682,152.1348235083335,141.33916064999974,131.8126924875,124.94996810555526,119.44186640999999,113.89927329545425,110.054649845833,105.0580790076925,101.49929225357175,98.96785184000001,94.109310690625,92.73596922058827,90.36822883055552,87.84399809999998,85.29334401999999,82.98196938809528,81.27141873409093,79.61142643043478,77.94317484791667,76.607941108,75.78360425384619,73.43509152037038,72.58102295892857,72.07957882241377,70.52262243833333,69.56642847741938,68.0310962765625,67.21377559696973,66.63405802058824,65.58258998857144,64.87282574444447,64.16938554594596,63.24554295263155,62.802198920512794,62.312239500000004,61.35458425731705,60.6464217285714,59.91654292209302,59.64215196818183,58.542393308888954,58.47743811413045,57.8094259138298,57.19818238020832,56.628777067346974,56.49060935,55.89512345980395,55.1904047163462,54.96298926509435,54.5252935435185,54.35549956909095,53.777568667857125,53.56391575964915,53.04092902155175,52.67291882372878,52.25195306,51.963715058196726,51.63162701854837,51.172728841269844,50.8282933234375,50.508260078461575,50.34900618030302,49.8878338604478,49.794031684558796,49.381473942029025,48.92437447857142,48.81157204577465,48.475175688888854,48.368706694520576,47.97330850675672,47.76927060066667,47.58982446381577,47.240932381818176,46.97510491153847,46.755165060759474,46.758518679375,46.27606325740737,45.99552244390247,45.743926282530126,45.6513896863095,45.50483379705883,45.32575587093022,45.0538370764368,44.79337861477273,44.68079243932582,44.46232455833333,44.240997779120875,44.0768758733696,43.80917628064515,43.66379392819145,43.520474040526324,43.3273285776042,43.09853597989695,42.938418354591846,42.83101291262625,42.606246057,42.482965688613874,42.2964523348039,42.102888065048525,41.9718331850962,41.80211196428573,41.65082365707545,41.481947530841154,41.3042590884259,41.13743982477065,41.00469378727272,40.792348903603624,40.651666501785726,40.55082598495575,40.309277069298226,40.19303880695652,40.0842145866379,39.8872538350427,39.7630858194915,39.55986693319332,39.4502674845833,39.311574242975176,39.13298287418032,38.96935667479675,38.801522787500026,38.6184717588
90,266.44941605,226.484347186667,201.66325794500003,183.572109856,167.0016103566667,156.14372883714321,146.0072119,136.948732593333,131.11790823599998,125.8268705854542,120.89454514166671,112.8519099676921,110.4207985685713,106.24925569333361,101.58183936625001,99.6850630788235,97.1964115077778,93.49458434526312,90.614196895,88.43724250476187,86.2499659863636,84.41540880434786,82.39750047083331,80.77206220080001,79.87522190846161,77.4372420585185,76.49925289285717,75.33810958206898,74.19389881200003,73.11762089548384,71.477514673125,70.64319955878787,69.64180247529413,68.26387635828567,67.63076792888889,67.00895665189195,66.04679341105262,65.42303885948724,64.84642570999999,63.995452740487806,63.1004744214286,62.39399347395345,62.0101559468182,61.1574857791111,60.91869951434786,60.01836456085104,59.5062706741667,58.928682267346986,58.8758044944,57.90921127176469,57.43062298423075,57.01335494716981,56.598874966296314,55.90554522581816,55.49000680892855,55.324165985263164,54.668353651724125,54.49132017084743,53.95199481433336,53.662695974754115,53.10463770774196,52.77880984063495,52.5054887721875,52.02195295138466,51.731871299393966,51.49026518985073,51.156089194411756,50.759659710434825,50.308725281428536,50.07596518760564,49.63168295527775,49.56143268054798,49.190691006216255,49.00313156746667,48.720090329473656,48.486511319999984,48.255357187948675,47.80204525316457,47.839873403,47.452339087160475,47.16620325878049,46.79927630771089,46.56294821857143,46.5091819317647,46.20715808069769,45.87218762459773,45.59723299409093,45.47842093595503,45.18852374733337,45.09167401758239,44.86110800978262,44.64693129677422,44.425163809361734,44.24067958105261,44.02737869041664,43.80919630474224,43.54782973857141,43.53832734080813,43.188747682,43.0840218665347,42.8696143121569,42.69071189106797,42.52410643596155,42.3459960702857,42.105035545282995,41.9203747614953,41.77326105574074,41.57322923669721,41.36996069981822,41.186668758558596,41.01436558696427,40.91772584106195,40.68965262473682,40.52034196973912,40.43696727517238,40.22066689042734,40.032573568474554,39.830906023193315,39.6719323171667,39.511783350743784,39.30247060426229,39.10086161040651,38.89423008225811,38.66101682336
