,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385,mpd390,mpd395,mpd400,mpd405,mpd410,mpd415,mpd420,mpd425,mpd430,mpd435,mpd440,mpd445,mpd450,mpd455,mpd460,mpd465,mpd470,mpd475,mpd480,mpd485,mpd490,mpd495,mpd500,mpd505,mpd510,mpd515,mpd520,mpd525,mpd530,mpd535,mpd540,mpd545,mpd550,mpd555,mpd560,mpd565,mpd570,mpd575,mpd580,mpd585,mpd590,mpd595,mpd600,mpd605,mpd610,mpd615,mpd620,mpd625
Low,216.68045209722223,228.1096299961907,243.42214182934183,247.316414809833,247.58535298034522,253.20749911420177,259.05620667445555,260.20847982227303,264.53516844267307,269.0493890006736,269.58191806556505,271.95685889915825,274.02651365891336,276.01623271124333,276.9309914058228,278.8711089623111,282.4051800864733,279.08854944858945,284.6822685341868,285.2698641574998,284.43231928902435,288.2455429175059,285.56788775338936,287.9257283220061,287.41883512604693,289.1744224535818,285.64113845568346,290.30867057051717,288.11837680828467,292.64816624651843,293.3091399435244,294.6846339129047,291.5035944643283,294.62624924440377,294.1234603496776,294.5703072623589,294.29310952685057,294.8839919241083,295.4672190649159,296.789929417542,297.5986074821951,295.40897199894385,296.178046396999,297.54828284848594,298.4720596711656,298.5602067566775,300.3718457221565,299.15485933393813,301.4848355046429,300.55760489487994,298.2305607311796,299.81803962749746,300.6584552305167,302.28525231355155,303.20973901024036,301.03818120921784,302.40763677694207,303.1880529571014,302.1950770873743,303.70703557739364,303.4629289534575,303.6386850726405,305.09391877491345,305.40633711284767,304.55554703086955,305.3038014120176,304.2415862286772,305.07652509447956,306.8191714609866,307.0177329696368,306.84024748330455,306.13736868943425,306.26505232086396,306.54997418081314,307.83717078517424,308.7419953726985,307.87422740093564,307.44140472070427,308.06906384124653,307.6307828883306,308.53070706878975,307.86866209843686,308.94978307426845,309.5016875270352,309.1022993270056,309.91273431188597,309.74232909884074,309.6563981078747,310.3794204887708,308.9280413913975,311.0761609914834,310.94881226101796,311.3181989613644,310.8173850604672,312.0588834341735,312.0641674261857,312.18453553371006,312.0331397870962,313.0200159971099,313.00044424130914,312.7312299122657,313.33869032665626,313.54769926872325,313.1541056635925,313.98980191976386,314.36827847283365,313.8543004102617,314.72978523531873,314.55734432196704,315.21765118481954,314.98585791413325,314.85223559197556,315.68451825673003,315.59303303059784,316.4282418905591,316.0153035106583,316.28249029179995,317.05463115745613,317.20226640168283,317.63684248588515,318.17599460260266,318.85639052114453,319.2028704961854,320.19629158607273
High,504.57762928555564,449.7051153376186,441.1760847877634,425.85713744849966,405.90989818614895,405.58693819747936,396.09646814897417,394.73533667767697,387.836317466857,385.39589279878817,382.4638151972455,377.0861541530292,374.08172794541423,373.87783381145954,372.89994661915335,372.0176267866105,366.0859536996438,362.0423442628893,362.9430192904598,359.3279183987543,362.3338852710138,361.7322616548517,360.0771546533685,359.12945198463837,358.55295483710773,358.0134710813157,354.69465887576035,356.2864219838892,353.9434101675106,354.54399885747785,353.4070382217712,353.40262423447484,351.2216471606475,352.8294166736622,351.98828040035255,350.1115027960284,351.11156398914136,350.5572159712315,348.3297795876518,347.3172232735896,347.119608256525,346.0219524946012,347.41673226700647,346.9128450003867,347.11635873587215,342.7152963003331,343.87479463140016,344.34639280414035,342.45150346010774,342.73365137215524,343.00857625675064,341.3784686285849,343.43130944030713,342.7888429051017,343.14561226149203,340.40429063504945,341.088896257182,340.40117789741294,341.34201193313123,340.2015285289117,338.54680195957934,340.75780096784973,339.939402611248,337.88182501254084,338.33768219018765,337.7264540041718,337.27685240237224,337.9151949605621,337.4122326694466,336.8986915720338,335.9355231801332,336.70196992423155,336.77126228844605,335.6366151710741,336.82078522499665,336.21688776910906,334.2915244522552,335.7678287281581,334.8785118630565,333.8602393143964,334.24047657676084,334.06802243378513,333.8040603670078,335.0948752050346,333.1447246289258,332.88848997940687,333.1965035328235,332.5731743865672,333.0932805751467,332.1444300834231,331.82895710446866,332.3732587401655,332.1896043908502,330.8186951677581,330.87710603100123,330.97803222367446,330.5732920755456,330.70261987917934,330.11984492720745,330.1873436822364,330.59458331377414,329.7385769651385,329.58316814792937,329.17853996334435,328.5225159891915,329.11028655504896,328.0266916036952,328.23885051692105,328.32973843140076,327.74638106235795,327.69047028725777,327.43346611421674,327.0459438426513,326.6280776965723,326.44843446710706,325.90287298703527,325.70511183358695,325.44583272790754,324.93443699291333,324.7909148782457,324.35206105243554,323.69981233787246,323.056523381394,322.3594225405009
Mean,322.939487299889,323.5740660756381,323.26887499511054,322.2800586240934,321.76292036191956,322.29735324578155,320.7189718730987,324.3528365300384,322.81386359238775,321.8036842541617,322.0423705776475,320.63645996213944,322.40552549767665,322.01505004702636,321.27565549046557,322.891058924739,322.2246990820614,321.4417769397228,322.3008411829392,321.05404654004764,322.23222511678523,321.9844734451939,321.4016502899591,321.96580245584676,322.172727796271,321.84010176798455,321.29647614490534,321.5732504329628,321.2733671682688,322.3609191293629,322.11933847635396,322.23619426141613,321.5568446827715,322.6566577117309,321.09857659749423,321.7612956147032,321.82136650329585,321.9249534149548,321.6730973626503,322.09870909680217,322.2372743405363,321.4042860476279,321.7071535402919,322.57535413665096,322.1546518893027,321.1644811059452,321.76166037363805,321.9800951566548,321.925947083318,321.2501588594921,321.5961471833978,321.29356376635013,321.61275801924506,322.09183568988925,322.364176371796,321.0347770499506,322.15932962803384,321.82192767437675,321.6976844623592,321.91797161404054,321.26229673510846,322.32311005327773,322.26064456395693,321.7818588876445,321.90029724469713,322.0078934208585,321.6325011257199,321.9920976527548,322.02450103180803,322.1096156717646,321.6203511683066,321.41619103052585,321.79419645641144,321.8236924378238,321.8552312880728,322.1711911354968,321.7641218001544,322.1327995904798,322.0008205234789,321.7886564743043,322.0368403164956,321.592599555968,321.850106885616,322.07959591063343,321.67781170851146,321.63165471377505,322.0888877409956,321.8418707707857,321.96340320066986,321.4513282025862,321.9039758781227,321.99022374567227,321.92070025865297,321.7735304769904,322.010842039914,322.0355793301304,321.9291133509268,321.7823357979823,321.90594649130134,321.931350501555,321.88172323006773,321.95948987200404,321.8783353461663,321.673954640655,321.8191914123758,321.96340247493305,321.6328924939906,321.7912995251222,321.86145478551305,321.9226094919264,321.8825862807805,321.8602143070921,322.0106801087733,321.8237305476049,321.87965699855005,321.7732304886915,321.80930124870133,321.89446483218705,321.7614060109547,321.89500525037744,321.8703886244505,321.93224281659826,321.8795270527028,321.9229246774598
