,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440,pd445,pd450,pd455,pd460,pd465,pd470,pd475,pd480,pd485,pd490,pd495,pd500,pd505,pd510,pd515,pd520,pd525,pd530,pd535,pd540,pd545,pd550,pd555,pd560,pd565,pd570,pd575,pd580,pd585,pd590,pd595,pd600,pd605,pd610,pd615,pd620,pd625,pd630,pd635,pd640,pd645,pd650,pd655,pd660,pd665,pd670,pd675,pd680,pd685,pd690,pd695,pd700,pd705,pd710,pd715,pd720,pd725,pd730,pd735,pd740,pd745,pd750,pd755,pd760,pd765,pd770,pd775,pd780,pd785,pd790,pd795,pd800,pd805,pd810,pd815,pd820,pd825,pd830,pd835,pd840,pd845,pd850,pd855,pd860,pd865,pd870,pd875,pd880,pd885,pd890,pd895,pd900,pd905,pd910,pd915,pd920,pd925,pd930,pd935,pd940,pd945,pd950,pd955,pd960,pd965,pd970,pd975,pd980,pd985,pd990,pd995,pd1000,pd1005,pd1010,pd1015,pd1020,pd1025,pd1030,pd1035,pd1040,pd1045,pd1050,pd1055,pd1060,pd1065,pd1070,pd1075,pd1080,pd1085,pd1090,pd1095,pd1100,pd1105,pd1110,pd1115,pd1120,pd1125,pd1130,pd1135,pd1140,pd1145,pd1150,pd1155,pd1160,pd1165,pd1170,pd1175,pd1180,pd1185,pd1190,pd1195,pd1200,pd1205,pd1210,pd1215,pd1220,pd1225,pd1230,pd1235,pd1240,pd1245,pd1250,pd1255,pd1260,pd1265,pd1270,pd1275,pd1280,pd1285,pd1290,pd1295,pd1300,pd1305,pd1310,pd1315,pd1320,pd1325,pd1330,pd1335,pd1340,pd1345,pd1350,pd1355,pd1360,pd1365,pd1370,pd1375,pd1380,pd1385,pd1390,pd1395,pd1400,pd1405,pd1410,pd1415,pd1420,pd1425,pd1430,pd1435,pd1440,pd1445,pd1450,pd1455,pd1460,pd1465,pd1470,pd1475,pd1480,pd1485,pd1490
0.5,917.48999689142,1249.6802169313,1540.0526717942498,1855.0177575886999,2120.1949612450003,2432.6153692638,2665.5508881621,2978.1960583649998,3081.2605487938504,3416.3274003944202,3641.435933230185,3818.03485910204,3914.76412978218,4213.0692201169,4390.83005983365,4568.24962569548,4701.47843992226,4880.0341101433405,5055.440054058635,5263.583931644161,5412.057129187261,5588.309958033755,5726.72329713747,5874.70926781379,5963.19589794017,6151.010637807608,6366.373955431083,6421.92726774688,6539.7005857181,6645.469007112015,6846.927154600026,6977.47954514332,7127.482337169515,7282.04370557152,7282.6809970753,7431.299138387725,7545.612719134455,7759.296260995535,7750.05084296109,7943.91575157837,8139.476568171645,8151.1854442692265,8284.878419460985,8314.18978050695,8439.646521799994,8533.11113309344,8732.309368703929,8832.14548881263,8948.675492543005,8999.192802709711,9115.914649673445,9171.25861231655,9440.162494133805,9446.984984860854,9512.235405429006,9566.164680647145,9648.950405691741,9706.182500533205,9950.316241059654,9977.156130936079,10078.94013484665,10207.449933577735,10178.161957844794,10413.347616882294,10387.428719264639,10513.113008925025,10634.179996667386,10654.59403438457,10959.849268125898,10893.919953591892,11045.942873327735,11100.937979054195,11209.557453529802,11238.037525401796,11425.2085728474,11410.897473051195,11491.10992060094,11640.153046331932,11741.016636239026,11772.782510912979,11875.299409798465,11894.606503014755,12056.10402396137,12178.38721321209,12159.403624053957,12385.167640016893,12378.1701682722,12467.981262720665,12516.901051230425,12613.319161678646,12643.357003419213,12803.093173091007,12857.107198446047,12799.415065059848,13006.8729304734,13121.993590502447,13105.61095832,13268.559758274105,13373.181363615775,13440.811945206306,13304.398825967726,13579.951589873815,13644.907679875494,13751.104988471407,13828.898235878003,13725.61487736943,14014.554291184417,14071.818883715036,14088.05567852312,14081.365666197045,14239.896135979308,14350.203371394704,14174.413330179046,14370.795248755785,14566.663161436769,14533.016020059484,14604.133803225224,14792.402097078511,14793.141125652184,14872.758370824538,14832.387496499847,14940.076687588155,15047.590033826142,15120.454224339432,15250.651841542922,15235.807114546038,15418.001581122457,15489.453394519995,15463.575030754057,15482.89789914408,15556.458326707616,15678.098088941111,15823.38323376204,15922.085647111491,15954.422698876422,15899.426556553723,16077.006125009102,15991.450490450006,16126.081261948646,16212.257536249655,16331.60884611626,16338.76484234563,16429.262290379185,16478.0422998275,16566.437896377403,16695.58587066963,16744.106176432517,16733.057418150634,16734.51935194202,16943.034802214523,16956.04668623356,17057.25148765573,17101.359278887103,17034.61568967026,17256.11772765822,17248.085981041855,17278.09495197394,17374.489664110795,17424.862611305973,17445.127021370674,17579.539500423714,17652.002061323317,17558.380359086943,17696.825859984197,17871.817046283933,17894.52301405196,17936.66178148889,18033.401510872045,17869.765670150246,18117.739005278072,18151.277979974835,18228.0346521964,18381.96484773269,18403.140802591486,18322.772821558785,18522.124839746415,18512.304817403725,18615.162112432936,18612.96883948353,18740.848181678874,18834.51669757215,18831.001092370243,18962.22275192822,18991.97862514045,18919.302269451437,19169.093242740677,19272.235916500893,19113.760701395637,19213.571694420632,19319.822484008037,19291.48207101803,19445.981219829384,19432.420663706314,19519.17338546253,19566.48721438037,19675.394692112757,19787.112676973054,19812.33502682625,19838.34139614585,19927.8920439771,19919.226176637396,20107.387740568174,20098.112326053568,20175.07554275461,20160.73571286228,20220.628501688665,20247.436882511924,20349.925704456426,20443.768397092455,20495.076379520786,20491.02442324685,20522.598507912688,20660.23411183616,20688.44665097753,20719.660013103272,20879.908533833335,20875.948858562067,20822.622268294228,21006.111851399284,21028.17456492233,21065.11285506779,21140.56729708992,21230.799189085436,21321.707790691325,21283.702800663545,21394.34905337543,21322.934931178745,21468.715650898856,21492.850426999783,21541.30361695635,21611.261582407325,21765.123894583907,21704.046226617036,21832.190240498465,21825.23071288638,21899.186177842774,21900.16872473605,22105.84761208683,22086.058188207302,22072.002116285777,22166.21425362548,22227.779211029963,22311.21051921344,22349.21888289362,22368.966377214,22402.730434059653,22531.495590441536,22630.217424093105,22603.20662763335,22640.192964986796,22698.668122214825,22725.666726212417,22784.649841769937,22888.06987448567,22895.455453780884,23025.742545323898,22887.350161705643,23054.70399852915,23158.972847630146,23264.9904897199,23216.7792910738,23352.677252989834,23362.073016974286,23465.22107207565,23488.17219290298,23518.2460694846,23585.7953620313,23713.763874832406,23696.567449126247,23806.312742770406,23855.440925730905,23847.536982395886,23896.186528190803,23972.04021137203,24010.528740275913,24155.4605440408,24119.362993406136,24219.6382433067,24261.7624818381,24261.1066684525,24395.2865619305,24394.85305090173,24439.57822536035,24580.78631040162,24533.4946682493,24669.8035109216,24700.2709733073,24766.442713033997,24842.4398611498,24838.3336299935,24979.1708452138,25032.527526149548,25057.33107399035,25138.5842534373,25242.8721628323,25350.8133951123,25496.320317272297
1,939.09902532,1302.05843368,1575.4517261542999,1904.7638661127,2158.7743625022,2483.19453301,2740.4802861560997,3003.70833324012,3203.90362764676,3434.38664698671,3690.8455132,3878.2553136332403,4005.2181414933,4299.58787019394,4420.5027978426,4647.13097180974,4770.3676941927,4923.97693953004,5120.5877009393,5333.55597959814,5503.9392146326,5632.548016031021,5856.67134133978,5950.13247073237,6051.52443070329,6254.852966071643,6400.91183465374,6535.41683143382,6630.2672647403,6711.21280727685,6927.88600393089,7016.28703107304,7181.91883842846,7362.8224996461995,7384.38376819829,7512.50358884467,7620.31121967326,7773.246393962369,7876.67841032249,8053.66366648664,8181.010917446481,8219.76798067003,8358.778837602684,8472.678135493405,8526.9110434351,8689.05362126822,8898.127812085051,8915.307185312558,8975.30573190128,9064.241246523101,9158.66025397306,9245.363625475029,9488.64915768611,9546.873950396113,9575.09208110004,9690.86878291656,9780.497596893656,9827.970910797138,10021.341743991934,10121.65048327406,10157.3745395046,10363.818885032219,10310.66190999949,10453.7851681346,10477.42437760716,10679.564799359829,10701.958008606882,10744.909430202533,10976.996330903668,10980.61916501268,11144.07681286464,11263.15888075812,11263.52118162504,11339.53007500863,11479.05612965649,11527.9351390752,11628.966437296156,11748.51293432397,11818.198192095098,11834.523215181047,11972.307472161481,12012.185872226866,12130.44703759145,12254.559484352887,12277.33165182357,12463.43486466204,12439.401878524031,12583.1584440643,12610.53986892899,12673.344075047911,12735.40583798585,12863.246624164034,12944.860927249723,12974.26795686683,13089.664176125023,13214.733835090843,13284.660933157289,13377.384803188754,13470.22591360988,13475.264055282549,13550.818769408066,13649.808597167395,13745.27723141881,13807.323300416318,13876.685462260906,13807.098078962408,14068.9601966155,14143.738043299847,14191.24109132741,14172.46788944277,14371.327913988192,14413.97742394113,14446.984692633761,14475.501509949532,14610.74158677191,14615.46306771643,14738.37175726504,14819.074403512037,14853.462026350378,14947.97279972185,14975.40347747827,14991.090782531099,15130.07422146067,15161.123775054863,15356.928932468729,15374.190266037256,15470.32240342184,15566.31441902217,15526.95465179106,15614.378774387927,15651.96038280791,15781.112172901132,15868.762378400956,15990.833634697841,16021.34162522829,16002.535553067924,16117.166940018766,16091.13642967936,16177.497927833343,16307.079527305763,16453.96041931757,16437.948022322453,16501.31351223815,16553.84274755585,16647.85640446315,16751.714003524823,16808.92982329824,16804.90601655066,16825.32194740881,17007.64491745838,17021.36204760159,17074.30262524362,17187.879023944333,17189.04357945783,17312.010135104694,17337.694687605042,17361.0090968298,17434.63733827262,17496.80903040057,17487.6298921741,17703.161825705396,17713.279349188822,17688.83598160779,17781.470953576747,17945.42157254369,17969.985889383017,18002.06000968373,18118.363671823532,18021.517328422022,18251.682530356724,18309.52081661083,18324.9910097038,18443.83612553537,18474.37846568393,18444.59385010104,18564.49444255299,18587.14709799095,18703.898805890178,18696.17914370219,18803.449084227785,18932.23806605234,18924.26149967412,19013.028266740188,19036.909156345595,19078.58396793476,19221.67368409027,19313.38433277145,19269.39364858673,19295.93485872027,19384.99137470669,19375.06868786874,19526.2741801819,19534.181563309285,19586.89593198538,19610.61063687168,19719.82011551029,19834.234442053697,19868.65343844626,19904.67466975654,19958.96825855249,20007.51820215094,20132.031828677867,20146.61505448998,20233.407192702958,20223.06594812371,20290.10572862935,20286.977667782612,20412.45497356185,20503.81309281559,20545.76003058283,20602.03406696171,20613.8018239274,20728.87870374757,20768.82349192443,20774.46951040479,20933.46097210596,20942.26885881829,20920.38427801697,21076.744371744917,21103.02204071261,21154.136699267197,21257.21313163455,21288.234972886243,21359.60183982916,21431.88790732823,21435.557185903268,21435.64666374886,21511.06963880146,21583.558913139823,21641.95349734991,21719.469023216643,21803.72806017304,21763.36865821006,21882.17057253734,21925.9846670267,21938.851751659662,22029.787292509423,22141.48711688236,22147.650617552932,22180.04557307521,22213.27210268839,22312.54841096881,22405.65639571836,22437.44943867934,22405.9467288098,22454.06246933779,22591.978263493347,22648.42678292741,22652.70808785119,22764.175825701146,22782.57738488134,22753.05141696349,22877.911767676873,22935.40621655364,22982.037572200552,23071.5231667855,23095.92211760718,23140.924059432768,23221.791195093,23300.457500755398,23331.59697011354,23388.23511482033,23441.016047939716,23505.907628091212,23515.23709058643,23616.363320985598,23655.0106055204,23777.10681022883,23734.221380950396,23853.2944175194,23913.63165054315,23905.94207823189,23923.767874415902,24055.6134285972,24086.80216428767,24191.95768082812,24197.46480274199,24232.2485108367,24318.27450962626,24316.6727409495,24431.0864074653,24518.612720348,24504.985672843002,24614.7482542127,24607.03386918077,24698.87829177369,24789.0484098575,24827.962000001702,24886.0476126553,24873.4751372373,25020.9647004513,25064.49819060494,25163.0803761523,25194.9664775323,25276.6029136323,25388.2281653123,25505.3249726223
1.5,948.2146626199001,1325.7811358516,1590.3694682999999,1947.87715739895,2196.13461613595,2498.1727697989,2796.381480082605,3026.8049275749245,3251.1606405748503,3466.8820803539,3724.63474051065,3951.76176308809,4044.774530190224,4349.901987447835,4462.723287538591,4704.561836898645,4823.86207475805,4960.443367646931,5180.74307812205,5380.36495503741,5537.81920019271,5688.290285005475,5889.41123024047,6014.70054618605,6197.381688752635,6293.1841825921,6442.777184335984,6585.09526395347,6682.95168681916,6771.23830949373,6983.40411855013,7043.2128479231,7233.803485519035,7373.842704599795,7460.668388077434,7555.18323676941,7707.720089811784,7827.377399863135,7966.550049361805,8070.777326346245,8224.181236515455,8270.127549904895,8389.17264832345,8528.64872503198,8579.631251295465,8749.818359431105,8929.117692446305,8951.846827491921,9003.800252645984,9137.920464375275,9268.264645789239,9332.182669782145,9522.535790474816,9579.373328422,9654.463713198411,9750.145399744139,9907.77930212861,9883.410884657585,10081.605378427339,10140.09577018859,10233.365173296426,10392.368553259315,10406.796390565349,10498.768338551445,10514.260478956474,10768.414898344188,10790.728500672745,10853.116224284746,11024.33883909448,11030.21545784779,11200.254691268688,11300.2325004617,11323.56667247408,11382.278281730045,11512.359589436013,11594.812148045905,11683.793292365515,11808.937241823554,11901.75759813662,11926.089423018164,12003.754058257306,12067.20326930939,12177.28813476604,12270.512741217652,12332.55666089741,12498.204866073906,12525.66987929566,12652.012022988634,12692.81729649049,12796.84720645504,12781.272902250485,12932.004189411005,13037.31809030933,13043.279348960948,13203.8127824816,13302.06131668761,13351.800287969754,13427.065818677404,13506.05981367222,13624.245631218684,13626.35785825547,13706.1486947296,13766.573696690535,13897.93479413621,13931.758722380233,13894.030462764335,14093.972952183674,14196.675388264066,14216.261446896964,14294.774170697,14428.786271725781,14460.893342567324,14478.12820422428,14610.244086092396,14683.62792013854,14721.05391112574,14814.880098230524,14889.394335678524,14908.606698392974,14977.946691854515,15072.267376271735,15097.802511800079,15203.848414077165,15214.718674317679,15375.55495231807,15434.424468618281,15556.750923400561,15605.465336283936,15601.266341606275,15670.47986239344,15726.730412333465,15817.665958264424,15906.930254272864,16031.63661974765,16087.13514602368,16107.71336965038,16170.39320695534,16174.52785095682,16335.82508892515,16341.994453133166,16498.48660915066,16554.391924880452,16585.17116068009,16588.808242471525,16715.171937872983,16810.34151842647,16835.479273280194,16845.412839380835,16916.927208515746,17048.60088402831,17043.9850836771,17128.777823243097,17238.83599763609,17281.704257300575,17349.765260016095,17427.982215422653,17424.783605210567,17487.77960347797,17579.06002960397,17597.725612052505,17751.641835504222,17789.440132380114,17756.60557517029,17850.862988673525,17977.660851756493,18011.406221536294,18061.28405765224,18149.7234061367,18098.61599809156,18308.442818961405,18353.485021627617,18373.994465342643,18491.0953348469,18489.13823211719,18479.177510600082,18649.66683672812,18662.977522259273,18786.412331711093,18788.40982910009,18865.11422422251,18973.795055262355,19025.17799671788,19095.173563355103,19087.2702296704,19146.26459485885,19277.114206218535,19359.074198583956,19367.56083483058,19362.46995852643,19434.388591085273,19476.419570364138,19563.501990945948,19640.461296410038,19652.375231946527,19655.49641960848,19754.363028780448,19864.408439561794,19909.092029167183,19979.164231860657,19974.03066777906,20043.511888452307,20167.988033763093,20188.52116477479,20289.346952122418,20288.57524621556,20351.048319106983,20390.413140977118,20446.355184781536,20548.516129960346,20598.816220422264,20663.152068895935,20663.940759976205,20786.604599671984,20853.807746492927,20867.724467516513,20960.55349079304,20977.19436574774,21030.206030437632,21109.631471023964,21156.83797476127,21231.829088452665,21303.403554339773,21339.610046606103,21385.65988302655,21471.14171460553,21463.74145011888,21508.894536147855,21605.987418092616,21661.30233843904,21680.833502633825,21784.13814774325,21827.11801354546,21809.670215160473,21919.141627998466,21960.222541399406,21991.321702247576,22067.119112780063,22152.142017327238,22173.305965033196,22233.6101025821,22242.58393574434,22346.70437217693,22470.702766772556,22488.666504778706,22484.59642922259,22508.594374237295,22645.011783203892,22697.507222394055,22734.2557651295,22804.62557572185,22834.169319076795,22825.6850578374,22917.072948043064,22990.535553736892,23026.908228289427,23131.926159731156,23117.323311145305,23217.635503669768,23263.69247864521,23355.68735874294,23391.9967644133,23428.2555109611,23467.806893622652,23578.27575904891,23537.10816760546,23665.11307769928,23692.547993709446,23819.043501274635,23775.82997448785,23877.169764375052,23922.8446541616,23973.092862675836,23986.38748501527,24075.160965133742,24143.670899533598,24210.925190736307,24234.847921550598,24278.651227799885,24337.78448145842,24377.083176613556,24470.88520277015,24546.7216530731,24565.7181470195,24638.775989937047,24655.436444830444,24718.99756201805,24819.725224830338,24871.0844345433,24916.7962917018,24958.4359581237,25051.6924665068,25089.5266258877,25180.0048708633,25211.9950398123,25314.378598489155,25397.6837319673,25518.1435956673
2,962.4796311442001,1340.345928452,1618.3617680399998,1973.18761874,2218.20836509032,2525.02807340492,2809.7265007664,3043.0553178042,3273.0314112446,3500.7918661658796,3738.78581099492,3976.3238377992798,4127.86074914,4375.29352758156,4487.88900590064,4739.89286978364,4848.18372699542,4999.85953976252,5211.2798284246,5424.77022225164,5575.93074752108,5754.036631710975,5925.786968080521,6052.4904640490795,6221.7490441009395,6319.570580336286,6498.51620083772,6617.2093202772,6713.394588080039,6790.583128558086,7017.132977280639,7094.5957965582065,7271.11970703268,7419.40003949644,7506.43890725268,7612.3978450136,7752.326245993107,7889.441218358074,7990.628731610001,8113.26697318058,8259.85399151258,8354.062617265374,8474.45915084402,8595.50585147498,8643.596297862014,8796.131661853815,8957.69907434318,8983.142860123353,9022.278596131006,9216.300548845466,9296.022886695047,9375.83925492058,9577.5448851666,9597.92524487662,9687.871395371745,9788.75542765338,9941.58009927638,9938.97983079472,10112.19003069222,10165.905933403801,10256.10663533674,10436.354460897379,10472.705549571094,10545.890894747281,10539.146956929946,10798.190404602841,10830.774632968707,10880.145709521634,11081.165063547875,11086.88945409856,11254.09513550646,11328.805149361173,11391.158525635054,11454.7781585018,11559.368116252574,11636.2024069841,11727.458745875074,11828.08924119856,11957.625864442945,11972.8168998247,12066.165296196026,12127.41849937808,12223.442516267774,12321.941120409394,12363.6822180411,12537.12744831382,12556.68826975208,12709.78744616062,12749.26048983798,12842.926570698706,12849.576683230966,12941.77512168434,13120.057915133433,13092.989028313505,13221.91302756776,13333.778566048195,13382.325855220814,13456.38402021146,13536.428195988145,13663.542994090287,13666.157138869074,13750.219708271521,13782.51884152158,13929.74398865738,13969.546470179841,13933.921670998785,14107.109731967954,14230.28347476664,14292.9781971583,14325.8864099891,14458.012831882219,14499.970190692406,14554.516193475862,14649.285414566815,14712.70642356074,14741.208879875194,14826.450902913934,14935.32981511778,14961.152970133195,15034.102122892014,15105.17434850124,15135.658249216,15269.612767649205,15265.51443332602,15400.2073312255,15501.19892842326,15603.441143376926,15635.290532054434,15647.055113624281,15739.771445794835,15810.401054974905,15843.645068738166,15948.1984295704,16061.923793729746,16154.92787652346,16130.981711632041,16239.04685087798,16262.90303729598,16358.5291954993,16376.737890567354,16523.42928254314,16571.710731813255,16629.45161888394,16633.941637052878,16747.17449168776,16857.755321740347,16858.967404875133,16938.878823608084,16984.626827794393,17068.00328734676,17122.432174161386,17185.59742075232,17278.178364131785,17320.924248431613,17384.938005755765,17473.92537963142,17511.702607075873,17536.05629731116,17652.2519479955,17626.794629126543,17791.91921576042,17849.080592354476,17833.447969552988,17887.68476918562,18008.628611512788,18043.493067803418,18143.721852206407,18199.289720703055,18160.4499149076,18326.929426324845,18397.03616973132,18437.49636652626,18543.801443289314,18525.248871200823,18576.303001707118,18695.48156217136,18707.13439017874,18799.431204081975,18843.841906243342,18918.8812334286,19021.80749811444,19069.10653561846,19154.162047076625,19140.07909292242,19212.037467390146,19308.10836420866,19402.16658679324,19410.1195222506,19403.838870206793,19459.409383991097,19554.841192689386,19656.562077445178,19677.261839750834,19698.296736212964,19712.72666532094,19799.381234582484,19892.495443945983,19947.475694351146,20047.029924486193,20045.261306178018,20102.26598406596,20188.980997044913,20212.54968444808,20307.643614962515,20315.8548894065,20399.159215632353,20437.175377625586,20490.9409662784,20600.595030601315,20655.51878808004,20713.1333811671,20739.335559187777,20854.197439629046,20887.773494177036,20907.408129464493,20976.035967854317,21002.59986870185,21050.392154529112,21121.14945707222,21196.8593299822,21251.269658573146,21325.49763673724,21377.57549218218,21403.552922111096,21495.19732517997,21504.359559517954,21521.487363151362,21630.76916574102,21689.1163062177,21714.87726711182,21820.02733122305,21855.113203303907,21866.17116534922,21955.52032351058,22018.05414483964,22041.40163104628,22082.80933188598,22215.164452079727,22198.16496889686,22259.8912117081,22280.52661414972,22396.33278205706,22492.1617951039,22522.008915926013,22526.53553517556,22568.38547370172,22692.50521643276,22722.516574017118,22751.5592551531,22842.2861029387,22865.551251520978,22875.859800825012,22970.40336660326,23041.60324504298,23060.81528911098,23146.356192512198,23144.051841933502,23242.1783577469,23296.484612859662,23371.703731931277,23433.026521763702,23446.289730186425,23512.39575357448,23593.782091547582,23588.129163523303,23687.5052926799,23715.035370904843,23850.1476251495,23796.48006885828,23909.3910274741,23942.4093754853,23988.39423150292,23995.679054025302,24092.7423437803,24157.992249035702,24238.6347042141,24287.1253804639,24305.965682742702,24365.307736512303,24405.44976208294,24496.833859928298,24555.2684267207,24576.8846259223,24650.123303939607,24694.490167395496,24733.7641544265,24834.9647017335,24889.6593516583,24941.56712348802,24979.3529496355,25064.19799498358,25103.6420390277,25193.9714802815,25234.4037214323,25332.777770752302,25406.21239343808,25524.798241572298
2.5,972.8628288,1351.9728646045248,1644.4647544149998,1990.48977695,2232.4429821135,2549.6115310963,2829.8803627183497,3086.077115258525,3295.0983483726,3536.1618505378997,3769.4283076454,3999.9211815948747,4154.772756769999,4406.297846149126,4508.6281806001325,4755.6498453841,4864.519534454876,5021.7623378854,5252.759817574075,5448.3963943054505,5599.42759281405,5776.84047669335,5945.313007785549,6073.284361154025,6246.166219370451,6350.1423276064,6520.726759266125,6636.639597513425,6740.192311709792,6816.28299419715,7049.180638119625,7105.673614344032,7293.2125385934,7449.171950755775,7545.22403591285,7655.240479348775,7780.5145291747,7910.601945404942,8043.50721803985,8126.6125609257,8297.183884277083,8382.72874079515,8502.174599341606,8639.066032610124,8680.109701654224,8822.614184491951,8980.475319793275,9020.1558941312,9068.519537685057,9243.359174277868,9337.184063449726,9421.6836413055,9609.0076182985,9681.5951508516,9720.313621607824,9812.000000352076,9948.35982826795,10015.490230259551,10150.173162714442,10211.024586347208,10317.621459368067,10463.808873466693,10494.059022636824,10576.227827702292,10612.64660299665,10858.272144565475,10871.189523423107,10928.522067542475,11135.553161805501,11106.726638962708,11270.020922575352,11353.877187731001,11432.877304950818,11479.057439909768,11611.219796838624,11656.401392090633,11741.651411016299,11846.4752455036,11974.9675516438,12018.014136806776,12091.0192326275,12172.542205209476,12284.684289857149,12372.866366906183,12380.57062596055,12590.474905178058,12605.723003104782,12728.893746770125,12768.296219264992,12873.982379588932,12881.823064248449,12967.755612241775,13147.2681894743,13168.938966627775,13244.576418593517,13351.094781409118,13436.503097865558,13490.240946976051,13578.604125534417,13691.833411220443,13696.359219470767,13776.124105235074,13846.994633833043,13969.292614269418,13986.974739514608,13964.736347654174,14155.255997327651,14261.62387957195,14341.572580349626,14400.6006971962,14471.917014602675,14555.0623504267,14590.640625666041,14675.42934620715,14741.358064404374,14809.233626366875,14854.900889145325,14962.752572737518,14981.005677245033,15129.60291434485,15166.272153806542,15206.826325134909,15328.8019582636,15317.282718561499,15441.254458758125,15525.8537784244,15634.584366301868,15657.665105449,15674.15268169365,15796.795195098543,15841.651503389725,15905.365052433932,15997.950782410056,16102.32682426535,16185.121154576707,16167.667240531675,16279.159017875449,16304.916956958727,16384.50139739113,16412.404524995185,16564.243149263923,16596.145081173083,16656.400226129474,16689.76635158865,16791.398823462478,16870.333273914606,16884.953631345958,16983.047031352547,17018.24844638424,17081.327043376474,17146.60635651048,17246.682937678324,17312.388982704433,17348.510394425335,17401.385649944925,17492.67165699655,17537.118922385667,17555.50548789474,17707.464693950118,17648.351873627118,17812.597967533224,17866.679857095118,17869.990344427493,17905.755457092997,18071.852239108393,18088.19393608309,18176.85588549862,18218.541954040767,18221.15789441495,18360.754458625222,18421.995474226245,18466.098282933326,18571.98444310473,18548.557550784182,18615.19204979282,18741.267712758952,18762.870667459025,18826.547111314176,18905.38768380645,18946.41022443475,19057.932016260875,19090.07447344692,19174.291586593376,19167.818725507517,19236.91783247215,19345.193811953308,19443.55509360328,19438.506358184335,19439.100206515785,19489.200777076694,19593.611807367983,19698.239117901183,19688.047600895967,19731.31940069425,19738.457680190924,19820.9725043833,19966.070183757107,20007.105919359474,20062.4148853849,20066.724776465922,20139.381732507078,20232.478199043082,20255.249466206376,20340.17714166428,20365.86612487635,20425.620285335957,20477.372748278645,20540.1002406198,20637.415833546398,20682.531500037025,20728.664406457505,20768.9546101939,20873.099667185983,20916.668280113925,20935.999393558075,21007.360809235644,21075.029295203192,21095.096275506807,21150.27048307343,21242.14760250145,21271.19724372415,21344.947484629523,21429.503155485974,21414.439747707325,21518.70483859312,21548.941322005285,21550.772822209048,21653.051656928157,21706.265030479553,21738.604891774627,21857.5605816655,21878.79283108105,21919.953608569573,21978.163855160157,22057.041159000382,22067.090978695927,22126.276191300523,22262.988820602524,22230.147656797843,22311.406454809832,22330.702893121892,22442.9601357372,22500.817378332526,22536.8875711622,22539.5746827753,22589.6396349377,22744.5538514043,22744.99538115655,22786.79674822095,22878.57079615655,22870.786559821077,22909.7739727669,22986.815863084154,23055.519011596025,23089.459342983475,23161.30127301455,23182.092708880642,23290.326194375077,23322.08386707945,23386.14402394905,23437.75519619795,23468.238085555433,23528.843151415975,23606.122400914548,23609.370144050103,23703.69846378655,23729.72061385305,23869.13794174455,23812.9912099203,23926.830766826824,23954.979842232548,24017.885490211298,24044.71775861766,24122.59998468855,24170.266293943874,24251.8802550698,24319.587031482075,24332.96334531054,24390.5624969238,24440.4933996718,24508.3928839923,24571.02890319095,24595.7595379098,24671.436108052298,24731.445676804047,24767.526657673126,24852.7140044148,24900.9706205563,24952.11310040129,24995.4014926148,25073.67345976405,25115.5160087048,25204.060536110548,25246.1424506638,25344.5234275248,25417.2386452223,25527.0644781723
