,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440,pd445,pd450,pd455,pd460,pd465,pd470,pd475,pd480,pd485,pd490,pd495,pd500,pd505,pd510,pd515,pd520,pd525,pd530,pd535,pd540,pd545,pd550,pd555,pd560,pd565,pd570,pd575
0.5,1131.928678055,1480.2760378300002,1806.34716176,2063.09503536,2370.706274765,2639.773868445,2907.490550175,3187.255520225,3438.861658035,3776.0400560549997,3934.54830158,4175.32859745,4318.49548502,4641.5552087,4837.69005706,4892.756201865001,5123.374620665,5481.589158545,5622.993982985,5802.21463812,5983.33751466,6134.206923925,6401.238216,6547.3200320099995,6669.25043046,6790.59019369,6963.1634948500005,7206.412923995,7181.007824034999,7559.539508659999,7641.0471867,7835.781626035,7975.266987014999,8037.61866427,8273.947693305001,8434.90748418,8475.91034777,8725.344461455,8849.923966495,9099.505109525,9201.958544695,9221.99544225,9299.970152815,9500.937926505,9820.595464824999,9855.11892067,9932.898429050001,10183.04421065,10144.16331629,10269.99716386,10575.77697539,10687.103658095,10932.930279695,10923.229688105,11118.032342175,11206.26095231,11358.643638575,11499.08694607,11561.41320144,11704.406995070001,11848.02246102,12100.280260349999,12013.81678153,12322.41029926,12205.876238065,12483.050811314999,12509.18296459,12799.9309354,12986.409740665,13157.471880545001,13138.790490475,13296.07845732,13375.063042995,13506.884979260001,13720.921640980001,13807.91701281,13861.655408685001,14081.48310552,14173.955929310001,14318.263175785,14353.142825215,14622.478326460001,14654.783982975001,14791.890627215002,14998.527053925,15011.81387821,15039.011964295001,15364.433983505,15495.640995095,15630.897781374999,15726.963122924999,15460.7164545,15860.90414873,16005.21980825,16184.718722605,16388.39257325,16361.542333275,16563.99460433,16667.031810325,16833.636149939997,16891.9329966,16887.011623275,17116.67772639,17297.68199198,17535.336026074998,17617.29925,17726.980016225,17879.79794598,17948.90661378,18160.997295765,18301.51429676,18500.169361465003,18617.592667614997,19107.476194
1,1181.30333961,1506.09559694,1845.0095093000002,2172.19536265,2501.03630345,2758.8433149099997,2994.6163578299997,3252.42355379,3498.68614072,3825.52978991,4045.5828797199997,4233.72105261,4473.630806990001,4697.98730181,4876.43770986,5031.97734367,5176.70603539,5599.38524855,5700.49632959,5878.99533541,6134.85780161,6191.40459721,6487.69211799,6621.62768908,6738.10918953,6916.49336731,7039.302165489999,7260.7198132700005,7297.90014169,7648.6872938199995,7747.9494739599995,7889.1845440199995,8007.56319058,8213.24400264,8339.396410110001,8519.74060902,8676.43629049,8804.600497649999,8911.19069227,9158.42002267,9285.35649998,9316.54367386,9554.2381202,9633.44669478,9911.15694763,9930.47750033,10041.80994934,10272.914605,10239.15550007,10459.5387903,10644.77087421,10775.23326748,10975.94636025,11033.89065209,11226.64788987,11327.62503669,11389.12664751,11599.95602706,11724.19727001,11846.399425099999,12000.939699469998,12133.26298473,12142.227188330002,12437.64818384,12553.22337381,12622.792743850001,12653.922405140002,12898.30684094,13109.39544634,13271.884112680002,13225.64384463,13400.424113969999,13481.142031680001,13636.98918003,13810.68183323,13904.19500389,13984.16228807,14169.22006094,14303.19561418,14437.1223331,14498.5958463,14720.72744104,14762.88856182,14943.4611811,15119.79468962,15116.59404014,15284.41198216,15424.291213569999,15591.26157321,15724.453861580001,15789.52102442,15847.80454759,15969.00860195,16140.99961508,16238.099659849999,16449.9222472,16496.499222749997,16576.16498254,16743.00453928,16910.2710987,17031.38107971,17023.42531193,17302.90408677,17415.423618150002,17577.070530160003,17681.152120900002,17770.60071363,17957.38114555,18043.37446209,18261.00778906,18370.95246755,18555.38139914,18646.058686160002,19107.476194
1.5,1189.03323748,1571.347402425,1861.793826435,2194.6369083299996,2546.807803025,2794.331625055,3060.4797509550003,3299.7666996149997,3551.7409924099998,3850.240455135,4092.65274437,4316.758340265,4503.166484705001,4765.364385215,4953.25583346,5103.216980265,5260.6849666,5627.267320125,5756.67681774,5949.721310415,6149.44404962,6241.62946515,6538.034427705,6682.058042465,6806.73975259,6978.448566675001,7156.232284225,7319.753630155,7390.9049442450005,7686.059498035001,7799.234367165001,7942.06155089,8076.26289273,8240.830591644999,8400.979632679999,8578.190682195,8774.839999475,8869.120351775,8980.918746464999,9252.52118622,9310.143607485,9439.736141065001,9617.781267159999,9720.907777280001,9947.186260395,9987.308177735,10125.3539311,10348.001890385,10307.249447225,10515.23527834,10674.294233565,10900.04394703,11013.090044404998,11142.944228755,11288.115116194998,11404.979606604998,11439.350531605,11658.14986046,11756.35420586,11900.272893585,12069.941267465,12196.344455864999,12237.768951880002,12475.452246155,12635.916475155,12713.20819443,12745.78561961,12993.209241795,13165.874370035,13338.546251164998,13310.26157371,13525.966258725,13582.722197075,13769.50965075,13895.448391079999,14021.599590705,14111.779853995,14290.479370075,14345.253300555001,14512.38757525,14619.866255384999,14808.205254825,14864.06141115,14982.039360805,15131.415387025,15182.578562035,15333.005798555001,15497.474902915,15667.52679557,15764.898772455,15848.78839262,15910.902275745,16048.472477469999,16209.110104480002,16283.041966615001,16495.086660445,16590.243102045,16638.97230003,16824.84605641,16953.380512775,17105.131902955,17074.80194392,17351.714383515002,17461.596526235,17640.966519244997,17725.54339102,17807.78631122,17992.098268675,18067.441820455002,18271.705534164998,18398.44734277,18584.88805118,18744.889075395,19107.476194
2,1205.6035268,1593.50609448,1885.62159286,2210.4867926,2569.09300322,2843.61331742,3097.41346226,3348.58300256,3573.57644972,3869.61660654,4115.135023940001,4368.33337656,4542.96799138,4802.281617160001,4977.18565254,5150.37461756,5331.79141968,5690.248714599999,5792.87743682,5976.80225752,6194.18181396,6327.02591158,6577.64147878,6743.59383248,6873.64383214,7023.58896826,7215.65566172,7352.73991848,7449.80743634,7727.239577720001,7869.25746938,7978.14503428,8105.02357792,8277.58920934,8464.33417662,8610.59638262,8869.333370800001,8912.53936378,9015.43759522,9309.477387679999,9384.86014074,9468.51753884,9653.6583147,9788.088748119999,9976.23834806,10081.03119986,10184.84573766,10420.91950972,10409.97192048,10607.580156279999,10783.073115340001,10925.707690739999,11059.4585549,11199.91656954,11348.90910976,11459.004475419999,11552.96220796,11735.32042932,11863.77696098,11957.9088677,12113.13210154,12255.27500084,12318.428362980001,12495.12726554,12659.093372899999,12799.28795956,12875.9902809,13053.41297844,13196.20543174,13386.6751561,13386.572628380001,13587.12712984,13648.027454840001,13790.15548584,13920.65398886,14059.80661732,14207.16502094,14333.51729072,14418.47076424,14561.86034954,14697.04743174,14842.376076460001,14913.4473105,15032.081767419999,15191.00829082,15303.175735699999,15414.0307165,15556.93901074,15707.142988419999,15817.43453302,15911.83485742,16003.898445280001,16120.989437999999,16243.06190796,16332.44524936,16526.945841779998,16637.737368280003,16722.17307092,16853.21102442,17007.73293212,17126.65899448,17188.18659288,17422.64697724,17509.89872126,17658.89770364,17753.84521222,17839.80368004,18022.69268874,18115.454317900003,18297.59245496,18445.299604980002,18634.0897406,18766.77178938,19107.476194
2.5,1218.3445937249999,1605.670561775,1908.143065775,2228.71048015,2593.1418514,2883.614558775,3123.6508266,3373.36069235,3618.55593765,3899.66727785,4154.00683605,4432.342163400001,4589.0446246,4824.609447625,5007.450034775,5182.993767325,5375.327355400001,5707.3142294750005,5806.1662976,6003.418217125,6219.081649275,6344.112825525,6609.8595635,6790.247090575001,6913.516249825,7051.7003011,7257.022667475,7417.47424885,7506.857830925,7746.2157383,7893.664144124999,8048.20385505,8122.358488375,8320.6808758,8512.9444012,8660.449584375001,8907.836041850001,8975.101964475,9070.919147475,9335.697891675,9420.6948512,9509.00955565,9694.30468205,9828.667312975002,9986.95857735,10111.61683145,10239.312530625,10473.532640149999,10481.065572725,10645.84772645,10881.478462375,10965.773151625,11095.147436875,11268.00013045,11394.5213577,11479.3565556,11604.2291579,11764.4461789,11948.4427829,12031.075490025,12161.461292275,12320.44151525,12375.081450525,12532.121674,12727.51130265,12835.90397295,12962.057675400001,13106.484149125,13215.787932825,13415.206343074999,13427.051822200001,13647.89348655,13701.407487875,13819.61009565,13984.724813175,14106.41972,14261.1133392,14360.319661649999,14457.607852125,14595.960415849999,14755.29914575,14906.097262649999,14959.382163525,15078.3544933,15233.23753685,15382.7703283,15454.924905775,15599.69388445,15762.609849225,15893.012042675,15944.1211482,16059.9410551,16166.7856489,16287.556329025,16362.83170195,16554.6910377,16689.41169085,16735.52155115,16886.0282961,17052.979996875,17203.828475225,17238.12794555,17449.517693575,17532.791443675,17666.77180985,17771.191574975,17878.47316325,18060.94478055,18135.879860775,18317.60730525,18472.361912075,18647.005405375,18786.898924975,19107.476194
5,1270.41580725,1661.3421062500001,2000.98856725,2334.80691195,2675.4114365,2972.5110198,3228.1868448500004,3475.4829696,3743.90857005,3992.30881765,4271.73673975,4522.0875548,4713.812684400001,4933.564658050001,5155.75167065,5318.48442485,5514.3121489000005,5783.0626961,5970.63735575,6152.8140898,6331.6372802,6495.6412074,6713.9054046500005,6901.0865094,7049.68747805,7216.72145665,7404.3226228,7554.5995235,7688.61747095,7854.07822385,8064.13702905,8181.42477,8293.14703165,8519.26826275,8649.9752676,8801.016803749999,8998.25152195,9135.2487501,9226.12223825,9488.308200450001,9587.44617485,9694.9436227,9865.68622385,9997.60007235,10164.26423335,10310.3058811,10426.9136667,10589.49391705,10721.5367736,10776.604898599999,11039.8561778,11110.58307445,11268.82254825,11431.894853950002,11589.0328868,11693.19197355,11816.99889915,11922.62162275,12073.25432535,12193.4883144,12359.9350266,12453.6724074,12554.6723919,12759.466716600002,12828.84105115,12950.39108775,13119.55322075,13257.01419555,13372.5170688,13525.327321750001,13569.66506455,13777.885786199999,13867.08523925,13976.5360397,14176.494552999999,14229.2858536,14394.7016129,14500.32642995,14598.5943577,14737.8711331,14915.041458799999,15010.344418699999,15095.44734375,15200.766271600001,15350.19236995,15495.2315047,15590.202392399999,15723.42444445,15896.169561050001,16014.0974952,16071.5780694,16220.397567150001,16302.43603185,16410.51464685,16541.058666599998,16676.3693237,16795.27939625,16907.2740126,17061.3705676,17143.36548195,17307.63395915,17420.89706605,17543.20742215,17629.102018049998,17783.73911335,17868.393576399998,17991.8678061,18148.24228955,18275.8257131,18429.866174,18569.5310632,18719.2787232,18846.841524299998,19107.476194
10,1335.8328012,1737.6823833,2086.8056322,2431.9951401000003,2774.7633206,3082.9384560999997,3354.4783789999997,3588.2770535,3907.5380514999997,4143.0050335000005,4432.1160499,4660.4066211,4863.0603215,5099.8883933,5287.182503,5508.7834679,5724.488356899999,5926.5142291,6130.3531779,6315.2420001,6495.5394115,6679.5919052,6875.295807,7083.969388099999,7189.916762600001,7400.9025866,7553.2628299,7733.7744703,7825.4434534,8034.2191157,8242.7202003,8390.256254400001,8482.7782921,8703.5022158,8836.9956325,9021.9257653,9182.1626426,9311.3102911,9394.8054215,9622.7004017,9776.5506841,9873.737975600001,10066.4773555,10211.023670800001,10339.1916609,10494.7786199,10618.5019009,10754.2694361,10898.2196193,11003.6422656,11232.032702,11342.1752001,11487.2273009,11589.211314600001,11755.028771500001,11868.9208786,12038.5726926,12108.6516625,12241.759738800001,12380.1318061,12529.8178004,12637.5440137,12766.512532300001,12893.3810366,13016.1973179,13148.4425162,13281.458034,13435.3172261,13539.0884409,13682.9295469,13803.416943100001,13921.8993856,14023.713861,14152.8656018,14323.6745563,14430.7304251,14539.2426529,14691.032528,14777.5083406,14913.887042400002,15059.1743565,15144.6151521,15242.3585159,15337.3816209,15526.6778894,15631.0705843,15727.137885999999,15849.8271098,16025.686822,16155.6176239,16190.0760951,16335.177359700001,16480.7125057,16562.608631000003,16681.172649699998,16789.762984499997,16941.7038425,17043.9091232,17195.2151285,17277.7904254,17446.255939,17542.4342896,17658.3945709,17758.2451231,17877.2656637,17998.5324801,18103.7752442,18250.6646477,18365.5801542,18511.1008626,18655.6180175,18796.7299555,18927.255769,19107.476194
25,1454.0328654999998,1888.25536525,2250.7159775,2616.62528475,2973.954362,3270.4818290000003,3557.6295472499996,3844.9461069999998,4146.19036225,4422.017856,4670.30264775,4904.55709675,5093.2981165,5357.13372,5535.70995975,5786.2096185,5977.0272125,6199.94544975,6406.87976925,6594.7321274999995,6798.45522475,6931.46501,7136.404922000001,7333.47999325,7470.177614,7664.3187935000005,7858.6364425,8049.6622225,8114.0168775,8365.670658250001,8543.8267925,8700.261527999999,8819.807033,9017.19311425,9163.7871695,9352.7863715,9501.314903999999,9653.54478875,9750.265765749999,9932.9502435,10088.5785945,10180.6178095,10385.739943,10536.46977825,10660.046058,10824.56045775,10955.11057725,11096.273068499999,11222.07347925,11355.0730565,11527.7605425,11684.045924999999,11767.2195155,11953.1320515,12077.452773500001,12196.136785,12332.77926875,12409.47559375,12575.8117375,12715.93960175,12824.653683249999,12976.1993855,13070.46928725,13204.43758925,13364.37839525,13469.26628225,13619.298606,13723.1323645,13842.48347725,13986.715431,14115.4765535,14195.241287,14289.562070749998,14457.7883635,14620.202215,14722.31823,14811.18310475,14967.60452575,15058.784157499998,15190.925788749999,15306.7774975,15425.46641,15519.772446500001,15624.96353325,15771.4260325,15861.58865125,15992.7032135,16104.0054055,16262.1497535,16362.9147095,16437.22167125,16572.6251755,16706.6259365,16770.7365545,16930.4485695,17027.434427,17146.177989,17261.7940515,17405.26570775,17480.42225875,17633.58129725,17736.101939,17849.4897015,17948.2756215,18058.226827,18167.0584045,18272.992145999997,18399.31024825,18506.0437815,18634.5165185,18750.4469935,18870.98886975,18980.47169825,19107.476194
75,1773.520765,2255.0306445,2671.2492365,3077.05600725,3470.51192975,3779.1425655,4091.142389,4387.2689695,4719.1554212500005,4947.026416250001,5256.90506275,5471.4301887500005,5734.082989750001,5981.5152765,6180.867281749999,6407.9996105,6661.59543725,6853.507717,7067.9782275,7267.358002999999,7421.677299999999,7623.6197365,7828.0345317500005,8030.07259475,8166.773173250001,8364.758067,8541.02204725,8731.04284225,8905.5910405,9053.498709,9241.04826425,9408.92861975,9531.68758875,9687.428837,9836.77976625,10014.084894,10176.96942675,10337.462186,10474.095513749999,10638.781509,10790.00386375,10898.612594999999,11044.627661999999,11231.86577625,11348.4092515,11499.39092925,11680.95816925,11819.7271345,11904.171982250002,12053.331911500001,12171.585677,12324.12359925,12425.249488,12589.7753805,12724.3142555,12860.07443875,12965.97720125,13085.37358825,13244.856256250001,13332.9582355,13482.98691,13588.9717575,13718.5406505,13856.04960625,13966.1865015,14085.59789525,14254.717765,14375.925615749999,14445.62438375,14586.20342775,14711.461752,14800.44343075,14903.8216225,15035.6775445,15188.11518925,15265.132286,15405.46141825,15486.3881675,15622.032414,15726.54574525,15827.646718,15957.921556,16060.0084655,16177.612392,16272.564054749999,16375.655895,16501.51090675,16578.97336375,16748.9940055,16825.221414,16911.407812999998,17042.379967250003,17144.53525,17226.4940795,17350.2768885,17439.76868125,17554.883580499998,17663.92889525,17747.8395255,17842.526859499998,17969.644227,18047.89583825,18161.49056275,18245.91202525,18330.11400275,18423.143152,18536.743468250002,18612.78183475,18706.2702575,18800.55604825,18888.85880425,18976.62447075,19049.96053825,19107.476194
90,1956.0061861,2419.5449387,2876.5829430999997,3326.3455174,3708.2238706,4030.9935788000003,4334.0380436000005,4674.1313906000005,5005.5444424,5203.7338336,5539.4815148,5788.5447205,6049.4661289000005,6231.9451542,6516.8965929000005,6741.0020649,6966.6498284,7149.171392300001,7340.232223399999,7553.7348532000005,7685.1540677,7962.5486316999995,8139.7574779,8317.7882982,8486.5425825,8677.2159927,8830.2551913,9016.797100900001,9193.4917539,9324.3322429,9502.8505263,9716.248039099999,9844.5583862,10007.8559577,10151.0341027,10322.563678699998,10485.444786799999,10633.3368383,10760.924258300001,10958.7708403,11102.2959465,11178.5907336,11369.942684900001,11533.505414199999,11650.7972255,11788.2235789,11992.5732002,12062.6980009,12202.2088203,12302.3603513,12457.8430439,12632.690329000001,12683.3993477,12855.1540726,13024.672155499999,13120.1375912,13246.213517799999,13335.1402497,13496.204136100001,13595.1578857,13751.2322219,13879.5793727,13957.5376919,14130.634402200001,14243.404773299999,14368.4983522,14493.867877699999,14604.268631800001,14708.7599842,14818.9724702,14942.221721000002,15069.206709,15167.9001464,15252.073741299999,15410.562350400001,15501.7679341,15619.777076,15717.2512404,15829.5372831,15947.6554546,16024.7467608,16158.1630606,16254.3201265,16376.752551399999,16470.6270788,16560.0552714,16671.7667467,16757.5727678,16928.900141500002,16993.7225269,17088.694432599998,17186.721402500003,17302.5231986,17394.340793299998,17497.413615,17586.8463399,17692.7740023,17793.6896979,17894.247348300003,17967.9897412,18067.3306381,18148.9788468,18263.061178,18347.471878199998,18427.478879600003,18506.8159663,18624.953653,18682.2126256,18769.2549237,18859.048962599998,18932.151624000002,19003.282918599998,19070.6783962,19107.476194
