,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440,pd445,pd450,pd455,pd460,pd465,pd470,pd475,pd480,pd485,pd490,pd495,pd500,pd505,pd510,pd515,pd520,pd525,pd530,pd535,pd540,pd545,pd550,pd555,pd560,pd565,pd570,pd575
Low,1218.3445937249999,1605.670561775,1908.143065775,2228.71048015,2593.1418514,2883.614558775,3123.6508266,3373.36069235,3618.55593765,3899.66727785,4154.00683605,4432.342163400001,4589.0446246,4824.609447625,5007.450034775,5182.993767325,5375.327355400001,5707.3142294750005,5806.1662976,6003.418217125,6219.081649275,6344.112825525,6609.8595635,6790.247090575001,6913.516249825,7051.7003011,7257.022667475,7417.47424885,7506.857830925,7746.2157383,7893.664144124999,8048.20385505,8122.358488375,8320.6808758,8512.9444012,8660.449584375001,8907.836041850001,8975.101964475,9070.919147475,9335.697891675,9420.6948512,9509.00955565,9694.30468205,9828.667312975002,9986.95857735,10111.61683145,10239.312530625,10473.532640149999,10481.065572725,10645.84772645,10881.478462375,10965.773151625,11095.147436875,11268.00013045,11394.5213577,11479.3565556,11604.2291579,11764.4461789,11948.4427829,12031.075490025,12161.461292275,12320.44151525,12375.081450525,12532.121674,12727.51130265,12835.90397295,12962.057675400001,13106.484149125,13215.787932825,13415.206343074999,13427.051822200001,13647.89348655,13701.407487875,13819.61009565,13984.724813175,14106.41972,14261.1133392,14360.319661649999,14457.607852125,14595.960415849999,14755.29914575,14906.097262649999,14959.382163525,15078.3544933,15233.23753685,15382.7703283,15454.924905775,15599.69388445,15762.609849225,15893.012042675,15944.1211482,16059.9410551,16166.7856489,16287.556329025,16362.83170195,16554.6910377,16689.41169085,16735.52155115,16886.0282961,17052.979996875,17203.828475225,17238.12794555,17449.517693575,17532.791443675,17666.77180985,17771.191574975,17878.47316325,18060.94478055,18135.879860775,18317.60730525,18472.361912075,18647.005405375,18786.898924975,19107.476194
High,2149.4817832249996,2637.138444625,3110.4181939249993,3634.45349095,3942.6111429499997,4336.784445275,4589.184820575,4953.595320099999,5340.669270324999,5488.023901075,5843.4071542,6122.8589305,6321.7851562,6522.17079055,6860.499287,7029.391028749999,7251.391723475,7487.3693286,7662.257630725,7869.3995141,8047.508008424999,8268.631899225,8455.33072235,8655.266463249998,8925.150688799999,8964.630995125,9213.577902125,9351.631851924998,9470.36133765,9639.025748825,9813.0948302,10034.699419499999,10167.723540449999,10339.297640525001,10542.882062725,10629.982168825,10842.366487425,10962.174075975001,11034.12316325,11300.905032175,11470.0681872,11528.119616124999,11687.443061949998,11809.705225400001,11969.751107475,12054.43858775,12294.752053375,12280.357134225,12475.667986774999,12576.1997731,12792.8956294,12902.43988395,12957.363188525,13138.028383925,13263.1177379,13408.2814712,13472.118159975,13532.5670257,13789.228533849999,13867.035507924998,14007.62817285,14154.9287845,14271.685595175,14406.733698625001,14486.868670799999,14622.788450375,14709.1919557,14877.756838075,14956.735174899999,15058.858955299998,15165.142778375,15324.59708075,15435.4432678,15466.60619465,15670.6978555,15716.42074845,15888.92563245,15923.083178175,16026.733083825,16135.38428065,16225.628598025,16366.581741775,16450.55609395,16544.859183175,16627.144400425,16734.3872448,16836.977885675,16918.246283825,17093.880237524998,17174.79799615,17279.5373907,17330.10299785,17463.943843074998,17519.82793285,17639.111096675,17737.76327665,17856.958285425,17926.520033825,18020.20311505,18086.71049145,18173.5559364,18244.093566775,18344.890399375,18429.5152883,18513.319022800002,18593.204951575,18688.148144699997,18752.848520325,18832.837457925,18911.42111965,18978.82207545,19034.9711005,19086.50194655,19107.476194
Mean,1622.84951045,2076.659266758,2472.551806797,2857.6596824519997,3227.2050289850004,3539.5698166260004,3829.1739901099995,4124.197312491,4435.880367422,4673.189398534,4965.81525157,5208.932178767001,5422.8753575989995,5667.461239328,5884.844466563,6095.007709042,6319.554994906,6537.553876462,6734.640599408,6939.338067856,7112.443784333,7295.641509880001,7489.035542875,7691.656083765,7840.907280365,8021.189322729999,8194.665958648,8381.667984606,8517.915179062002,8713.205184802,8888.205507351,9059.535901156001,9176.624002552999,9350.191278552998,9502.383389582,9680.256688724,9832.843386213,9981.377594751,10098.035449263001,10287.548313927,10445.494733935,10535.104549988,10715.696620042,10875.457944987,11007.141383762,11159.475353424,11313.615041258,11433.815155304,11549.322131775001,11683.762964219999,11855.500282310002,11986.729006099,12085.264692304001,12254.872573782,12391.150084929,12514.360123768,12631.704894374,12737.298047029,12902.206309787,13006.179205745,13144.076610254,13271.83309727,13386.429384653002,13525.888930861,13651.296277131998,13776.190573851001,13910.078926457,14038.013512380001,14134.008686106,14269.758125045002,14386.446434489999,14498.397646839001,14597.859190296,14730.380177107,14886.457719195,14982.70497902,15100.440700703999,15216.494346264999,15317.698428352,15446.46517944,15562.343329383,15677.589457348,15772.566516240999,15879.789292285,16011.218294798,16113.424693062998,16226.687120370001,16328.365391239,16492.944879783,16585.865824836997,16663.348190006,16790.046016009004,16906.523009516,16994.318123209,17120.765578665,17220.976807847,17338.914856387997,17445.361926561996,17560.246931252004,17645.200715636,17780.879601177,17869.437832895,17984.210781647,18078.551774109997,18181.082529975003,18278.251310824,18385.368373965,18489.852160888,18589.969987648004,18702.406926549003,18806.725568448,18911.142383189,19003.666861543,19107.476194
