,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385
Low,203.75366750888867,210.34440960490434,215.96413750131626,219.55442230121332,222.94526463127244,222.25754812574692,225.0661794361922,224.62008594594943,227.00243469318323,227.50047170931597,228.4903367125026,229.18082284928118,230.4712877822083,229.70710642560778,231.74954885139633,231.77907330576508,232.28852399973962,232.68021780248208,232.62531571524772,233.3293898831105,233.0519177148747,233.90647500401306,233.72159991363588,234.7380884037111,234.68878222615044,234.66101183310232,234.32479343506932,235.3588005589378,235.20785481681952,235.30820554931637,236.1603711036722,235.52079116682012,236.04929245750287,236.3364117873786,237.07376312034626,237.04791114036325,236.92101031831984,237.7589740518308,237.94712909536196,237.4860500266914,237.69805844257777,238.716700942997,238.97678159785406,238.2318258614279,238.49326970677996,239.23478554343941,239.28833823598566,240.04957448497225,239.46711164827434,239.738762828312,239.65665893919748,240.0503867756875,240.29315093597967,240.2256439457191,240.89234667196268,240.96187476200777,241.1330892599251,240.91208656055267,241.56596461347488,241.24943347661895,241.61688546078918,241.78041357805466,242.1957676484495,241.7239034307474,242.4396201238049,242.72048690027518,243.12988921418471,242.95024216160851,243.49968229025484,243.6229328199388,243.6950207903747,243.80789956904243,244.75085451111843,244.98257680500512,245.1214144490355,245.2261085585399
High,328.93568890021,300.9529908671432,289.42728542802644,297.1018785754236,294.2105187647702,286.6831387906718,283.3160837351666,279.7815961362142,275.5036863629849,276.1068517468185,270.4507026296771,269.12845217268637,267.9064760782044,267.3572179226366,269.34684275424996,267.4349720851573,266.58978666674915,265.79258750594187,264.73263079081397,265.41254565215456,263.92087716309885,262.7041524436655,262.58905318767495,262.37420317521344,261.4142348820662,261.3251965523273,260.09627126291633,260.84398666874375,259.53175039616275,260.6126979956379,259.53244957569495,259.33856768228014,257.9504714838002,258.0995056849571,258.1816855198807,256.98945987826255,257.73134037852503,256.716935656025,256.9044772935062,256.1677854485427,256.1369181332306,256.21335130409994,255.61650160358926,254.99531510685355,255.44053461860017,254.61725171957613,254.57007122110272,254.31471782117265,254.38855085569054,253.7174382567012,253.64232494705251,253.4629045777504,252.99520274580547,252.7903725081656,252.59197626312869,252.47014449949214,252.19398606079014,251.78529667407182,251.6605769955307,251.53796952088013,251.31164771036876,251.071085403748,250.83126219397369,250.57713052190016,250.33339519434722,250.12152482534978,250.06191085423558,249.7978363421638,249.54437564576924,249.20254165832895,249.0823154600066,248.7894398244459,248.5527067221728,248.3640105395823,248.03771328058542,247.74784299719494
Mean,245.61993852101116,246.50629944878216,246.44857016597686,246.69272993273844,247.84858383032923,247.12549365651492,247.57692714324028,246.7178000141419,246.71573106629063,247.02079543971305,246.8239057956331,247.0608953684541,246.68112458377027,246.82206410803786,247.81552430544568,246.80514599926212,247.3148000968107,247.48535529174868,246.90315737212805,246.9912313388422,246.90779960351892,247.32504656202497,247.4302316315475,247.8040388566301,247.39356589221796,247.2115780782965,246.82929844456766,247.33238840257,247.0683695440807,247.3542277349233,247.62028970260477,246.91295182985257,247.25051489584945,247.19841681321682,247.45684241911812,247.15016409738527,247.52089938939955,247.52158379101724,247.2098392750482,246.87259230452344,247.1854219372189,247.39652419458352,247.3292166168802,247.183486137419,247.22325521438353,247.24307955369926,247.15198102392972,247.24398498014176,247.14853797987547,247.18010773939739,247.2072841423356,247.2407722648235,247.08857983053056,247.09398506772172,247.2022746952314,247.20236876778387,247.08512953662017,247.22384596412172,247.15538576919892,247.18441912953577,247.23173321350865,247.2026680124974,247.1848794161728,247.0631653565942,247.2337194145326,247.18678740273714,247.2102665483234,247.1908909595961,247.2341222240631,247.14623663893133,247.18908627826823,247.19218531746026,247.22263904895254,247.22023527677237,247.24042440483606,247.22050746930788
