,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385
0.5,180.2673042329569,200.00476248247614,208.21422104184168,209.71698774050034,216.2278290575001,212.78197274679326,219.74934879655015,217.82033059211352,221.41372886852622,224.3353420425172,222.3418097597216,224.06481541027082,227.45267987702175,226.07132958505238,227.61757662545907,227.77263875956862,228.88262465273854,228.8343104708584,228.36004012028624,230.39909573487063,231.33383634388377,229.75274875466943,231.36319397933053,231.4494048881978,232.19642753942853,230.66547490700916,232.28535945885162,232.46202727936793,232.41852401867584,233.21294514411193,233.59721029758776,233.2598656221524,232.5166983297851,234.3749121612806,234.25422958011546,234.19516012420468,234.46306981506137,234.6746156980543,235.26966750284353,234.89713229813057,235.59905075653467,236.3846571817117,236.2127471087284,236.55875621670106,235.4492442969728,236.66428566492766,237.45594893113895,237.59614163160896,237.4557528949164,237.79696565451553,237.89310972284696,238.0474786761523,238.05537323839505,237.99085585115984,238.05000209866577,238.61724060954455,239.2241023011933,238.71554055547603,238.2749885775463,239.30564846449823,239.34232021838588,240.687086320347,240.44234301065615,240.27911260172056,241.25630089027493,241.3708758626018,241.99483253250725,241.49694487707612,242.70658962608655,242.41602001422538,242.85158039346754,242.71575243772793,242.87841806553644,243.57023156494702,244.7567952744597,245.0024370345513
1,194.87222230478,203.67861697028985,210.65113147000682,212.6881056820434,219.94986550147107,216.5994224572649,221.24832590166713,220.88092889527317,223.5649474403672,225.2138759234268,226.13543621491237,225.26596829493502,228.1605886802666,227.93952554604212,229.4965181394473,229.25716501965022,230.36235708648908,230.74625247517542,230.64563897157507,231.68643178070505,231.8898102276293,230.8408521569532,232.65374283615424,232.49254478867024,233.0079553772615,232.72915291762354,233.24498295053934,233.13844270641118,233.33930937553157,233.74790619750385,234.17932200675736,234.34095598490148,234.9143739423188,234.73342208227777,234.9543884694401,235.15787063626834,235.292164864709,236.00362668959292,235.81231786860195,235.73243345051122,236.39760763870396,237.22958148387738,237.7913223086415,237.2980054587228,236.8867567343809,237.45142707605655,237.7042810777701,238.16003413153408,238.3861400413718,238.32604791482177,238.6820380255638,238.82437728143992,239.07674968730018,239.411818459061,238.90408296754424,239.30072418966822,239.78206216019146,239.48900594751157,240.05483102778524,239.99901989202834,240.40954520970777,241.00730996248578,241.51747086709793,240.90239562598603,241.84183206118422,241.8480280748373,242.47437572056498,242.16324160612524,242.87344946150293,242.97402088048344,243.27248890727773,243.17002532603883,243.15650478951292,244.66868025279746,244.93161153015538,245.05290601528424
1.5,197.9993586125553,207.33386941980942,212.55221336426337,214.3639783473318,221.55965469810357,219.33080084798954,223.35040959694877,222.2406846804064,224.85898937277148,226.90571887168807,227.1998957035556,227.36539165215484,229.16559991950982,229.04950080360865,230.22723818828655,230.64209470844037,231.33266919930762,231.54996164840838,231.67935785155905,232.31531992583388,232.20927948342415,232.59888291849717,233.21773211417582,233.67267681184313,233.76147878085607,233.94628111647359,233.66763626898185,234.33489178654537,234.15960659357245,234.46116743865537,235.27026774278778,234.6024660613454,235.26919738835474,235.2672681827372,235.7018470283507,235.83063249522584,236.198873891173,236.6853906347386,236.72047071393104,236.52014220744033,237.0209235686393,237.5506748784753,238.2653051364691,237.59362557218432,237.63864553664393,238.27332766963886,238.02155740210395,239.34584491363432,238.72028330620566,238.72638263811453,239.17386402233083,239.34066486627353,239.58732569877967,239.74140262268222,239.60924512080527,240.0290181746756,240.42118370319625,239.9319906111139,241.15093961614198,240.53703417566976,241.1170324340531,241.30638370850878,241.78481699449054,241.1728840051928,241.95125472418246,242.18925173555292,242.85337429103885,242.4819881257437,243.0293284493869,243.18625090352646,243.45521564256376,243.36825382038333,243.43274634234123,244.80777657030447,244.98794999448933,245.09604863977313
2,202.10809224881842,209.22749910529453,214.71949098157936,217.98767110294935,222.51714722616066,221.42952304817263,224.76159525604925,223.88901384245406,226.11788177190363,227.3554265471839,227.87294105067497,228.01600518784346,229.9683327736655,229.55403030093595,231.0516609552932,231.1645443384856,231.96438599222964,232.43750583625712,232.42114151494835,232.8626478467183,232.91902048558566,233.23268115949207,233.4146741217504,234.2384108353162,234.01509802969878,234.3783231053605,233.98182559482893,234.79579262594802,234.639428627792,234.7418887146896,235.55442323363522,234.92422450548787,235.84858319826125,235.87223739683432,236.52391485909823,236.368751143156,236.66617011973932,237.18920091410112,237.49054532932357,237.16874776681613,237.44783506754692,238.19834224489836,238.77666655857576,237.97593609556532,238.2294700791514,238.7929917254396,238.9459054658935,239.77334290985684,239.13043364267864,239.12875362393967,239.58755713164828,239.80093101519853,239.96824861685064,240.0818924873573,240.64027005038287,240.76835128996652,240.88047363068034,240.76172772451523,241.431904129467,241.13166704092563,241.4123728077322,241.47610934156293,242.04798447147098,241.46188855887536,242.11527024492813,242.480108072581,242.9923394239745,242.7768575551157,243.25287910108614,243.37127163099785,243.5417041385651,243.64049455257003,244.1793062860476,244.93409555193455,245.05972862742618,245.17542646491012
2.5,203.75366750888867,210.34440960490434,215.96413750131626,219.55442230121332,222.94526463127244,222.25754812574692,225.0661794361922,224.62008594594943,227.00243469318323,227.50047170931597,228.4903367125026,229.18082284928118,230.4712877822083,229.70710642560778,231.74954885139633,231.77907330576508,232.28852399973962,232.68021780248208,232.62531571524772,233.3293898831105,233.0519177148747,233.90647500401306,233.72159991363588,234.7380884037111,234.68878222615044,234.66101183310232,234.32479343506932,235.3588005589378,235.20785481681952,235.30820554931637,236.1603711036722,235.52079116682012,236.04929245750287,236.3364117873786,237.07376312034626,237.04791114036325,236.92101031831984,237.7589740518308,237.94712909536196,237.4860500266914,237.69805844257777,238.716700942997,238.97678159785406,238.2318258614279,238.49326970677996,239.23478554343941,239.28833823598566,240.04957448497225,239.46711164827434,239.738762828312,239.65665893919748,240.0503867756875,240.29315093597967,240.2256439457191,240.89234667196268,240.96187476200777,241.1330892599251,240.91208656055267,241.56596461347488,241.24943347661895,241.61688546078918,241.78041357805466,242.1957676484495,241.7239034307474,242.4396201238049,242.72048690027518,243.12988921418471,242.95024216160851,243.49968229025484,243.6229328199388,243.6950207903747,243.80789956904243,244.75085451111843,244.98257680500512,245.1214144490355,245.2261085585399
5,212.95989306444446,215.50247696133354,221.06498238036835,222.98551102033335,226.04978580620653,225.86538955458525,227.62815796452205,227.764031648155,229.41294291891862,230.2219620883433,230.56441285844895,231.51394375947297,231.80833916209394,231.99000521271387,233.5309372364848,233.5628185484201,233.78561149745428,234.53783288702635,234.3934349981393,234.8123642492406,234.6801180630524,235.25025978070414,235.6255367173112,235.937393076195,236.04530583322494,236.06002626293244,235.8333456512992,236.8275207616511,236.75571962211998,237.27426931401212,238.2045673539805,237.4539259750912,237.82570082228474,238.071733835427,238.58557189509406,238.45559739629866,238.41636772123306,239.11744798733866,239.3764890001986,238.82819310021335,239.11301034657765,240.01497504892603,240.1491643431862,239.94675745726917,239.8558568711137,240.77911913731265,240.5212895310812,240.7204319651085,240.66364628700964,241.08228399878394,241.15274560654248,240.9430920975095,241.28233723539876,241.6116475165365,241.90572619338025,241.90135371190524,242.02751743516345,242.35452851007759,242.5380452147653,242.33979776309315,242.58993812017906,242.52227555429576,243.18555206213313,242.8630829600357,243.41664728461876,243.54408092505452,243.68622220172895,243.6678375591777,244.10347145642734,244.31511554213,244.41565161537267,244.89029648149764,245.14337249694145,245.14942785652713,245.31492739205626,245.54387116521013
10,221.9703602866665,224.0408162742861,227.0788143178945,227.0043575659997,230.29001008097262,230.5122777657148,231.3403077588014,230.9925796117168,231.9583556424723,232.85860181946472,233.18304457164842,233.9219172927647,233.95588858864932,234.1203253968985,235.7481989969552,235.34959081734792,235.7753042717535,236.4164108812819,236.2069476737,236.5437114369878,237.0631652834361,237.959086942668,237.4856451530673,238.1334095202125,238.0443762073506,238.0990787848467,237.7772798127337,239.0933445894067,238.8875201798875,239.3371163805751,239.87705340488168,239.2458566987651,239.425356234384,239.9231508128319,240.0538285930123,240.40031044053418,240.9420763548302,240.7216650292405,241.0236344595217,240.61328925414588,240.6099887013339,241.3518657057559,241.5277995951962,241.3403629132395,241.4589520957041,242.0175309517503,241.99021138382412,242.4333249906626,241.9088394242078,242.3938848251827,242.2235119500284,242.37883536311531,242.4714272390452,242.5274531385968,242.8763202762631,243.1573418644736,243.2753703116052,243.3960147722932,243.3891138231962,243.6514025926011,243.80778937569892,243.9341130162338,244.00512178491002,243.9473807472775,244.4348805149077,244.463099000467,244.62781270033,244.66017409405862,245.17031759983502,245.18549211581188,245.3043111601893,245.3237071398991,245.50005032733338,245.5127495362382,245.8472477736507,247.0147598887884
25,232.34425611243626,233.0676500714285,233.8119995276765,235.05634783954002,235.67087293787324,235.62435833059675,236.66262763429526,236.05504139137375,236.90656147026323,237.52070702022326,237.58693045981875,238.67300648035473,238.13240512330626,238.6581643577045,240.30365996389548,239.68306665048698,239.95449401417576,240.5666977091125,241.0169470189855,240.882663912016,241.204075757235,242.09907003833476,241.95956637247576,242.77642964712575,242.41434150099425,242.51467377795024,241.8365984306445,242.70640157695652,242.67262577102875,242.61821226862025,243.569381435823,242.75282394793274,243.19509269567152,243.031948267998,243.4991426136595,243.45962362095025,244.1232367058665,243.95800938196373,243.878970980716,243.56156528601474,243.93340564595775,244.333162130637,244.3279614766395,244.26627492842525,244.33223234197325,244.51023237496526,244.46097592844524,244.69774530523023,244.48021872254876,244.92893180952052,244.88515623680075,244.997960642941,244.70122882319976,244.94013709724527,244.9574911234125,245.338165869897,245.05194357742775,245.37217103693825,245.24719316852975,245.40686346011876,245.584280210098,245.73538546793776,245.68138750186,245.6432343874725,246.05585196157324,246.029888635015,245.9574862475095,246.05585240897526,246.09047085050048,246.02823787716375,246.08320233242875,246.22622030656973,246.94768466132302,247.06698111705026,247.16779626870675,247.15043045791776
75,249.45552914999976,248.8064640095235,249.348287284707,259.43712011000025,261.127677243793,259.72985226675246,258.25295184395026,255.62380812333302,255.27238382035924,254.9764817406295,253.92016031380498,253.52337652511727,253.21730237808902,253.78042080472648,254.27919768370174,253.076839821857,253.517153778566,253.29944017479676,252.4855010256025,252.47500867119152,252.10556319917026,252.41013165406827,252.3910705080005,253.09459423885275,252.15913274084025,252.02223243567525,251.6881184248275,251.49615284386874,251.48289087944852,251.9675358978765,251.95175152776324,251.1184601118195,251.21854186959825,251.1478845255685,251.36740609032276,250.81397130516874,250.95434122155024,251.271372406938,250.6011005397035,250.095001743707,250.492518785209,250.42263014285476,250.28308295771575,250.13832857710875,250.39832457851173,250.19325479626002,250.129773910548,250.0093198095115,249.96903684050199,249.815787932324,249.76254958212127,249.775569171016,249.55239558839924,249.5339992883865,249.42224621610126,249.4203239499335,249.19722314877498,249.33190515929002,249.21572291572323,249.2267085697245,249.29769785668975,249.13466193973875,249.01432577022027,248.940665484936,248.85158947035575,248.7971610033045,248.69433960510625,248.60100477186026,248.528406031244,248.3003205860365,248.2448760870965,248.11050997599224,247.95109951367448,247.7913661882535,247.65632343816574,247.45996930246676
90,263.4551588414678,291.2514139336759,281.3981778010054,274.62869662834675,271.0041396425267,267.38533650958,266.1424133420002,267.33302767689054,264.1321109295143,264.40693926019736,263.8411328737468,262.52106177789136,261.6372806280183,260.0702555545908,260.72023324128355,259.38854329554806,259.71848724428133,259.4618383711448,257.816526758781,257.40874938490333,257.5952588586869,257.54470478465515,258.0491307496311,257.90082726068005,256.4433210837255,256.4364121813076,255.76828735208431,255.6376114455797,255.3731950431478,255.8904363064918,255.1359298450729,254.9611458835577,254.94647536323347,254.6908664480833,254.5408873295839,254.16291006477152,254.16628073985902,254.2548443461246,253.61910356328679,253.15547161893042,253.5290164073858,253.100010900499,252.9567565777385,252.7342237234877,252.79912137743838,252.152167843666,252.3318876575041,252.0223479491609,252.0945439611576,252.10318596268988,251.8087748029456,251.6703253912913,251.5566423301265,251.384960927269,251.3391757052583,250.9978019275373,250.74404126261868,250.8577034065649,250.6385566265737,250.6044450608659,250.4640908741081,250.22476748780062,250.0240446524092,249.8377801336789,249.6523987524753,249.5081283606783,249.4041998613813,249.1781659025144,249.0350618860026,248.7089055087119,248.6630675135439,248.4527047845834,248.25744975631702,248.0564118183042,247.8545036490369,247.59633943979262
