,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255,mntd260,mntd265,mntd270,mntd275,mntd280,mntd285,mntd290,mntd295,mntd300,mntd305,mntd310,mntd315,mntd320,mntd325,mntd330,mntd335,mntd340,mntd345,mntd350,mntd355,mntd360,mntd365,mntd370,mntd375,mntd380,mntd385
Low,108.0274187125,105.68506861166699,105.92658003483501,97.9002499181,95.00273873416673,95.64685721681434,91.894773451875,91.47115156739449,90.285594865665,88.93372412716863,85.11486412549525,84.69105605734617,83.80412784856432,82.08465562687047,80.19129260085958,77.87811402455104,79.59390674710559,77.62619132179248,76.60466970925,75.18558139698072,74.67294857691157,73.21183354491889,72.50893643596962,71.535276263826,71.41480739366307,70.23166384193833,69.98930954025678,69.16300200858073,69.24677389564732,68.0301829441369,67.44166946726047,66.72740204086583,66.38253163211563,65.23232970192413,65.2289290456473,64.83518476759471,64.22754853284529,63.57077774677645,62.96472177279412,63.244231857343806,62.362924991718955,62.12563723623064,61.953713088465186,61.32986462778102,61.06078752520405,60.673121646071415,59.81752404541108,59.7838340817097,59.8862231421247,59.395173465933006,58.83800590887296,58.60142263349627,58.520551687518186,58.082014496747995,58.00265393781586,57.36244893596065,57.019590831945415,56.9141695302915,57.11672754817321,56.853563379381676,56.36069629696594,56.134501588341706,55.784567365436395,55.84910502316946,55.5996176860913,55.34704300824096,55.38727097226151,55.12792075491108,55.183197663248585,55.036326184895884,54.82628523551968,54.71274400461798,54.6988964957149,54.688893479372034,54.66667232582758,54.71472626854414
High,246.84113152724998,215.22638779483333,193.328723726125,177.21303425516197,166.39022161499997,158.03546400235257,151.5769120321656,141.32189097933488,137.351394913,130.621589401025,128.15870753841855,122.5990621734005,119.77095422605987,116.35271392082464,111.778467752725,109.22989423336848,107.41001573812385,104.43021638332402,103.81590417506587,100.90794004846542,98.4954438094059,97.36938627979715,94.4142024117218,94.35160524270479,91.95640336152984,90.16080461927885,89.47431943034682,88.27870273703745,86.6983048182333,86.71143552506942,84.7729215644248,84.14611015653297,82.94078783515089,80.89395799891032,79.89760704345495,79.2768026760196,78.19291998323561,77.53476368591747,76.92079164766119,76.1811880635602,75.31316440939875,74.5304687681081,73.54352090643127,72.6853284525647,72.2862259209922,71.42249900795056,70.80400010295578,70.57453946556049,69.6659957391156,69.18280441160047,68.27535109365304,67.9188075889173,67.51453686977504,66.89340258999489,66.28873278166868,65.8487621826956,65.2949070378668,64.85695290552137,64.22400605894329,63.85819535705429,63.39313208038303,62.69636590929986,62.2756325315018,61.94479003219563,61.22633789779477,60.84705172584347,60.62859705717497,60.06034294265069,59.62948024259454,59.16784878080808,58.55924294381816,58.190587877502246,57.810460501322964,57.2861789188387,56.72356313371316,56.1454023760117
Mean,173.1938497945857,158.9771675527448,146.28581839374408,138.14581188548638,130.4315884790475,125.14305522329988,120.52476517838024,116.79350066024999,112.80171909604438,109.29803102713763,106.27664372640865,103.41814856864194,101.40528552929953,98.6942535987065,96.05294935102842,94.44998254067539,93.22160707649722,91.31338928080882,89.82355672678267,88.22486203513883,86.56061949791061,85.30478613801417,83.89861056618986,82.65542278633927,81.87032223320834,80.54849090693239,79.58398606142391,78.96359085661497,77.94851943127796,77.00693694108872,75.89999246560625,75.50219819688091,74.56241164662508,73.58227045128922,72.62666516495356,72.11644815478066,71.4576053873039,70.76690343121568,70.18398809817121,69.52812564947354,68.86323783820345,68.35016428260379,67.73630674234069,67.22060710864389,66.62291218888551,66.17432257007412,65.50898321964786,65.2052110125315,64.7130070056423,64.32288556017207,63.750834711515004,63.36898101997548,63.00701329326522,62.53827519496658,62.18153122248837,61.68609394012503,61.4682744034374,61.07793330992572,60.6950179691548,60.382329757672544,60.0261738369491,59.6240603596041,59.28112646492569,58.97116843745112,58.65786523590669,58.35558064409931,58.001718954960225,57.759809764036696,57.45577242502767,57.15726132640909,56.88470564986657,56.62783358825622,56.341695256728904,56.0557281151425,55.817245694548134,55.52302052558554
