,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385
Low,938.8449379,1319.42155205,1641.756482325,1964.237600746575,2258.2014873715,2540.088665989,2819.1613709860003,3084.77432242325,3394.3568942398247,3634.595790675,3833.6577145385,4115.9947868395,4354.432333191,4608.317646269001,4846.70707380125,5080.2266712685005,5310.410353808575,5518.4639034715,5704.35551756725,5944.754468733575,6169.616132090575,6363.18283502775,6621.678031071,6816.749179635425,6930.1635088075,7176.9624697415,7396.065549648175,7541.843337618825,7822.566468712425,7968.8655358105,8142.51860906325,8355.114302498676,8560.33030489475,8750.907226241,8964.68415682375,9122.050586489251,9274.155145501676,9505.158366432575,9632.09749027225,9861.204370955575,9981.373989473,10224.218768273076,10347.188657231001,10546.554642656749,10764.768659103174,10897.140474579075,11088.371001483676,11239.759308864075,11413.273427555425,11572.558939023325,11737.39378571275,11868.78087145225,12054.157927908002,12224.328692728175,12390.730168504999,12529.9912880855,12727.58072112575,12883.920303895677,13064.85866380025,13185.635647784251,13403.62013924175,13537.213943927925,13656.2752435435,13862.593521922501,14005.279281305677,14149.17361240775,14323.05825129225,14467.481377437074,14641.666333958501,14837.2284706545,14996.6664761055,15139.5967841545,15331.558726668749,15498.144283906999,15637.287978657001,15869.907884807
High,1525.863193,1964.3916300085,2433.5166661885,2806.1790784749996,3185.746167539,3515.71874013525,3852.98798452325,4161.7383039905,4450.3243368349995,4720.8633485274995,5025.915986,5342.3925397625,5575.9848569982505,5815.67536904,6026.998048838324,6297.64710804925,6552.1633578185,6807.711034216,7013.85498889,7241.669273578999,7387.245902334575,7657.3728396139995,7860.983419785675,8090.350634008425,8346.93553080475,8546.68424118275,8700.127019670073,8917.083556198,9099.8349858385,9317.344022546999,9442.418101253174,9627.673815196174,9878.682978879,9970.937710069575,10236.659493283325,10339.384069628575,10623.1539617905,10737.829729160001,10923.65484969125,11032.001854252825,11293.314642945825,11409.29882879425,11597.7345289845,11745.233119703325,11913.472936045926,12074.43025683475,12213.854189286,12412.136790528,12531.83056507475,12672.721383824675,12866.079082521825,12974.959580685,13175.506562858502,13233.615023293001,13436.42965301175,13571.009262861999,13739.35912860925,13854.679463216,14003.41867213425,14130.826544346824,14274.7209605235,14409.03109731125,14564.196789191325,14692.757789082001,14844.760408043576,14935.516490967075,15081.8478148595,15199.85079100325,15322.5691305345,15443.15599149825,15577.38606191025,15711.19035773775,15793.124285507,15907.346031947576,16011.714414082,16086.044123907
Mean,1225.916602495326,1636.259250488448,2018.74700824332,2363.8214576272444,2707.583331343065,3028.5182589286846,3320.394438401554,3608.9692486714303,3908.351323022582,4179.031717587364,4442.054267917941,4717.988955608315,4962.50031579144,5223.134359223975,5466.901345476899,5714.6346595588775,5933.994784752056,6163.71926145016,6387.882771495734,6615.826773175273,6809.328217733302,7040.391178331621,7242.283302985749,7450.901468908321,7655.653693134034,7865.030005674647,8053.327815691924,8266.347931015542,8462.18721033771,8645.156920002093,8836.038336991283,9019.372040872559,9225.135947436705,9392.330614132166,9599.790297555464,9758.789711265694,9961.28158392914,10133.738200135085,10299.357782742154,10461.382012553971,10642.627451190565,10830.450095458404,10991.647311065908,11151.351313796637,11333.768262109854,11492.428289839754,11654.161129537373,11820.787250592793,11990.546271755311,12138.887841010914,12295.459124537852,12461.357315378207,12626.503133173506,12756.369006647674,12932.156504651153,13092.198212637612,13243.951850326564,13390.008791394428,13551.604663952194,13687.34801537151,13851.658633507539,13995.150241919067,14146.410672361611,14294.934025524824,14439.884035798692,14575.426075394455,14735.575110851418,14874.337085322039,15015.238718955301,15159.93489993416,15310.892869022167,15445.686339573875,15590.32524314554,15731.038732458208,15868.27310144883,16004.219359858631
