,mpd2,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40,mpd42
Low,16.702936698174998,45.41482073955667,146.59653727333736,152.65497063251297,173.2642436321265,182.04797369083647,198.2038877195126,196.11074882268795,204.62772546579345,216.59677242978282,223.83613195367732,228.66029962605634,234.7613961301687,235.2519657806346,238.88633114089035,244.77949411882594,249.93378932386113,253.98664675260318,258.23349176221774,260.5642871810313,267.702090080815
High,426.3841998179025,393.75929975538924,369.42631519353887,356.91063839919195,348.27948266928024,337.5637354745001,332.8713236338224,330.1057880098021,324.3157883151261,319.71357076546195,317.5912952996584,313.0745088608143,309.0795717556918,307.34890565846257,302.3805617835597,301.1286562260554,297.56365893087826,295.01682222011186,292.09993205473495,285.9022727787743,278.705277542434
Mean,274.02801224691433,276.23655745785624,274.0627557767579,275.0339589342582,274.96786733116244,272.2448411153858,273.52975906040894,276.5639920404771,274.3880914700667,276.63480058756596,273.56626139385065,274.74081713969946,275.30331267778865,275.6138804042858,275.3164249232465,275.2516749116887,274.88619126456655,275.27877026128,275.3838041052912,274.99179148202376,275.27875929261694
