,pd2,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42
Low,225.441597809,271.660582787425,455.91999755225004,531.1862615244225,634.548137460025,764.347856789005,821.9833817129501,961.4273790823501,1047.65284495367,1167.99004306667,1223.885373779755,1339.1894186315,1411.7830329498752,1460.638514858425,1558.898693873775,1616.019979873075,1723.80480229665,1809.5521013861999,1888.98825907855,1981.6615271795501,2066.0959716833
High,426.384199808005,785.6092996746,1007.0982132326948,1174.7391716806549,1362.2599373398398,1444.1232250124774,1582.4478205880973,1657.80550966587,1738.3216902304698,1842.567010713605,1914.5715831411248,1980.1146264719398,2048.136408157775,2121.480741278355,2155.7110339029,2176.383322190975,2198.116884115895,2217.139458286775,2233.74779909795,2245.3966027133,2253.4023815833
Mean,354.06559005737745,542.6096464307611,710.1947375388075,847.4739813419325,981.4988924934077,1101.933922446592,1210.1002580202683,1314.1452482005152,1411.0308504994969,1509.3210490194344,1580.4229811405726,1669.3114110048218,1740.6329681710884,1807.4555215831792,1873.6341336646967,1938.3336435487522,2007.6397394189396,2065.834939718183,2126.26942820705,2178.360265497503,2229.4943190683807
