"","x"
"1","Actinemys marmorata"
"2","Actinemys pallida"
"3","Anniella alexanderae"
"4","Anniella grinnelli"
"5","Anniella pulchra"
"6","Arizona elegans"
"7","Aspidoscelis tigris"
"8","Charina bottae"
"9","Coleonyx variegatus"
"10","Coluber constrictor"
"11","Contia longicaudae"
"12","Contia tenuis"
"13","Crotalus oreganus"
"14","Crotalus scutulatus"
"15","Diadophis punctatus"
"16","Elgaria coerulea"
"17","Elgaria multicarinata"
"18","Gambelia sila"
"19","Hypsiglena ochrorhynchus"
"20","Lampropeltis californiae"
"21","Lampropeltis zonata"
"22","Masticophis flagellum"
"23","Masticophis lateralis"
"24","Phrynosoma blainvillii"
"25","Phrynosoma coronatum"
"26","Phyllorhynchus decurtatus"
"27","Pituophis catenifer"
"28","Plestiodon gilberti"
"29","Plestiodon skiltonianus"
"30","Rena humilis"
"31","Rhinocheilus lecontei"
"32","Salvadora hexalepis"
"33","Sceloporus graciosus"
"34","Sceloporus magister"
"35","Sceloporus occidentalis"
"36","Sceloporus uniformis"
"37","Tantilla hobartsmithi"
"38","Thamnophis couchii"
"39","Thamnophis elegans"
"40","Thamnophis gigas"
"41","Thamnophis sirtalis"
"42","Trimorphodon biscutatus"
"43","Uta stansburiana"
"44","Xantusia sierrae"
"45","Xantusia vigilis"
