,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75
0.5,123.46947732513053,131.72465615936764,135.21590291736356,137.0615190400868,138.19291001057695,139.32341970426737,140.3665419747632,140.79297149115538,141.35162604442766,141.8926629327513,142.28257902156636,142.72621640085157,143.17544556052968,143.67317622985271
1,125.38070142920529,133.14476925492792,135.91375359337087,138.4550173315951,139.1095712221774,139.74647218151648,140.64994783213945,141.1840217005811,141.4414870554017,142.28292034749242,142.3924438161235,142.97674019293788,143.32555645231537,143.7076843743323
1.5,126.07930699067164,134.07833759844686,136.72633903201137,139.21398755656858,139.7267118911862,140.09079706684824,140.90137143093324,141.30336309432565,141.8486973807874,142.40272647285403,142.52488668744851,143.1283093566297,143.44480398365272,143.82676365950488
2,127.749048940156,134.6834483080552,137.71368704358025,139.62028806600276,140.25679932246223,140.5383980325068,141.0332648352432,141.6381307603013,141.90579292735225,142.5304355248409,142.79484428473245,143.24058145005532,143.50334830875826,143.89524317689435
2.5,129.44534158058755,135.0184217481671,138.00013033005288,139.81775403955535,140.4543808001061,140.78142942066452,141.2069903170262,141.89586591130745,142.09291078915385,142.67922512157918,142.94689060906916,143.296958897654,143.59562094287622,143.94347145761657
5,132.89670739940536,137.26796059092266,139.22002953836537,140.802718388232,141.09817009435454,141.47193287733356,142.0518450187298,142.3357866442289,142.6108361599311,143.1988911324214,143.2449386641611,143.61756426980793,143.8420895077277,147.9666570242489
10,136.0507398502574,139.2539297854053,140.82848821091068,141.8432519030819,142.13516829056672,142.51902773327782,142.8389051097244,143.08364539314698,143.0975900725792,143.7004631332843,143.7189884554117,144.04706776459952,144.347984809176,148.197321674167
25,140.37362667043251,142.2038753181705,142.89625289686325,143.37195160159575,143.5994760550795,143.90271684743652,144.24262096495875,144.3432350720465,144.24576674947073,144.86237614438951,148.3288642046755,148.5753107801985,148.57447094575625,148.48842170558524
75,149.5773623626935,149.07094336952827,150.37588278760398,156.8474211750025,155.33508809628324,154.0817219622075,153.14345304621324,152.2326562679955,151.32514341095126,150.77341271389,150.266460118365,149.77449949756576,149.31110214323675,148.893056563663
90,175.6636252075262,168.1077604911491,162.86398299691479,159.5865975845521,157.2486116943131,155.5167205764595,154.1653766896574,152.9032187287252,152.0280722207529,151.3750760189752,150.6728603721079,150.13859566425822,149.5574295614331,148.98252482423848
97.5,184.18218506031042,171.7494073846226,165.02291326551773,161.23111056037646,158.6388492995987,156.50210552433057,155.1237458558743,153.50462010207593,152.64271167571582,151.82877913356023,151.15442962291203,150.37816910338594,149.77147339079804,149.05068168284478
98,184.27838836499194,172.21967382446687,165.32494384900443,161.2680436016965,158.8542867787159,156.5948277281614,155.23801049132587,153.65343945238578,152.72955744516074,151.91977733166857,151.2087977466735,150.4190143025747,149.80723921902768,149.05414687945026
98.5,185.2835247595274,172.40586166370184,165.53588493991126,161.47423037702504,158.9075436897709,156.7731791386535,155.36023095898773,153.83223929056155,152.83990015246866,151.98061575327256,151.28564389900532,150.4551021706941,149.82169031093864,149.06059898794834
99,185.84117485926362,172.76515056930745,166.01160892689418,162.10678752979885,159.0743032691608,156.91907555720474,155.5002777870909,153.93871064768965,152.94361591456322,152.1691903475854,151.34861925957986,150.5078612971011,149.85584011258078,149.06854335835519
99.5,187.01133980806276,173.1923047685472,166.5619369884004,162.59953538500196,159.4903380351774,157.26647121681563,155.68592801461645,154.16452395344785,153.10430050443856,152.2498337276428,151.44139920692746,150.55379873488414,149.9122736990864,149.08700805396302
Median,145.1068833611705,145.49904300169902,145.315469813286,145.690478063232,145.755628673264,146.18408870921752,150.7845096654505,150.782451977628,150.07341449564,149.93818409873148,149.6852115437975,149.33776585004398,149.0132122145345,148.7212565972605
Mean,147.80342059770248,148.54391772694675,148.45938780591857,148.68674218334553,148.6631094197943,148.5836388671925,148.74674410602532,148.63575651527668,148.1761596332202,148.535033780217,148.47770417151145,148.44626343750204,148.45968634542913,148.4883321931613
