,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75
0.5,490.028161741455,641.0738866429416,786.199407495355,891.9338171870495,1007.5631200603431,1070.3796921096475,1161.6560928455826,1280.0708501822214,1390.77027884793,1455.351485495671,1550.8973718852226,1629.8303802847531,1729.866821682185,1847.41305632883
1,495.065346462079,653.274582008675,791.51260615967,906.1818512572561,1010.8209738706249,1087.9855315588381,1206.604268941214,1297.512144730748,1403.462942269659,1479.80132566577,1569.49887051664,1659.6341725963641,1749.31585470076,1861.49647373083
1.5,507.957342885183,669.3721442824004,800.1274786408444,918.63571643873,1019.7525405565315,1120.8748810928269,1223.997687492022,1307.0026257024085,1417.361633525367,1502.4604028453673,1577.34533072547,1669.325197255864,1762.7776241037059,1866.010801297065
2,514.420219252504,673.345222034296,804.758708534916,924.406356835652,1027.432956230006,1126.186246069964,1234.953905334212,1317.659619044074,1427.789468864702,1508.038798856692,1592.93548956961,1681.24561891798,1766.33714252228,1873.33424186294
2.5,521.4064674946875,680.0061443319349,810.2833643158725,929.226157916255,1041.3698688495824,1132.1559024397725,1240.362235394065,1326.053204577415,1433.4264220194225,1518.5025477080774,1601.9316979763748,1693.0505123581252,1775.98683470725,1876.5498995367
5,542.598176430035,700.78398895554,833.962685638245,957.404253320075,1069.31417876511,1153.87505844694,1276.845429358355,1353.4593057025052,1459.99638084583,1541.51593485772,1632.6023899939,1714.86650467225,1807.60590247585,1947.86542322215
10,562.98652660612,721.38424986013,859.25498379833,986.4989075888301,1101.1769563602,1191.69515631981,1303.4441888532801,1389.0686870408201,1485.24858675852,1571.89828267052,1660.1575272386,1747.6196397487,1839.75874211514,1975.6866705643
25,600.36963184065,766.442104820525,907.779246828575,1031.797986798775,1153.274935019825,1251.4190857895,1358.957327410275,1447.2094891842999,1543.2450681336,1635.336607187575,1726.3806889943,1822.6947089083,1913.85540120605,2000.69783078555
75,690.90166357025,881.80740804485,1033.376141686325,1172.371901205,1296.3190678688752,1405.583533166975,1510.89782980295,1599.635184086475,1682.94370203585,1770.6094388627,1846.44427394695,1915.34251789835,1973.98904815735,2032.29361178355
90,753.14594576009,950.00392064038,1107.014603687,1239.3873698416,1360.46398522121,1463.18273377022,1562.1775075600901,1656.64976881533,1727.3129531252,1811.9009751829801,1875.71914707884,1936.9797736315002,1991.8755311018401,2037.0797436562
97.5,806.2174437849925,1005.5542942693124,1171.1288789090074,1302.8635431758275,1416.9603982815327,1509.9602622541825,1605.7231701872524,1704.4895220861374,1765.6030971073399,1841.7063253008898,1901.723713411715,1959.5589043387552,2004.90962833905,2040.38764012459
98,812.774680883258,1008.830700078432,1176.461935551758,1306.9755173632,1430.24025607691,1512.889795116066,1614.940156273988,1706.96697751157,1767.85946680536,1848.198874470492,1904.1816172602719,1961.749171518528,2006.332705955904,2040.699716026928
98.5,817.5231097209559,1016.6156490669815,1186.79541330853,1322.261403827469,1434.2724836583764,1517.86738403797,1620.081397339773,1713.5362269969967,1771.2838775665214,1852.2942591316194,1905.952247713866,1965.8101284611,2008.70241030682,2041.425636074305
99,830.338443253516,1027.26811214476,1198.847997344411,1333.277082715632,1441.899830127469,1528.9952597442168,1632.734861340874,1719.352795880448,1779.314126786508,1859.715866911054,1914.230854098576,1969.4292585463081,2010.2669399602241,2042.196552924596
99.5,855.6820625963979,1038.8821854162486,1212.563495831724,1348.8595347893845,1462.548046559124,1549.3918709623779,1644.542524372138,1727.0357993157315,1792.04149105645,1863.3895599280333,1925.263788563393,1973.527906703867,2011.14426235844,2043.5935057559182
Median,642.67188875835,817.4777669097,970.8126881378,1097.73948372335,1221.8756415398,1325.06059424645,1433.5847969349,1520.7851801418,1624.1739045063,1715.2935641264498,1799.8051234898,1877.943215626,1948.9168729345,2021.3467568388
Mean,649.468106769484,826.5443650630779,975.5374350668343,1104.7818060356958,1225.3867924756207,1326.1261245013573,1432.3733632958579,1521.9383006020964,1613.3958299731776,1701.9200890431616,1782.574131712496,1860.5084428841662,1934.0384701791713,2009.9473810124675
