,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34,mntd36,mntd38,mntd40,mntd42,mntd44,mntd46,mntd48,mntd50,mntd52,mntd54,mntd56,mntd58,mntd60,mntd62
0.5,49.27949914000003,47.6607335825,53.233201649,50.78387910666667,46.69349396428573,50.096871308749996,47.422698453333346,46.849616642,49.23126827318184,48.28951307625003,46.36595943692302,46.090097190357156,48.35016844966663,47.2714875315625,47.228673489117675,45.778758888888866,47.08888474105263,47.0943953445,46.275987184285675,45.66158090977268,45.74357403826084,45.54433416791664,46.6859586096,45.536795077692304,45.27810273666669,46.415249836607146,46.63393429517237,46.3722187195,47.6403168387097
1,50.92132216000004,51.539880929999995,55.53727655,53.231643696666666,53.32328586571431,51.765125421250005,50.83624255111115,49.81986304,50.89211121363632,50.01677863250003,48.12025686076924,49.468013827142904,49.70974778733337,48.832633511874995,48.25744231764709,46.91075166444446,47.83822804842109,47.5197943425,47.31558945571428,46.58394434318186,46.81421327565221,46.37676094958333,47.2291546736,46.6847505457692,46.65632588703703,46.96111283214282,47.19079934586206,47.160212478000034,47.6403168387097
1.5,58.1698074316667,55.475796251249996,56.545549511999994,55.1730665566667,54.57520540785717,53.778976111249996,51.87037526055557,50.623479853499994,51.09049436454541,51.8484913783333,49.122696622307686,50.06678630857137,50.7105837336667,49.469117476562495,48.786481562058846,48.27883176027774,48.475001034999984,48.1743743075,47.85482617166669,47.5737277204545,47.296158196086935,47.511471724375,48.0575796172,47.02209596999996,47.145468725555574,47.27584332053574,47.42957215931038,47.3846209971667,48.576407483871
2,60.36232129999997,56.649476635,58.348719788,57.11670902000003,56.115631728571444,55.21708279,53.44916419999997,53.117687658,51.98574282545451,52.379497656666665,50.272161761538406,50.68865958714283,51.18051628400003,49.87042667875,49.32667579294122,48.467594344444414,49.00768715578945,48.556282257999996,48.55590877904765,48.00025637545455,47.75881807391305,47.86336049,48.2850355336,47.26477705923074,47.29404387703701,47.7985510378571,47.75100378689658,47.63157836133333,48.576407483871
2.5,62.8816633166667,58.4219298375,60.84060966,58.570758862499964,57.671857085714315,55.904167615625,54.115632186111135,53.62107698,52.21802936818183,52.786057154166635,51.045174984615414,51.28004934285717,51.647976994999965,50.6038950265625,49.76039596911761,48.89375901666667,49.25059216052631,48.96062976125,48.906393001190466,48.365580042045494,47.999393027173944,48.190844844791634,48.536792043,47.49692486442305,47.643154173148154,47.92722253035714,47.96011389827586,47.7547342825,48.576407483871
5,70.4485711,66.4096150125,65.97474252,62.59880415,61.705537757142835,58.65946901875,57.467847983333286,56.49722094,54.85452485909085,55.01254028333333,53.083900538461556,53.38487637857144,53.31184039666664,52.294559984375,51.707855567647016,50.749593222222224,50.47657661052627,50.159330705,49.998510747619,49.57294741363639,49.052526708695645,49.161282299999975,49.1427926,48.66252810384615,48.498054022222185,48.592846757142816,48.562518679310365,48.582852124999974,49.0608847419355
10,79.32458693333334,74.99029395,71.55934748,67.55575908333337,65.13902057142856,62.479736837500006,60.59607825555552,59.77387092,57.71340016363635,57.28354499166667,55.95943561538457,55.64999241428571,55.31267716,54.296921087499996,53.62771478823531,52.75247866666669,52.22324945789471,51.94175832,51.39929485714282,51.2624548863636,50.33761657826086,50.67229162500003,50.342712368,50.06553686538461,49.69599733333333,49.4509769357143,49.29729752758616,49.272236240000005,49.5462261935484
25,97.7148944166667,87.80362475,82.57247115,75.82727379166664,72.33039099999995,69.54526959374999,66.7517018611111,65.468281775,63.19589565909087,61.94337972916667,60.36185990384618,59.40729957142855,59.16615328333335,57.98994209375,56.766849867647046,55.9549453611111,55.1316691842105,54.892636762500004,54.49178424999998,53.560172011363626,52.70253141304345,52.64302371874997,52.10884898,51.529687028846126,51.1879526388889,50.8991416875,50.37918634482757,50.2609948333333,50.01384971774195
75,133.13673658333323,115.2649304375,104.2825019,95.7971418333333,89.57738285714281,85.12460362499999,81.12043461111108,77.83509125,75.26676524999999,73.07354964583332,70.56171140384618,68.45534332142854,67.66038219999997,65.914517828125,64.1666486911765,63.1382615416667,61.86081863157898,61.0041028125,60.00176810714282,58.89451187500003,57.81597782608698,57.03545229166665,55.96509342,55.2003921826923,54.30378382407405,53.56093641964288,52.8324654827586,51.865660624999975,50.777466
90,149.023308333333,126.33926765000001,114.12042748,103.9447993166667,97.13883591428565,93.342773,86.22438134444444,83.41808736,80.3074937272727,77.77355515833335,74.99282807692306,72.82344408571429,71.36613786000004,69.34803728125,67.50678454705883,66.18184054999998,64.5937013842105,63.593962455,62.30433088095233,61.162917327272716,59.936919139130424,58.910889170833364,57.924864824,56.846678207692264,55.51752326296296,54.70453558928574,53.65168546206892,52.52383665,51.3442197419355
