,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40,mpd42,mpd44,mpd46,mpd48,mpd50,mpd52,mpd54,mpd56,mpd58,mpd60,mpd62
Low,135.80227147333332,142.7859307464283,151.86696219666678,152.65753019090897,155.70269956813232,157.48856366749968,158.15951766045725,159.45182257473678,160.811342372511,161.49141754057933,161.34715442630815,162.9965639880951,163.02318267827587,162.42355370292367,164.21062934750455,163.90967832253963,164.39546534729757,165.16230970506413,165.19311439895435,165.68306452684976,165.63823308420302,166.08296701090381,166.13841590420427,166.5062825154604,167.02777710471653,167.09993207551923,167.58774708811242,167.98067398531109,168.639493112639
High,185.06285703000032,183.841454,181.30422326222265,179.66207801969688,178.7888769620881,177.58877342,176.58950352222175,175.95320977552655,175.85943629783543,174.898659810688,174.79644448430747,173.99806058611122,173.8449486803444,173.46417343326573,173.25205057745097,172.86659228484095,172.855380168492,172.31296775480774,172.27374253571386,172.0002815620506,171.77366413835767,171.74365846245536,171.2829292000412,171.12551016455518,170.89515872592628,170.5365137103569,170.25164423460387,170.09201277403918,169.526679619249
Mean,168.7824288966667,168.5437913062143,169.22010767626662,169.27944399181817,169.0770458209011,169.2832323535,168.92341580688887,169.3025377322842,169.1617627457316,169.07181246969563,169.01052570743386,169.0656367371587,168.9100031687954,168.97456738494756,169.16178982939752,169.04998373619682,169.09891485084208,169.1056107775564,169.07105298087572,169.09326789080126,169.10781303948403,169.04920353414892,168.97487806822855,169.02885766325792,169.0402094526373,169.03550630992078,169.01886617786568,169.0893443793887,169.04968602525122
