,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42,pd44,pd46,pd48,pd50,pd52,pd54,pd56,pd58,pd60,pd62
Low,348.8975808,444.1490704,517.8014686,594.6931312,682.666810325,755.280118325,818.65356035,885.050803525,957.214424625,1020.21537145,1087.54633285,1137.4030393750002,1207.2350288,1275.2481530500002,1338.653324625,1396.10492675,1441.7346929,1514.3413859,1585.2183412499999,1648.552824,1696.411317,1756.636292,1811.629171525,1876.7993946499998,1942.4991894,2000.385978675,2071.345838525,2134.873263625,2210.762154
High,528.701179,649.8471093750001,764.034664825,854.4850795499999,936.9195686,1028.263296675,1106.44982055,1186.0199137,1254.8406049750001,1337.0919574499999,1389.44010985,1454.173771275,1512.4384174,1584.8165605499998,1648.155993875,1705.169531375,1762.484127325,1809.1000802,1867.447443825,1911.95289165,1976.0099940750001,2014.306778225,2064.842314,2110.735476775,2146.74205385,2187.8092641999997,2222.6976648,2258.717077275,2283.908798
Mean,448.37844399399995,552.384240264,647.612361638,732.7326229129999,815.2301734859999,895.537595527,966.907372544,1037.777526977,1107.725309307,1181.546455789,1240.803978046,1305.4180506110001,1368.541125449,1431.438857841,1496.024010908,1558.8815419359998,1612.820124961,1670.8824812710002,1730.7447989949999,1787.592132015,1841.455073118,1897.484259468,1949.57270112,2001.814235678,2054.276454881,2109.040411389,2162.050564762,2210.500190593,2261.5379744680004
