,mntd4,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34,mntd36,mntd38,mntd40,mntd42
0.5,50.7481463,53.7394803583333,43.9809474175,52.477371475000005,49.71747966916663,49.2959261457143,48.765177918125,45.93512183444442,44.8486656925,44.977298295000004,46.31483976416663,44.55596971192304,45.54521609642859,44.62063975833333,43.780661214375,44.588446410882334,45.113395721666656,44.78777834578944,45.59116840725,46.6831895238095
1,62.27446639,60.65437408000003,53.832397942499995,56.820159136,54.03057852500003,52.3467172628571,50.515441724999995,51.380945641111076,46.754033596,47.35971998636364,47.165198280000006,45.38213344307692,46.473384589999974,45.134078753333334,44.553257626875,45.27253379764709,45.52435004000002,45.2294695152632,45.866278329000004,46.6831895238095
1.5,69.335845105,63.4719612883333,59.96514793875,58.881287894,55.434771972499995,53.99976881571428,51.810569272500004,52.32295678333333,49.475708408,48.48842683590911,47.55935628625,46.76168101615383,47.15316963571428,46.1973873003333,45.544313766875,46.12983534147058,45.7850678347222,45.61171776526315,46.049278201,46.6831895238095
2,72.70031992,66.38436874000004,61.543184710000006,59.659579824,56.65180131000003,55.7690880171429,54.336402965,53.75474473777774,50.73890669,50.54889753818181,48.1678267016667,47.433488609230714,47.62180321999999,46.68522357999996,46.06539734875,46.499606991764686,46.2841584344444,46.09842070210529,46.10416655,46.6831895238095
2.5,75.619356025,68.26608334166666,64.78680460625,61.22084790500001,58.36604488333334,58.125823871428565,55.089093659375,54.41546311111108,51.79911068,51.14131748181823,48.796855725000036,48.062926350000026,47.951006501785685,46.892388743333335,46.432770028125,46.988533273529384,46.58905523055552,46.298592857894704,46.37414864625,47.1602392857143
5,85.186427725,76.96775370000003,70.6517159125,66.37304211,62.9984790666667,61.164180807142806,58.34963760625,57.027804738888925,54.231141305,53.14451238636367,51.6667317375,50.01642681923077,49.50348761428574,48.58482967333333,47.67091069375,47.89282299411761,47.387518644444455,47.039561455263154,47.008744255,47.5522535714286
10,95.42030559999999,86.50343950000003,79.7930743,72.66283624,68.32627678333336,65.95759615714285,62.990065137500004,60.0905828777778,57.94670678,56.462717236363645,53.59457241666667,52.17573176153843,51.66239908571431,50.04609382666667,49.56368824375,49.224479464705865,48.56840225555554,48.01958648947365,47.820752635,48.3590548571429
25,118.4245435,102.45226225,92.47159662499999,83.8262883,77.74805804166665,73.31265071428568,70.47457903125,65.9350404722222,63.473176475,61.38525522727272,58.04651260416665,56.548695480769226,54.7619983214286,53.7035637333333,52.42892515625,51.57882251470588,50.56575668055552,49.614296710526304,49.1693296,48.9213865714286
75,171.7349605,140.20490849999976,120.25318837500001,107.49804035,98.48301091666667,91.08310299999995,85.89093100000001,80.96998024999995,76.498197325,73.197733,69.7312040208333,66.3874110961538,63.76139791071432,61.401163316666675,58.988701953125,57.68262611764705,54.975541486111126,53.3068469736842,51.621595575,50.064029
90,186.1143805,153.036540666667,132.90993135,117.7954551,107.3500414166667,98.2446440857143,92.22287636249999,86.94294242222222,82.71332514000001,78.74384351818179,74.40135999166664,71.60306206923073,67.18367999285711,65.50495758666663,62.237901881250004,60.238914982352895,57.75951208333331,55.69677985263158,53.356293055,50.4162381904762
97.5,194.822724,166.74011774999997,144.76450125,127.871295885,117.30840946249967,105.49600082857157,99.352004678125,94.03524848611112,88.1796341875,83.7059773454545,79.89095820416671,76.0877216846154,71.45834645178567,69.78728465166667,66.32112552187499,63.5269221691176,60.158566262499974,57.8243556842105,55.1208943,53.3060396190476
98,194.822724,168.854327666667,145.50721866499998,128.442466828,118.13920528000031,108.34729028285729,100.02839323,94.5169119266667,88.845943452,84.47668253454546,80.645842065,76.56549662461542,72.43900246857137,70.38606707599999,67.09927463125,63.890238020000034,60.825098054444474,58.06330084631578,55.251050691,53.3060396190476
98.5,194.822724,170.977321333333,147.98470537125002,129.50126480199998,119.729636863333,110.00759020571442,101.09108163187499,95.12713462888884,89.07125283549999,84.95373670090906,81.54451381125,76.7907734388461,73.92390691714286,71.3872654976667,67.57825580625,64.41084317764708,61.383407391944395,58.59019847999995,55.53263655,53.3060396190476
99,194.822724,178.50977103333298,148.49891228999996,131.26376865599997,120.95250544000032,111.65244622142815,102.96031118875,95.97752224333337,91.03927837699999,86.03835732090907,82.45003294166666,77.34115317538458,75.6200080985714,71.96072269066664,68.6975096425,65.19882436999995,62.370020865555595,59.25890378526318,55.738379785999996,53.3060396190476
99.5,194.822724,180.650258,154.35600965375,133.477531583,123.99431030083299,114.25753900142884,104.96147065125,98.80418905722217,93.857538853,87.44136715954548,82.78679329708334,79.33614513307694,76.39199003821429,73.3871310436667,69.477125135625,66.95561812441179,63.73990414000003,59.97410960000001,56.54412464325,53.3060396190476
Median,140.56289800000002,122.4586535,107.330224125,95.5738147,87.99627175,82.32826885714286,77.95091425,73.48798044444445,69.5779805,67.20074168181816,63.93499520833335,61.30098473076925,59.390908321428554,57.650551899999996,55.399296875000005,54.378493117647054,52.661917138888896,51.507674,50.44418165,49.6517178095238
Mean,142.0749621385,120.896124491,106.30311461749999,95.30071399059999,87.94905946799999,82.16749390614285,77.84783813987501,73.70920011799998,69.9296010964,67.209326615,64.03446384875001,61.58490929484615,59.38385865571428,57.7245969092,55.70146686431249,54.65750042858823,52.93825202849999,51.64362954831578,50.4865972463,49.54888360171429
