,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42
Low,247.478241,360.98286744999996,449.8588042,549.68710305,628.628218725,714.552201075,791.7655176999999,861.13462255,941.7686999,1006.7085966249999,1071.396102575,1136.3927781749999,1218.4553594,1270.327961825,1338.5480938,1398.852488675,1457.246886375,1523.43881365,1584.12471745,1654.01121
High,396.274399,549.556889,668.4446085,781.1936176749999,868.969009725,953.9554322500001,1039.9130172750001,1108.9097049,1180.608561325,1245.2770656999999,1308.163441325,1370.416545275,1427.77121725,1480.3889032000002,1525.717537725,1570.804474775,1612.9461075,1653.7067926999998,1692.762306375,1718.289143
Mean,335.964090553,463.893064133,566.9705497289998,668.386719409,757.543205902,842.081237014,923.2614866910001,992.323445491,1069.851157982,1133.058216269,1194.1185195399999,1258.3296029809999,1324.943001435,1379.8601521029998,1434.2476628800002,1489.843048842,1543.301918048,1595.436541135,1646.195413565,1695.4620903940001
