,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40,mpd42
Low,125.99080987500032,140.81429519,154.43725625000027,154.07545649555576,157.78482525833337,160.13936189945036,161.915247035,163.7212827186276,164.19670112289504,165.81071359870162,166.41649320597836,166.94409366061538,167.9314042484127,168.83321906287406,168.8382808575607,169.58077795080249,170.1268306855558,170.72057406578926,171.35624543942316,172.011664706156
High,198.789045,191.666977466667,185.9195199892853,184.0089312022219,182.09722841666635,180.83635059011024,180.19218689833366,179.41065718137256,178.52277778447385,178.23726371125582,177.67863517608677,177.55604926323107,177.07194987962916,176.57164288919495,176.3107322130036,175.88525792361898,175.5258183715876,174.9441231093881,174.513869894423,173.755372643438
Mean,173.5028017616667,172.76501803520003,173.41683750378573,172.96928639031108,172.9484927781212,173.16838386243955,172.9395950674833,172.9804194758039,172.91011262151576,172.93964354435496,172.88139607673187,173.04624649064615,173.02538327710582,173.01880886360917,173.05992746074998,172.94700905201069,173.03530824380314,173.00037107988615,172.98068356361537,173.02319171036478
