,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40,mpd42,mpd44,mpd46,mpd48,mpd50,mpd52,mpd54,mpd56,mpd58,mpd60,mpd62
0.5,122.71712256266633,131.6617165750003,140.79423049844488,144.4624017480302,149.51666261505525,153.368745982417,153.6691957959481,155.14398399542114,157.2358154170564,158.1775909881521,159.08110042812353,160.44272931828004,160.58510447052836,161.10609342110857,162.70768579190764,161.8488380520638,163.20773339559,163.50813694141058,163.52915791560963,164.16658406259998,164.72980477087924,164.91043936474296,164.93512127035092,165.71744605974345,166.4466293018097,166.50189186112362,167.1682933516519,167.43297894961037,167.947225099947
1,127.55851954666666,135.58553173000016,144.7363321035559,147.04566975090876,152.78260512703326,155.33029089600032,155.23082966130738,156.41045764600037,158.94627421108177,159.8062143716667,159.78451921981502,161.57440569084667,161.45180749563244,161.45554259423338,163.06470219668452,163.03518069104743,163.6093970747084,163.92505315105078,164.26315581521465,164.4670250642497,164.9192713562514,165.40339675024862,165.3818092816649,165.9182578324432,166.55971858514374,166.69064168584364,167.2920276350273,167.60767557822567,167.947225099947
1.5,132.422091178667,139.24021529285716,146.51297358866637,149.4098741333338,153.68483609142876,156.07564400616698,156.56996938150291,157.99493902563168,159.81250773121235,160.71650473760886,160.81661699129253,161.9632192992064,162.03826216491962,161.88129168747975,163.63855585877027,163.47505059093623,163.94599201041257,164.51524855046162,164.50677064166058,165.0673010247459,165.12134910359435,165.9466251382274,165.70480605734667,166.16943064619952,166.76408306266234,166.8171641192472,167.43104571292204,167.78224671075665,168.62910909244863
2,133.98305126133334,140.22159542999987,148.86585256444454,151.1181199987876,154.98357368131911,156.7707421870003,157.7987695024834,158.7714386202102,160.50713426683942,160.9726356972465,161.1706845127387,162.52381487259257,162.68023041195417,162.13812230064505,163.8887744082713,163.7465884428568,164.09741076904706,164.88694099333333,165.08628012966352,165.2176826065536,165.4985653677292,166.015637944113,165.92055169838358,166.29036152521846,166.95707667477296,166.93830919319475,167.48687951305493,167.9411483128359,168.639493112639
2.5,135.80227147333332,142.7859307464283,151.86696219666678,152.65753019090897,155.70269956813232,157.48856366749968,158.15951766045725,159.45182257473678,160.811342372511,161.49141754057933,161.34715442630815,162.9965639880951,163.02318267827587,162.42355370292367,164.21062934750455,163.90967832253963,164.39546534729757,165.16230970506413,165.19311439895435,165.68306452684976,165.63823308420302,166.08296701090381,166.13841590420427,166.5062825154604,167.02777710471653,167.09993207551923,167.58774708811242,167.98067398531109,168.639493112639
5,145.00662951333365,148.68115601428545,155.25488508444417,157.1049623045459,158.3675562813184,160.045612565,160.6188990888885,161.73829133210558,162.54062759826795,162.65164912499964,162.75048556215376,164.04314786640177,163.87392573057468,163.96210374213734,164.94608355508055,164.75641696841313,165.26328371934605,165.6799154716671,165.85117410476155,166.21272827336185,166.37919335671535,166.45202756923743,166.70925002522466,167.0046820564105,167.30613123857407,167.42652345746785,167.78512946951008,168.1228740044634,168.653943165521
10,152.112096933333,156.09992400000039,159.0210356355556,161.135350636364,161.3148481054946,162.3930486766664,162.5915933686275,163.80724197263132,163.9854224354983,164.56278098188432,164.6713237273848,165.09047798253968,165.1560749356324,165.3245169923386,165.97100790374353,166.15757473714282,166.24678593570383,166.4951569082055,166.6050179851336,166.92742479767472,166.998208877681,167.0413253207449,167.21436395118351,167.509680392157,167.69771682781249,167.8330926440264,168.0744296879617,168.40166902847432,168.672491956637
25,162.174892266667,163.56412403571397,164.99735204444426,166.0568181136365,165.996256467033,166.24282722500027,166.411260114379,166.83742348684225,166.87186222294375,167.056169867754,167.1324028384615,167.36444201984125,167.0356927183905,167.3065643215725,167.70185991622074,167.648260623016,167.77780540896174,167.87992769487175,167.890125363531,168.05076789640623,168.143528989372,168.13254008953925,168.07680701918375,168.247631638386,168.35543642173351,168.48063459318223,168.5531610701755,168.738622904237,168.777381862507
75,178.0607784,175.568966839286,174.7736950666665,173.76481078030275,173.134335467033,172.8728262375,172.27784999999975,172.3813353605265,171.8390545238095,171.472010253623,171.35966033692276,171.20413108465652,170.95571651264402,171.000519152218,170.833971329768,170.6995718920635,170.5706483911805,170.5135994294875,170.435565744483,170.2496976516915,170.19066809082125,170.06964462721623,169.97264038897924,169.9147832009805,169.79137814570248,169.68960979512974,169.5096619978825,169.4773639932205,169.204228685352
90,181.8755769600003,179.1731046785713,178.3420357422226,176.22970378484862,175.67883606813209,175.2774717900003,174.3202841241827,174.286069528421,173.7571084060609,173.06736466666698,173.0538796769232,172.6960250031745,172.4164925563214,172.348406727823,172.12143853262,171.7327589479368,171.70857259630168,171.5048509758972,171.3499715872237,171.203426527907,170.88975172579728,170.8534542141847,170.70367341518408,170.5238935885367,170.31166900866512,170.1226036751951,169.9319093908044,169.76562546960432,169.509383118985
