,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185
Low,66.91782915555557,72.55463103190479,77.0634974259211,80.5768849671667,82.695364437069,84.49056083781514,84.8698361275962,85.25279820696973,86.64067470430615,88.3226588627609,88.61714492443501,88.1554649900961,90.06770191746381,90.70752954005403,90.11033508028484,90.16200400830536,90.89117614760919,91.53133943474803,91.25337745678792,92.06948132358058,92.35203727596328,92.43308855614036,92.75753059778008,93.07130445469677,93.31564553439779,93.4874204645992,93.58691645262844,94.19514500107279,94.12301625432443,94.64357546735236,94.84672213105148,95.10687388153359,95.29775000282106,95.6671966155862,96.03505045092335,96.9791206051704
High,114.56722659722233,112.15028512904753,110.4059000972368,108.838984676,107.87849472798862,107.03086907058811,106.77368994426331,105.58500211969655,105.28442794593832,104.90610841912503,104.09955347187828,103.75931239334142,103.65590417371665,103.52347656196446,102.44414652999983,102.44057375843144,102.26278163778414,101.93407807653948,101.84036916891442,101.74126780725265,101.00574587758945,100.83995180498086,100.6874892585117,100.34990087244498,100.27272829666968,100.16556596113323,99.92159623089414,99.7016744142241,99.52009895739147,99.36962695045668,99.23630551978776,98.79874936098295,98.50871894233904,98.23744715325452,97.93802189512724,96.9791206051704
Mean,96.05972808731109,96.93346491030476,97.21886933188947,97.10647632042668,96.98705725705285,96.92441077484368,96.93283875693334,96.79762211802829,96.92117727720245,97.32861906714344,97.05673899475197,96.87962643260671,97.02238890619793,97.24880764413116,96.87509221953229,96.68754986414677,97.00409532555456,96.95483371586114,96.8880741549313,97.00581041430513,96.96869559525788,96.92313482782914,96.94740307679889,96.97302511785445,97.07133772994216,96.9467525189539,96.9840539003147,96.97844382298773,96.93719916834112,97.01330977692467,96.9978417722224,97.00752199941286,96.95723270546563,96.98594670995823,97.00764685043121,96.97912060517041
