,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185
Low,273.2244207,372.56569075,476.91142375,561.0950334500001,652.87242165,724.156642225,801.894202625,875.7613544000001,934.2329024750001,996.14113585,1059.6559791,1111.00474,1168.072524275,1220.81342115,1266.554411375,1322.1943251500002,1360.332395475,1404.535302225,1454.1170177249999,1492.32311065,1535.056405275,1576.4383995,1620.378632575,1654.2339584000001,1699.265022225,1735.937534125,1774.447393125,1815.807957025,1853.923077275,1891.1997939999999,1930.972659625,1966.455350775,2001.8063510250001,2043.238138425,2082.7253236,2144.285467
High,482.53621315,606.905024175,717.0134604499999,810.0969802999999,892.2817227,960.1006329,1034.45449495,1094.233934675,1156.32376765,1209.4087676249999,1259.5013924749999,1310.430157225,1358.19825705,1405.365746075,1450.1399817,1489.053675475,1531.3544565500001,1574.30675105,1614.1478445500002,1657.544867975,1687.2953027249998,1726.605098775,1766.225077075,1795.74810155,1838.457963,1864.6702041,1897.4278979,1930.060818975,1960.3475452750001,1992.61923155,2022.855967225,2052.4490355750004,2078.995212175,2104.1119379,2130.11736115,2144.285467
Mean,373.405003049,494.968727128,604.0537009159999,695.115597069,777.777308921,854.8628552550001,926.548397239,992.8908195079999,1050.588095543,1112.1728846999997,1165.1335508890002,1217.9884334449998,1269.606873913,1318.24369582,1364.2643575240002,1407.518380289,1450.432074368,1494.23562623,1536.920823274,1578.0109823500002,1615.9990262330002,1656.3983408459999,1697.0128142610001,1730.88419756,1771.4103936959998,1805.989706786,1841.111583422,1875.847957809,1911.4694837040001,1946.186104221,1981.845361158,2014.0626288600001,2046.970615404,2079.480139532,2112.562439534,2144.285467000001
