,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185
0.5,235.80982714499999,335.72242021,443.03607008,526.5759506549999,597.472717605,692.8607938700001,764.407977495,836.86883538,882.310374055,942.592824795,1021.90364923,1074.133210645,1129.89637659,1192.052628025,1227.37479388,1292.4735536599999,1330.46887966,1364.6216688900001,1428.98909317,1462.936979515,1511.25593912,1554.718654,1605.60873205,1617.340590115,1674.4928818399999,1717.7846064300002,1755.35752443,1788.06828285,1838.838507125,1867.96660549,1914.607770075,1954.330925905,1989.55116373,2030.84222455,2072.295313145,2144.285467
1,247.79500816,349.18502823999995,455.90507931999997,537.6789593999999,615.48736847,703.12496737,780.52448479,850.12992957,907.6727641,965.5240381899999,1031.3105328,1089.40206681,1140.88725601,1202.46362772,1246.80134372,1300.5579426900001,1341.33991954,1385.2532661,1441.80711961,1475.47899074,1520.9564333,1562.70125416,1608.23781612,1641.60312461,1680.90554138,1726.19186961,1761.61895271,1803.8767272700002,1841.97257448,1872.79807371,1920.6023336800001,1958.48875503,1994.94438235,2035.31868476,2076.67851237,2144.285467
1.5,259.590086625,358.762924985,460.40415844999995,542.91600017,634.41341478,708.7338605,787.4438792,856.9446797249999,921.16841445,969.4001147700001,1048.915188825,1101.129445955,1154.84301723,1209.056678415,1258.404935635,1314.184073455,1348.4887922500002,1394.932191895,1445.62893422,1480.99212053,1527.8252888499999,1568.52822778,1611.1166522150002,1644.512536295,1689.636650105,1730.354917475,1767.637230595,1806.4824581999999,1846.932708655,1881.212144075,1923.98318358,1962.62099138,1996.225395585,2039.89651283,2078.48439306,2144.285467
2,265.42359272000004,366.43520967999996,470.26872576,547.81935628,647.48612644,716.55582308,794.72818296,865.3389231799999,928.4413804,978.24918694,1052.81809736,1108.38562722,1160.25882836,1213.54894406,1263.64971718,1318.4309965999998,1353.51040026,1398.84599338,1449.68501936,1488.1712358999998,1532.3273707600001,1573.75250798,1616.57607662,1651.2595911199999,1695.70039812,1734.12477554,1769.78033576,1812.85940086,1850.34990156,1887.9269796,1927.95214812,1964.91106182,1998.8756747799998,2042.21414848,2080.45229432,2144.285467
2.5,273.2244207,372.56569075,476.91142375,561.0950334500001,652.87242165,724.156642225,801.894202625,875.7613544000001,934.2329024750001,996.14113585,1059.6559791,1111.00474,1168.072524275,1220.81342115,1266.554411375,1322.1943251500002,1360.332395475,1404.535302225,1454.1170177249999,1492.32311065,1535.056405275,1576.4383995,1620.378632575,1654.2339584000001,1699.265022225,1735.937534125,1774.447393125,1815.807957025,1853.923077275,1891.1997939999999,1930.972659625,1966.455350775,2001.8063510250001,2043.238138425,2082.7253236,2144.285467
5,285.1641177,391.0819475,495.795694,584.6387065,673.95076965,750.97672445,822.8480961,896.0636353,959.5424079000001,1014.8114145999999,1075.5451584,1129.3209855500002,1184.9801852,1235.4722547,1283.05859285,1332.1523485,1375.6289378000001,1420.28403665,1467.4790437,1505.8907862,1548.1007728,1588.7088048,1633.2351539,1668.8111044,1712.0368319,1747.93142435,1785.6832497999999,1825.5120866,1865.4693696999998,1898.73683575,1941.7524198,1975.21758645,2010.86471155,2049.80540525,2088.6731188000003,2144.285467
10,308.0375483,414.3585808,523.6572943,612.7267378,697.0408245,776.6588332,849.4171110999999,918.2367041,978.3703698,1039.3229704999999,1097.0656906,1151.1168126,1205.3618568000002,1254.7735934,1303.8667236000001,1348.660403,1395.6599955000002,1437.7403172,1485.5995567,1524.0071834,1564.3752872999999,1606.456777,1649.2474071,1683.8582374,1727.2599001,1762.9327318,1799.6569391,1835.8629422,1874.6400299000002,1908.8156331999999,1951.6931305,1982.9611479,2020.6511739,2057.2298241,2097.4247536000003,2144.285467
25,335.5483585,455.11916575,562.72905325,657.6602907500001,738.69965125,813.84960725,889.4435625,956.0016335,1013.15365125,1080.0142515,1130.89289,1182.797148,1239.2003787499998,1285.54253225,1334.5943077499999,1380.8443042499998,1424.9718445,1466.7404797499998,1507.6849267500002,1550.26864425,1591.29643775,1630.5758975,1673.166467,1709.391948,1747.38952,1784.994825,1820.80874075,1855.5958492500001,1893.9583645,1928.25289375,1967.57534325,2000.36225225,2035.576962,2070.56180675,2107.207249,2144.285467
75,411.16235925,536.5814675,649.744594,738.1091695,820.681034,898.7261524999999,967.0072205,1034.1682185,1090.470463,1148.68627025,1200.8358825,1256.26796125,1303.8774635,1351.26797325,1395.9920235,1437.17664375,1478.5367685,1523.7584029999998,1566.35690475,1607.5624515,1641.93223775,1684.79510075,1722.9898237500001,1755.89118775,1794.80703,1829.969834,1862.6111485000001,1896.941226,1931.8881847500002,1966.0715352500001,1998.730395,2029.2229455,2061.00923625,2091.05373225,2120.3519635,2144.285467
90,441.37337279999997,566.743684,687.2687757,771.5995352,855.3222978,930.9626048,1001.7527155,1063.6655185,1119.4943497,1179.1366719,1228.000277,1283.3770023,1328.7462867000002,1380.0478384,1420.8924901999999,1461.3557547999999,1505.4234612999999,1548.6738282000001,1588.5311560999999,1631.3252756,1667.0640822,1706.136095,1745.1466003,1776.1993463000001,1815.4279834,1846.9537146,1879.6801746,1913.1403651,1947.0712709,1980.8011481,2010.6017144,2040.7078884,2070.8221347999997,2097.4004712,2124.9590218000003,2144.285467
97.5,482.53621315,606.905024175,717.0134604499999,810.0969802999999,892.2817227,960.1006329,1034.45449495,1094.233934675,1156.32376765,1209.4087676249999,1259.5013924749999,1310.430157225,1358.19825705,1405.365746075,1450.1399817,1489.053675475,1531.3544565500001,1574.30675105,1614.1478445500002,1657.544867975,1687.2953027249998,1726.605098775,1766.225077075,1795.74810155,1838.457963,1864.6702041,1897.4278979,1930.060818975,1960.3475452750001,1992.61923155,2022.855967225,2052.4490355750004,2078.995212175,2104.1119379,2130.11736115,2144.285467
98,487.54170810000005,610.49124386,724.2064693599999,817.54702358,896.19321616,963.0321216,1035.20397836,1095.7897956,1160.52041118,1213.2348606199998,1261.90188362,1313.2246718,1359.57255032,1409.8077664,1452.50860806,1493.86050252,1536.2603127999998,1576.3599683,1616.4767691000002,1658.76025346,1689.26044774,1729.0058762400001,1767.6215208800002,1798.03097944,1838.86451032,1870.4587555399999,1899.7373435400002,1930.7094620399998,1961.56727766,1994.11620526,2023.2735136,2053.4202538,2079.85362698,2104.98101936,2130.6331416000003,2144.285467
98.5,490.791839105,624.46385262,730.532945095,823.009817985,901.4779505649999,966.14193168,1038.067671895,1104.95848859,1162.5693572249997,1219.143898675,1266.28978941,1316.174565795,1362.15567225,1415.38213582,1454.4737015399999,1499.249890715,1540.64807948,1581.28864783,1622.340374755,1661.07338157,1692.25508242,1732.5169442200001,1770.054033685,1801.3587333599999,1844.763533245,1872.1195673749999,1901.48391239,1935.83126649,1964.10082393,1995.593270085,2024.76566555,2054.883130705,2081.3330124999998,2106.3363902799997,2131.287867425,2144.285467
99,496.13236426,629.50878576,742.3688627299999,826.49119591,914.2903801099999,969.0741480199999,1041.52764878,1110.6691054199998,1172.6951354599998,1225.06359884,1272.84800533,1319.67215762,1371.8429348500001,1420.13040399,1460.9581976999998,1501.04212687,1545.51958179,1588.7472993699998,1628.04456588,1662.66903419,1699.19270376,1736.87890603,1774.3706893699998,1813.59955494,1846.54334312,1877.30346471,1904.81581462,1939.56375697,1965.0111336799998,1998.81620133,2026.23292766,2055.4888714999997,2082.71591919,2106.73332708,2132.31507335,2144.285467
99.5,505.184418135,636.6495892749999,758.374101315,833.225567145,928.139264745,980.449881585,1053.351509145,1119.492900945,1182.592011405,1234.885871425,1287.101521975,1332.293831135,1382.974663455,1426.302776045,1472.88294139,1504.00376032,1555.824137685,1598.025525785,1639.3905395949998,1666.43670989,1709.261382745,1741.8879872349999,1781.856122485,1819.749139455,1851.118631815,1883.5872011200001,1910.619661105,1943.9429288249999,1970.7147288,2002.342849055,2030.14118713,2057.69580278,2084.613994945,2108.45377646,2134.1314537850003,2144.285467
Median,372.94598199999996,498.0502725,604.2535945,698.889007,780.0159140000001,857.528719,928.4995315,995.2042455000001,1052.8158465000001,1115.4330925,1168.5449575,1220.0815125,1271.5482755,1321.2194304999998,1367.6839439999999,1407.923125,1450.8097125,1494.94532,1538.5005354999998,1578.914513,1618.486613,1657.6238505000001,1698.304855,1732.2513305,1773.6731155,1806.7256785,1843.4671195,1877.5765325,1912.425198,1948.6590075,1983.190759,2016.580485,2049.257391,2081.8719485,2114.4968120000003,2144.285467
Mean,373.405003049,494.968727128,604.0537009159999,695.115597069,777.777308921,854.8628552550001,926.548397239,992.8908195079999,1050.588095543,1112.1728846999997,1165.1335508890002,1217.9884334449998,1269.606873913,1318.24369582,1364.2643575240002,1407.518380289,1450.432074368,1494.23562623,1536.920823274,1578.0109823500002,1615.9990262330002,1656.3983408459999,1697.0128142610001,1730.88419756,1771.4103936959998,1805.989706786,1841.111583422,1875.847957809,1911.4694837040001,1946.186104221,1981.845361158,2014.0626288600001,2046.970615404,2079.480139532,2112.562439534,2144.285467000001
