,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235
Low,71.21499542555559,74.76354166190472,79.65279361499998,84.1013788073333,84.19381892908042,85.05854196932778,86.64871773326922,87.70550633308082,87.97307044373473,89.2369851953872,90.10088780453394,89.86034216848562,90.74536589051762,90.82572154472076,91.98968581657438,92.24564033666665,92.06643844002498,92.26090998485999,92.6736467717778,93.25772453602565,93.04521330760214,92.9788437721358,93.17899142622547,93.40533611067092,93.99886362062018,93.91290824005524,94.1990264668988,94.44364202831413,94.26728855825948,94.6372480253959,94.9401878521561,95.08783524216186,95.04120235024193,95.4908048814384,95.44197818233857,95.79018132122799,95.73216927689778,95.92340061187942,95.96007457436562,96.14815625028457,96.52677485609821,96.6819087857748,96.80158215791613,97.09093035747225,97.34896386972665,97.8100590569922
High,114.188998397778,111.29611952999994,110.09309192802596,108.76437797116635,107.68550090534448,107.1995357231097,106.40564972958342,106.15670217111075,105.14879973371387,105.49598234787922,104.60026666622917,104.0989851534133,104.22199232380936,104.01297552897334,103.67663228663797,103.28673628382366,103.28616846386399,103.13168521783912,102.8271159334694,102.56894499298535,102.44928447779428,102.24492768730785,101.99838945480765,101.9879449430963,101.5522576303521,101.42085810552788,101.61969986745153,101.23838010320357,101.3979563453468,100.86786007597814,100.88560740670613,100.80297411977135,100.47462487401857,100.5223843051491,100.25129221101835,100.32647354381875,100.01140387747691,99.9485359527703,99.82184541381783,99.70968479878287,99.42962016987352,99.36894921855902,99.2051392770807,98.99595950245838,98.70428567124648,98.196212687034
Mean,98.12784471044445,97.78532702051429,98.24400226486316,98.34990435584666,97.92724115492182,97.98107851252772,98.04513464001924,98.08857231731311,97.96891064890369,98.0729471066936,98.12192157016045,97.97149771079039,97.92151946992381,97.86015521499749,98.28100314056044,98.0635544694112,98.028344259804,98.01282397536126,98.05468961676445,98.08750758752454,97.94116741339467,98.045337218872,98.0573747973259,98.00567960598296,98.00923911785176,97.96279487273587,98.01230057062014,97.89313288420671,98.05146466170908,97.88317752727725,97.98767006844544,97.99096309977014,97.93979673008297,97.99721667049091,98.00477688209831,98.0285983109242,98.01010448218024,97.99688109298778,98.02237413825709,98.0269525556989,98.0091423871544,98.04913365664245,98.0051279164626,98.04393084151175,98.01621222619569,98.02738205289886
