,pd5,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230
Low,139.7266647,267.982163875,368.55804705,470.9834538,561.6076744000001,635.249020225,709.940088375,793.9455867500001,859.4099392249999,906.065801925,971.7799137000001,1021.9495825250001,1092.155368925,1131.91142115,1193.77331975,1235.737081125,1275.17620665,1336.38992575,1372.26796005,1422.7629439500001,1461.6560633,1510.278402675,1554.2963368,1591.509943075,1630.6917494250001,1666.186867425,1701.6348661,1746.5845614749999,1783.358960275,1813.7617358,1858.4837673749998,1887.609145175,1919.5946414500002,1957.404345725,1995.277251125,2027.04223845,2054.254974125,2088.89331425,2124.85557475,2158.084136525,2189.840635425,2231.0032756250002,2259.9489739,2297.0783336,2334.71747515,2377.525459
High,302.482420025,473.77345967499997,601.258692825,710.3098661,805.12934575,879.373430825,954.722528575,1024.48824825,1082.8477149999999,1146.33488835,1205.8887952,1249.383610825,1304.5145065,1352.944475475,1395.1932731250001,1438.013394625,1482.000093575,1517.672437575,1568.595643875,1608.42410605,1646.561649975,1686.8878714,1718.66438465,1755.8368162250001,1787.616296775,1824.460788825,1855.748389525,1892.217640625,1921.181475425,1958.5510551,1988.61774885,2018.86987235,2050.38917705,2080.430475575,2110.05039785,2142.3527242,2165.6431564500003,2194.323017875,2227.2250833000003,2249.7813184250003,2277.2174138,2303.705240425,2329.47498245,2353.28744785,2375.28031055,2393.936707
Mean,223.87130060999996,370.74712271300007,491.61757999499997,588.0538395379999,684.9094572449999,764.172569272,841.723727427,907.5992088870001,974.3663700330001,1032.8685079289999,1096.7874636269999,1145.830722194,1200.240773648,1251.6982368140002,1302.2242776259998,1345.828576005,1390.918879463,1435.720790651,1477.933274733,1520.62952176,1562.7077628339998,1601.818888258,1642.654153703,1677.044168944,1713.129000406,1752.5640129439998,1785.1494850830002,1821.3114921029999,1858.9378647390001,1890.7363190879998,1925.5759749380002,1957.603990921,1989.4174246490002,2021.613723945,2056.7954652529997,2087.3729970920003,2116.582461928,2148.5037367540003,2179.77835171,2210.425744361,2239.959736707,2270.757655976,2300.4146501369996,2329.8937484450003,2359.4415491739996,2388.4352488679997
