,mntd4,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34
Low,67.587462,68.268103075,65.29024070625,66.519061005,63.4993928833333,62.16110795357145,62.2757936625,60.96249629444443,61.3143997075,60.46905160227273,59.7406755666667,59.35248132884616,59.861063085714314,60.85194345999997,62.00902645,62.8592010588235
High,189.428856,164.592894333333,139.86292865,125.82385244999999,115.16452242083332,106.93997352500041,102.37184795625,96.86062439444446,92.67323142999999,88.94192683863636,85.75395556041666,82.31489965384611,78.63183090714283,76.60051810666664,73.2507422453125,69.3141722352941
Mean,136.16558738799998,117.177728504,103.10853617775001,95.6756043914,89.53094778533332,85.2753556662857,82.31443387825001,79.06109229055555,77.2562504612,75.17625031836363,73.37096483824999,72.02062123253846,70.29672968157142,69.58410993606667,68.4074054386875,67.26671482141177
