,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42,pd44,pd46,pd48,pd50,pd52,pd54
Low,354.698051425,454.39712199999997,530.97532775,624.49552305,703.969404575,790.3803447500001,867.8940733,936.0589469,1008.234852325,1092.9402581999998,1154.52253955,1216.50919715,1281.476532125,1358.735677325,1421.2633478999999,1479.56169735,1543.78563595,1618.129066025,1679.474234175,1755.8801861,1809.30860475,1876.430244375,1958.5136542,2018.810114525,2091.191099
High,545.072909,667.3992901749999,775.940000675,880.156892,967.7066917,1063.9614569,1139.2822046000001,1219.501266775,1297.94496945,1373.538377725,1434.7461422749998,1504.5008266,1564.4055083249998,1634.1943902,1689.6549646,1752.40973345,1816.135130525,1855.90980145,1912.5503804,1969.878514925,2014.777641625,2058.678487,2099.1660525499997,2138.4688409,2162.027034
Mean,457.394613035,569.4207605369999,665.6765553099999,759.648921655,847.713469878,930.1867971569999,1009.147817678,1087.8928506470002,1158.7723871379999,1235.6271244079999,1299.6478972340003,1369.165794504,1433.445834408,1503.9589361009998,1560.1034956839999,1624.8372174879996,1686.153378306,1744.721774001,1806.674543549,1865.365633235,1919.622927064,1976.7143339450001,2033.1542148629999,2089.634941617,2141.3580861170003
