,mntd4,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34
0.5,50.5100646375,52.13585013,54.55462095375,56.35298689,54.83461616333337,54.80337727642853,58.72536091,55.86778399055556,55.6071631385,56.18749913727268,56.86843818625003,56.694061581923116,57.75563723714288,58.5976841273333,59.857586506875,62.8592010588235
1,57.461873855,56.74322600333333,58.8264606875,60.273522734,59.357612788333334,58.26808812000003,59.24078303625,57.56200945999998,58.996011011,57.46069017454541,57.44016825083336,57.40598681923077,58.164213120714315,59.46656164,60.684866926875,62.8592010588235
1.5,59.587463,61.40869012,61.15125207,62.597691884999996,61.2913626941667,59.371588853571396,60.708467115625,59.14296116555553,59.888253564,58.36694569090912,58.5931016575,58.37744230384611,58.800419510000026,60.0291687106667,61.386167924687506,62.8592010588235
2,64.90266049,65.02756959333337,62.44881145,64.07543908400001,62.347132373333366,60.203550617142874,61.287098224999994,60.37824011555552,60.728812389999995,59.66426882727269,59.38734525833336,58.93311904769233,59.45198325857143,60.518845626666696,61.606037625,62.8592010588235
2.5,67.587462,68.268103075,65.29024070625,66.519061005,63.4993928833333,62.16110795357145,62.2757936625,60.96249629444443,61.3143997075,60.46905160227273,59.7406755666667,59.35248132884616,59.861063085714314,60.85194345999997,62.00902645,62.8592010588235
5,79.41485055000001,76.06130826666667,69.97226909999999,70.29837841,68.60088555,65.73225575714284,64.71878379375,63.671641999999956,63.525975124999995,62.60857637727276,61.63930626666664,62.07385139999996,61.42655662499998,62.079425439999966,62.828529459375005,64.1860075294118
10,91.9530589,85.10980236666664,77.98863937499999,75.23667328,73.14654268333335,70.41841832857142,68.5440623375,66.67046228888886,66.56832875,65.6228196727273,64.0707127583333,64.36860318461541,63.68392772142853,63.8391380733333,64.09013989374999,64.2536307647059
25,112.195530875,100.3962480833335,89.8587025,85.100832,80.63268254166667,77.36451899999997,75.04442728125,72.48704619444445,72.035578625,70.19811915909091,68.55249502083335,68.18008273076924,66.76264580357143,66.7385161,66.376057125,66.2233297647059
75,159.884194,133.894738666667,116.6279268125,106.30336095,98.49066495833333,93.4394073214286,89.1796035625,85.74465630555557,82.817899275,80.20740043181816,78.1811070625,76.11150405769227,73.92260103571425,72.58335933333332,70.7910331875,68.7166684117647
90,186.1143805,148.9105126333336,128.55537555,116.29728022,106.5615659666667,100.22412071428529,95.681049825,91.84068492222217,87.82916560000001,84.49924169090906,82.1261257666667,79.26771673076924,76.4919171642857,74.80930385333336,72.12164468125,69.1849162941176
97.5,189.428856,164.592894333333,139.86292865,125.82385244999999,115.16452242083332,106.93997352500041,102.37184795625,96.86062439444446,92.67323142999999,88.94192683863636,85.75395556041666,82.31489965384611,78.63183090714283,76.60051810666664,73.2507422453125,69.3141722352941
98,189.5367333599999,164.592894333333,141.95516924,126.69132044399997,115.73286897000031,107.55968161142884,103.00243159499999,97.3814052377778,93.263917098,89.35298655818183,86.59640243833333,83.02348242769227,78.79242197142857,76.822157876,73.5534070625,69.3141722352941
98.5,194.822724,165.11534876499996,144.7992198275,129.063069276,116.876036621667,109.15090081999985,104.26102944125,98.6532818888889,93.97496649,90.02426406318183,87.4179533,83.9757928888461,79.28968249499998,77.10064052333331,73.6424905496875,69.3141722352941
99,194.822724,168.885905333333,146.90994175999998,131.807407936,118.48752867499967,111.09380204714314,105.6727918525,100.00844309222222,94.892062349,91.36983039090907,87.90090976833334,84.7557501007692,79.58279539499998,77.24830632733337,73.9004838125,69.3141722352941
99.5,194.822724,177.76119466666665,149.19391196375,135.905536808,121.70447270249967,113.44436412785728,107.52541144625,100.93658132000022,97.4207874275,93.22975588136362,89.0516687933333,85.33252987538465,80.5688337414286,78.47249330866667,74.06272928187501,69.3141722352941
Median,136.98693575,117.200892,103.247977875,95.5641958,89.74089325,85.3609487857143,82.7350199375,79.15048761111109,77.28550885,75.38721304545454,73.7920116666667,72.15299196153845,70.73694007142859,69.97952256666665,68.72128359375,67.8623421764706
Mean,136.16558738799998,117.177728504,103.10853617775001,95.6756043914,89.53094778533332,85.2753556662857,82.31443387825001,79.06109229055555,77.2562504612,75.17625031836363,73.37096483824999,72.02062123253846,70.29672968157142,69.58410993606667,68.4074054386875,67.26671482141177
