,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34
0.5,80.28600217833333,124.97504523199967,130.697972843929,140.12090321644467,143.3908627771212,147.19440758263767,149.96498928174967,155.79756122901938,156.75112177868468,158.7887756484853,159.82190978702923,161.45582253310815,162.68499438208988,164.5016831338623,165.676912673387,167.444091900178
1,102.74490676333366,127.73734242533332,136.4571056035717,143.82453464844411,145.52010519272753,148.82924505670292,153.378195777333,156.6719196637907,157.85154674421042,159.5067473129007,160.730743583478,162.30903768886137,163.31138230375691,164.97014873691944,165.85224495060484,167.444091900178
1.5,112.45181261,131.28571931800002,140.2889729257147,146.59663128844466,147.75817770469726,150.2423970685716,153.92185586483302,158.1548090362094,159.27359477931532,159.9846850887445,161.4505250650003,162.82183266341585,163.62237431494754,165.12556267896554,166.13430644364888,167.444091900178
2,115.30575222666701,133.89398439199968,141.566937254286,148.61081912355544,148.90232574303005,151.45049248131892,155.31999660900033,158.89168759738538,159.89235293978913,160.51102680606024,161.89143017956528,163.29686186855378,163.88155148433842,165.1895904019312,166.25826233403234,167.444091900178
2.5,119.04153362500033,136.46866580333366,143.70760303214257,150.99735905111143,150.45380531136337,152.9354993983515,155.934307289583,159.3407016127447,160.13290288526355,161.00372865735895,162.28271233025396,163.47744621246184,164.10879491679924,165.29195960471256,166.3547113724795,167.444091900178
5,132.32596163333363,141.77132385333366,147.9761069107144,154.2498128111107,154.8716989712122,156.8476364340658,158.8126443174997,161.1737217581702,161.76531040421025,161.99665627315974,163.3806157213767,164.42713095538483,165.3193509124334,165.96980590413756,166.80716313911256,168.609596770053
10,144.053060333333,152.29917863999972,155.8402915214287,158.0199474533334,159.2037420969694,160.6645348659343,161.871086758333,163.1407451712416,163.649884496842,163.9823456554115,164.5883504079714,165.6320481563078,166.1244651814812,166.6646158804597,167.5767942584678,168.643913893048
25,161.17602058333352,163.07565789999973,163.53435087499997,165.21107693333352,165.35086043181775,165.69724811538424,166.475958125,166.636001084967,167.05122088684226,166.79640477272724,167.06227724094225,167.641722526154,167.93261821296323,168.115094381609,168.253209846774,168.860418452763
75,183.109088333333,179.54279400000001,176.902542821429,175.64110164444475,174.496553810606,174.1216384065935,173.47029904999974,173.16730219607874,172.82926790789475,172.11571041125524,171.69692802898527,171.55328885538475,171.2602044603175,170.94943230574677,170.510781310484,170.576357055258
90,191.665829,183.9007425733336,180.9356291571425,179.3730803866665,177.864198845455,177.0587464197802,175.90143185500028,175.4724228993463,174.8718592242108,173.8331460597399,173.33349722463788,172.8765435649235,172.6455315476188,172.1420601977014,171.484983403226,170.714597465241
97.5,196.991089,189.02307426666667,184.81829262678528,183.04368453444434,180.89300065606093,179.45567728846146,178.118389289167,177.31040921699298,176.42131444342064,175.48397075476214,175.10813411557928,174.17257130430792,173.80319195198436,173.0765242514945,172.1014946525197,170.741064791444
98,196.991089,190.729372933333,185.15510600142883,183.51630470488854,181.1718404557575,179.94248732703315,178.36424470033364,177.49116788784286,176.60089658905295,175.67401011705584,175.22654754623215,174.54342429907692,173.9027299956614,173.18940038344874,172.32719530491946,170.741064791444
98.5,198.789045,191.666977466667,185.56737819607102,183.94184531488867,181.48347012575792,180.3684532721974,178.66941904383302,177.79318119967348,176.91268257557905,175.93032704657978,175.43299030318877,174.69039941596878,173.96447971478813,173.233097394851,172.414991056452,170.741064791444
99,198.789045,191.666977466667,185.94949970857158,184.40882322666656,181.80902356454573,180.692093397802,179.06060866650031,178.10834601777728,177.34151986389483,176.1455582703029,175.65231233014526,174.98316924436915,174.21777868719585,173.36185843866713,172.4786607653632,170.741064791444
99.5,198.789045,192.342706266667,186.86584118500045,184.75478295444486,182.45898196242376,181.171856971868,179.47087042058365,178.64599092150323,177.6525475175789,176.3698680564503,175.98446103105098,175.34036292218462,174.5427458326455,173.6812696360689,172.67776864348755,170.741064791444
Median,173.1741236666665,173.91450826666699,171.4560493214285,171.2998862,170.3755419242425,170.4110004835165,170.1258663083335,170.25232530065398,170.21938353684197,169.7466366623375,169.7059240108695,169.53675705230802,169.67370787301599,169.3839255954025,169.6622209415325,169.220791201426
Mean,169.9863523263334,170.14790064946666,169.38920670378573,169.7779340519111,169.26109411657572,169.41154590692307,169.4600526005,169.69027496342483,169.65074016086314,169.3005117368918,169.25186134424638,169.44472032980306,169.49150185326982,169.4224875737793,169.44474187635888,169.48695936642414
