,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34,mntd36,mntd38,mntd40,mntd42,mntd44,mntd46,mntd48,mntd50,mntd52,mntd54
Low,71.66844879999998,66.41340345,64.7347392,62.94458316666667,60.837950021428604,59.80389770625,59.876769069444464,56.6040855,57.97614157045456,56.54269584999997,56.00958739230771,54.3225873589286,54.69727413999996,53.837311590625,53.28855336176465,53.1106359902778,52.84060941315793,51.6961626975,52.26658163452379,51.555878518181785,51.13146735326087,51.63317529166667,51.515902227999995,51.71068683557695,52.0660655185185
High,168.9591875666663,145.04020754375,129.015611385,117.57378113749967,108.2018780785717,102.2956469875,96.98724514166662,92.558477845,87.7968113045454,85.21928062291664,82.0554519596154,78.3654325089286,75.87895683499997,74.51229272187499,72.84503752352941,70.51474802777776,68.87350875526317,66.51874216,65.08948080000002,64.12222001704545,62.59515531630434,60.9514171510417,59.212028659,57.73732836826919,56.2021603703704
Mean,121.74649472633335,107.37185700124999,97.78912254519999,90.81792437266667,85.31063871414284,82.05640480775,78.35730536433333,75.38252050839999,73.62583515727273,70.96456052291667,69.0921923716923,66.90683046885714,65.56277107246667,64.3802391341875,63.026145793529416,61.83038974972222,60.86556735589474,59.5208679337,58.761254086142856,57.82491424522727,57.07968139552174,56.31902745175,55.530814367599994,54.884244844,54.29723450877777
