,pd5,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90
0.5,300.897295779029,593.046169980493,897.339932124232,1062.8036145764406,1243.125298348261,1440.693532742021,1591.5481448791645,1677.83261005693,1847.627184820174,2007.650538771719,2104.91262340097,2267.47497786566,2357.036842001925,2524.241889963715,2587.535545324855,2704.49502456038,2855.2645524131003,2971.9120478588
1,330.971897615358,638.262985019653,917.229280367821,1108.190103105525,1281.531597645763,1475.414334077612,1629.050223600378,1757.8465338864569,1883.09108241542,2059.8320651236572,2161.133379583173,2303.6723261061697,2377.54384030956,2543.0101983138034,2607.93531027338,2746.02413808857,2864.1508370376,2984.47138841237
1.5,406.1563897504735,656.2561006640329,933.9158817849575,1135.2106671187175,1305.224176935977,1491.8626049556703,1644.1279821509097,1786.099744168702,1909.7233197078324,2063.166529478795,2181.5025678266197,2315.95712205995,2422.57846734965,2556.8788610904553,2632.1377730488102,2766.66812389185,2882.092567176785,2990.6760455946
2,433.104753577514,686.494705332038,943.4530782683139,1140.607688282566,1311.988881834844,1501.0778937975122,1665.93659179397,1823.197288744304,1938.34428749721,2084.597372712364,2195.11851691456,2335.26931176882,2443.450447844826,2566.9417561651003,2647.00493586834,2779.0152534996,2902.03652630544,2997.56926671866
2.5,439.07727775418,699.9438180086676,954.2414384954825,1166.8668976224649,1328.4776552064627,1512.062891131015,1686.3357702882274,1844.910512444125,1948.43085188677,2091.3859081927253,2217.9169946536,2341.8059093363,2473.2652281218498,2586.685725099875,2655.854521122,2791.12572914225,2906.487378257625,3001.7924810563
5,462.36099769209,748.38577080759,991.434542609985,1226.9405105411352,1402.22514312008,1592.450392766675,1743.63288921539,1900.89226989391,2026.77069840535,2154.6673562258998,2272.461558354585,2396.66955019095,2526.24569781225,2619.13257151885,2712.0816000496,2821.8808309257,2931.31347637005,3009.7623461748003
10,485.13587528754005,808.79220725248,1065.71415636215,1297.3843848295598,1479.07073212664,1670.46210422045,1819.83545673822,1968.05644836965,2093.81541748163,2212.545902638,2340.315299092,2459.94403427207,2565.06480676047,2668.73678308667,2762.7582323624,2855.7739691707,2955.5961656192003,3052.7430336638004
25,571.1750814660501,905.88619524665,1184.0166501322,1421.8002293241252,1605.0402284105,1795.261560785375,1924.5574260228,2078.63469787225,2220.274303816125,2330.30121300955,2443.4984188678,2561.51813054605,2650.3625819959248,2747.12645399855,2839.7459974153,2920.9497921398,3017.8110490565496,3101.7777401188
75,775.3997998286,1130.956100212025,1446.6153883750999,1679.6321027252502,1853.07071338835,2034.65464990485,2188.6429413177248,2323.5282449441247,2447.3226186367247,2557.492578313275,2650.8958849963,2747.672776129525,2825.46926776405,2906.2471002070497,2972.00371368455,3035.16837732955,3088.03447554805,3130.1404982725503
90,834.00702987132,1248.66765388883,1550.7829369480999,1785.3333627197,1968.08734471628,2144.7242440833,2286.45304794637,2413.09484408189,2533.7050537302202,2637.49926951593,2723.978274612,2817.53793689827,2879.1571358848,2951.4998880701,3009.7478601535,3056.2906898354,3101.7176526892003,3135.7657268188
97.5,929.3598996493,1360.9179265709424,1650.0089638646948,1881.722763483105,2079.2623748300825,2247.020412528733,2391.6902244022153,2514.13345394521,2625.4962504880627,2702.175796426775,2800.8916930807995,2869.0785969551503,2922.907378133875,2980.521897044525,3030.28934258435,3072.3212107206746,3112.0194568229003,3140.2434373012998
98,936.9881494492915,1369.1646642641958,1660.3633369226338,1901.320808050374,2091.9781641110562,2258.898474138198,2412.4156053376782,2523.706001604266,2641.164674645876,2710.51184560626,2807.860903265344,2874.5093343083,2925.815756899834,2982.5282702065797,3036.27445664094,3073.6332725797797,3112.7479966946603,3140.5493348169002
98.5,965.518699609012,1389.8178626592417,1697.2984087576795,1913.425337798302,2119.552387348767,2283.1521303564346,2422.0378639214605,2533.9487072270076,2667.8133144419257,2731.5330986286194,2813.881549699803,2881.4997854328853,2934.4016885452397,2985.06605435764,3040.206554326,3076.70165770633,3113.91698601637,3141.0667989977997
99,965.579990701517,1404.5480999044248,1711.0413740529718,1964.710241063841,2150.80487196043,2302.8059344458006,2445.90156343832,2561.924699868232,2676.677204565223,2738.376711690747,2830.7987220172377,2886.915883171263,2947.6270303343667,2991.3727252738468,3046.81479883133,3079.08648567187,3116.2785389361297,3141.6599782577996
99.5,990.3738996809064,1427.570250891159,1756.0201570405998,1997.3053420627655,2189.5201419596974,2317.126534989322,2476.09701087736,2593.4930083212503,2706.8349504936914,2774.614492552385,2850.2833557633635,2894.418842195441,2966.854202242655,3004.368163477125,3052.829903141505,3083.530866491335,3118.09488094061,3142.485228795465
Median,668.54709961375,1022.3376150958,1306.2228386890501,1535.4650606062,1727.6072696994,1915.27964231125,2055.2581550444,2205.40737242695,2338.63853376295,2448.9677980518,2553.55400298485,2661.7422808298,2748.4550490968,2833.2492263658,2905.0683206138,2995.8540975128,3065.8405889858,3121.0929422188
Mean,669.7185540822743,1023.6621199652791,1309.831038451748,1541.5753736547767,1725.9267194092977,1909.5049222775203,2054.0596219824283,2198.2887994506987,2328.159696877394,2435.5528737021396,2540.1457122501106,2648.630974873467,2732.977999836899,2818.86967684661,2895.1081817933177,2972.0194922780183,3045.679671249101,3106.9812150558587
