"","key","b:(Intercept)","c:(Intercept)","d:(Intercept)","e:(Intercept)"
"1","low",-0.563764322996885,-89.4890354783606,333.01026593587,2.21501210027903
"2","high",0.522521183297176,267.564116064696,650.969643254895,1.09159135478465
