,mpd5,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90
Low,168.60295154155202,208.0666685041618,224.3525653156781,240.23709215714783,247.74604998854628,253.09865575576464,260.9378007323637,263.50456911461475,265.40829859357507,271.503475401183,273.0025415179137,274.90712788030845,275.27550628060715,280.0552817247045,282.1143634973595,284.31171723327253,286.035999915657,288.9955770537733
High,388.708819808638,357.72676209583017,341.8989928962082,334.1246602970359,330.64231477851143,325.73844148229404,324.6141670204307,318.6202402101057,316.54505916033156,315.24338096645175,312.28271726044204,311.46691345503825,309.39267043583254,307.78298446554425,305.4969865121859,303.24270967631594,301.1733394292961,298.11655464529076
Mean,293.4816051102853,293.8630505935562,293.084395712915,292.86489472778453,294.69433137253435,294.0158820807376,294.685365300057,293.5465536994623,293.8468417571493,294.27053421086225,293.9434251208456,294.4637198590331,293.7748753059185,294.4994634179109,294.0927265244691,294.1735245278576,294.04360786827164,294.04958245837304
