,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95
Low,250.75170317333345,268.9665676671427,280.1209521855267,281.222397239833,288.61212643298836,293.3638702386553,294.957325024744,297.4119510929294,302.2426645884515,301.65092605663887,305.3585976135581,307.252580883934,307.70429100893705,308.4634366494149,309.05757894766117,312.2288457704056,313.1268725150502
High,363.98401412777787,355.8575654742854,349.96334319157864,346.523811050833,343.1558696880455,342.2047286105044,339.89154869765997,338.7503473048993,334.82834117047156,334.3147817306917,333.15062885641834,331.5471394488617,330.9799923112613,330.0071493901499,328.6341143150143,327.2776384918223,327.02886092499466
Mean,320.4379423011111,320.90805393398097,320.59361896508943,320.33474500615336,319.86599103599997,319.8565089753076,320.3830371044179,320.6525675223677,320.1420349880471,320.0698710005379,320.43435260520675,320.45471050482485,320.2185823539437,320.35064838212975,319.97813113465605,320.39361838517726,320.47808004263254
