,pd5,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90
Low,439.07727775418,699.9438180086676,954.2414384954825,1166.8668976224649,1328.4776552064627,1512.062891131015,1686.3357702882274,1844.910512444125,1948.43085188677,2091.3859081927253,2217.9169946536,2341.8059093363,2473.2652281218498,2586.685725099875,2655.854521122,2791.12572914225,2906.487378257625,3001.7924810563
High,929.3598996493,1360.9179265709424,1650.0089638646948,1881.722763483105,2079.2623748300825,2247.020412528733,2391.6902244022153,2514.13345394521,2625.4962504880627,2702.175796426775,2800.8916930807995,2869.0785969551503,2922.907378133875,2980.521897044525,3030.28934258435,3072.3212107206746,3112.0194568229003,3140.2434373012998
Mean,669.7185540822743,1023.6621199652791,1309.831038451748,1541.5753736547767,1725.9267194092977,1909.5049222775203,2054.0596219824283,2198.2887994506987,2328.159696877394,2435.5528737021396,2540.1457122501106,2648.630974873467,2732.977999836899,2818.86967684661,2895.1081817933177,2972.0194922780183,3045.679671249101,3106.9812150558587
