,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385,mpd390,mpd395,mpd400,mpd405,mpd410,mpd415,mpd420,mpd425,mpd430,mpd435,mpd440,mpd445,mpd450,mpd455,mpd460,mpd465,mpd470,mpd475,mpd480,mpd485,mpd490,mpd495,mpd500,mpd505,mpd510,mpd515,mpd520,mpd525,mpd530,mpd535,mpd540
Low,223.7637312722218,233.08076313714312,235.83851139881568,247.5089265453333,257.99451798264334,257.732095911513,263.16751218942335,265.8010922260097,271.73589546893845,270.58221264683476,276.16781068091785,277.4464985549762,278.67073931148025,279.77369630129755,285.0710718325159,285.4416130168627,286.26994128294626,285.0573022281639,289.47706220271255,290.20249986902024,290.75260906625147,291.5082812028072,289.5738981976646,294.3834888579359,294.69459664629073,293.1823329373243,296.3237502645918,295.21309602627366,296.0558251392552,294.3372511884378,299.5786696177481,298.813446533891,300.3723561013559,300.22640017098223,300.9767920119867,299.9920981293448,301.7004708321564,300.35527225558286,303.0399824493364,301.2131258397294,302.2805005067013,304.28603704740254,303.5220467843755,304.6655742212498,305.59218626320796,306.9308272694365,304.61363682780853,305.56125306307507,306.942922600372,306.1225129337272,306.5114826302581,307.96630734391186,308.6549395594839,308.6737705030949,308.2273472627677,308.15782815307193,308.9028677562089,309.1894590013538,309.4375592857361,309.9923087939623,310.15611325525697,310.63574036550796,310.1745653600765,310.87031347074094,311.7442020060624,311.15812645267937,311.35145970666423,313.5346084191527,313.05526804842003,312.83013394819636,313.8069917900768,313.6297892659461,313.9618124383011,314.08724049941435,314.28926922305175,314.5503283157422,316.09700703414376,315.2828283807122,316.4230440406211,316.09486608874084,316.41901107776056,316.5850639799103,316.2877086851009,316.62826549773825,317.72365346927864,318.44162997787356,318.4827348552074,318.0405553945298,318.8509555854007,318.742467669799,319.3988685360785,319.4751693063168,320.0014563503289,318.9582511834358,320.69054939374575,320.24359414381485,321.0155788116319,321.15089985250717,321.882797745849,322.4740085202888,322.50167097925794,322.4890923452757,323.16111708148037,323.93706385342904,324.3927306611262,325.2025392967682,325.80174872268043
High,500.6976091127779,456.7452082757139,444.5672015485526,420.8705722498333,420.3247709591958,404.9226203917645,403.66932560913455,395.7627378915656,397.577498049735,391.3275972563969,389.8655051774579,385.19164033382236,381.6407135052896,377.683911196973,378.86072397073605,375.98341465955184,373.27866802162305,376.43874675494965,373.226030984808,369.9874236228573,366.0436055677277,365.8024618960264,364.2527051790793,366.91112158050345,365.5700023257479,363.00000824524096,362.5435223522742,362.561187198012,363.673115246324,359.69052298684556,357.87333023854717,358.37317836327446,359.6276760335959,356.3846583165192,355.65066256930453,356.6412060785866,356.8751469114383,353.97863980334967,355.4334688935507,354.2506480915781,352.93161583104353,351.69522513587464,351.7807800431657,352.66834783875584,351.05516557215424,350.5922509476664,351.66425454294773,348.8182747512579,350.0133011327226,348.7948277608907,347.957431682998,348.05862947740025,347.2643426889104,347.81761818391664,346.33085925962905,346.7615911708042,345.8383466431044,345.3992750829867,346.901427303517,345.03487204147984,345.67208627079395,344.8987473243034,343.49824889710527,344.9299302134351,343.4083267185613,343.79893655952105,342.67824064471785,342.6559766467387,341.678594428049,342.1088713107436,341.93024950934205,341.5339655295271,339.7239065739032,340.77078253093913,340.4697596561573,340.5884749404494,339.8147414511389,338.8352203276766,339.1701165304484,339.87355781805167,338.59686445441633,338.98613499032183,338.74781578625596,338.93486726552095,337.6348580919189,337.17398436076627,337.11372919130645,336.6555700247788,336.1914405947803,336.4124625834156,335.51625725798584,335.9081936016599,335.4925609345959,335.16537342138804,334.6681694861993,334.47104925099353,333.96653025045345,333.3305292027299,333.1998317877746,332.81544417904007,332.22251820174245,332.03414315758636,331.58406105922364,331.0050229305461,330.33180390254,329.4971312028097,328.6236523352078
Mean,327.49229983251115,329.78867298009527,329.5830968870369,325.64097724854,329.58089314320694,326.1984668204033,329.8973824501847,326.9490263207738,327.35750920601794,328.3744034763623,328.1737224035209,326.80085684135867,326.79755093784934,327.1176332252995,328.7492222105064,328.80004801556083,327.63103713210046,327.9927289975306,330.1543350858968,328.30373520017287,327.4761375073594,327.0194020767244,327.5499852719289,328.5200157138994,328.4534823517104,327.8208581327076,328.48966689099257,327.92050039086536,328.8515094138395,328.1662925629758,327.82000044596396,328.86325646877197,327.62040602597386,328.36187648626486,328.3461866006856,327.73183527852404,328.42532514606626,327.4584873651447,327.90840747253003,327.8506423675859,328.0826974444041,327.96247070700747,327.7348982626095,328.28844831963,328.3868298356721,328.44790106843146,328.2769098830088,327.6657567392852,328.390272904704,328.6145987049812,327.7728026023291,328.36652932750223,328.21457368056565,327.9796137341154,328.4042714395049,328.2875718611875,327.5731702213002,327.8367197679029,327.8757963151344,327.79085403149605,327.52334284129853,327.7716275889718,327.4793130810165,328.06680894901103,327.7982785859028,328.08715261411305,327.9799108874038,328.11554462164656,328.2668477429316,327.88627427885103,328.3387685515815,327.76812105501745,328.0192339637572,327.6854016281083,328.19079835950566,327.732089250686,328.4286023181483,327.73174253322765,328.3715265176774,328.06517355728624,327.7905415471722,327.9159308536681,328.29865539722675,328.282930901523,328.3087842712365,328.18515993851236,328.0778547177825,328.0334136339668,328.053954817292,327.9034532529302,328.0087064433668,328.2438131905097,328.0702193267726,328.0016225826488,328.14912663029435,327.95509192894565,328.07553189523037,327.93625113049427,328.15105032632556,328.20502749813676,328.13920698328025,328.027099542466,327.98155428836054,328.04360503473674,328.04482703240126,327.9772725798814,328.0343322278759
