,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385,mpd390,mpd395,mpd400,mpd405,mpd410,mpd415,mpd420,mpd425,mpd430,mpd435,mpd440,mpd445,mpd450,mpd455,mpd460,mpd465,mpd470,mpd475,mpd480,mpd485,mpd490,mpd495,mpd500,mpd505,mpd510,mpd515,mpd520,mpd525,mpd530,mpd535,mpd540
0.5,209.34481795622267,221.19324634790516,226.72391882289475,232.48138234016702,242.65235843544806,246.0073089909072,243.24102204825647,253.35518215548456,259.99092313449415,254.73349890182482,261.61811561326226,264.90179440830315,263.0410578379893,267.0723934721368,265.03091187031623,275.3213977097391,272.6649774742409,275.4297505296704,278.865338955992,282.06939555175813,284.0663185388108,282.3308327860885,277.5545502976167,282.90358667589595,289.89510211634905,282.7147387400141,288.37868967861095,284.9945950965038,287.2222175803422,287.2226300663439,289.92386843620284,291.0022497642564,286.26248917097615,292.1221079597964,290.9115679331247,292.0296066040238,293.5902266242704,293.8021194889378,292.7141524574415,294.205945182794,295.5483604999358,297.57040562127963,295.9333732739579,297.84159897441066,297.8780382875777,301.5086662773583,298.859032936645,298.30710483497916,299.43508795763546,297.08288032633857,300.99113646404936,301.4319317850198,304.85273564939456,304.06923386303765,301.961407865275,302.2304514557995,305.52087281091934,305.53001507678954,302.21501691461305,304.9745618096951,305.6184953844753,304.7846576401427,304.79972941687794,306.9785450117412,307.1308437543607,305.19893558157884,305.6057672544047,306.5393174434803,308.70990575778615,305.6622939988497,307.27367909628794,309.10709650492333,308.74573361160725,311.17634866259056,309.7940275051426,311.50819031972236,310.54072181578664,311.60906356427483,311.1772717357006,312.11265864687545,312.6761660588163,312.0800745365886,312.39357272617644,314.33085594677374,314.14798897432973,316.03987583168595,315.8563900183998,315.51210394024207,316.34949521294675,316.351905396723,317.92008396665904,317.78753683778245,316.6380408651279,316.64075013602513,317.57852872271945,317.9208082205272,317.6708487084882,318.8038837364803,319.49380642448483,320.0049809960505,320.6621166081396,320.4131790519091,321.56078922624476,322.21824120474065,322.8429958835966,324.2765470762967,325.0832137697024
1,215.27892892622188,227.58337203466664,228.44819340831586,234.669329351467,246.8167691028281,247.78393889431968,250.60376322712818,258.4281763144045,262.8260723155345,260.25384932847174,268.8039095518139,269.2986327080577,271.06890867122155,269.9088088222272,272.51570960849034,279.76383231318766,278.8882923735976,277.43330706151374,283.4246705574348,284.81388635391215,285.5350799881039,286.77268446933033,282.9604391326655,287.8836433750224,291.2928862830467,284.62155665505327,292.16286770408266,288.6714201075825,290.1090617131397,288.00182589044147,291.0051138407567,292.41950741152397,293.6028827703511,295.8042948644343,294.48666997054164,295.2924875464017,297.34575483632693,297.489548628427,298.1109941378842,295.95996506316493,297.3028117444213,301.74406647194655,299.33093678588,302.06109019302284,300.6323135588141,302.27129992353196,301.660724292479,301.72920984806876,303.21609572708115,301.3978849837923,302.0343798555808,303.22464332338524,306.4423561833574,306.133741014637,304.75167000221825,305.31799458065456,306.21689211878265,306.93881532916475,305.2922215002752,306.2304177409574,306.8179683374086,307.3781762068478,306.48641912127675,308.61532323471675,308.66915162930485,307.42365103780867,309.04633378387604,308.38698231277044,309.98978078292396,309.449569125313,309.53420226392734,311.04098226226176,310.89118388388283,312.58547009804283,311.7959266766972,312.3848854906423,313.1506653903826,312.55115881190324,313.3983281770505,313.7127088795937,314.11592914153255,314.5407986565048,313.54342622932614,315.14950051305027,316.2758781886091,317.3165899098468,316.71152447107823,316.2296440863774,317.0602614836344,317.5646419520918,318.5304828861251,318.2841777305054,318.56160476651706,317.6888072582455,319.2942923727298,318.55463338094,319.6161953055191,319.6720831209116,320.2099383466455,320.97825015173925,321.27702180525586,321.7791444639072,321.8887107674273,322.76652287221685,323.50425620729584,324.6422596673253,325.54990230724997
1.5,219.21352055288932,229.09525180523815,232.7555970956847,240.593634591367,253.8664790973447,251.7950469358824,258.0887604058208,262.79266358260617,264.32485844084516,264.7105096808417,271.90734077796293,273.3587740080436,274.9150580433144,274.5170337475931,279.47951639966647,281.67022275004774,281.87885337108906,280.75765140023066,286.80654663601865,286.3233732830518,287.2624627771655,288.6064104802994,285.8097589061077,290.8126300559264,291.80977802387855,288.6230619651134,292.87819988389714,292.10745080735967,293.1614318170782,291.63361137279696,294.2873849224916,296.5764337778924,295.07723057747944,297.2248613296445,295.73197660586936,297.66320531441033,298.69930708665123,299.29585468093114,299.3594235079871,299.0952887594083,299.5618201412927,302.1282634577806,301.37167462328614,303.25212266385046,302.7598017872332,303.887128884791,302.95655977501013,303.35842654502454,304.96004800017613,302.9278779674363,304.57947235864185,303.95204220074174,307.5043265808255,307.1552844616052,306.0376676181736,306.399325347905,307.12018365536085,307.78083435517567,307.80494222673656,307.53074758314835,307.67652811405657,309.1807216840064,307.4189868748235,309.3307812634674,310.35645774562454,309.1023601752211,310.0766310858201,311.8152960592901,311.36664426895607,310.8383185542128,311.4481093103423,312.43523570894376,312.10610321453817,313.1541087897099,312.662708551065,313.4535808347579,314.8280724078744,313.1517584782813,314.6844254546583,314.7280401725066,315.0814041544957,315.379908696985,314.7890191731075,315.5455780169002,316.688382739802,317.5790274835637,317.6510798922783,316.73186568153,318.1854472156544,318.0497418916997,318.82572568712624,318.74638641834974,319.33927615345175,318.2342338489349,319.9677423675397,319.1206682659941,319.83403006649286,320.2221156970059,320.6248101667735,321.6406814762628,321.985196697178,322.01973633079535,322.31896444932994,323.15912835966975,323.7953325224426,324.83697243459505,325.6030780235106
2,221.65372466844403,230.72263743961878,234.49454217494784,243.19676340040002,257.2648660125518,254.47397835334462,260.76182511033363,264.4921545542221,270.51201988254724,267.2810634997981,273.6678997110846,276.2382217472499,277.0760085968526,278.5149988904793,283.065012766342,283.0550948628349,284.18942957306353,284.0479044233547,288.1142920472038,288.98618041781646,289.0906511660789,290.77989016535787,287.61639570078694,292.77928448726175,292.65981506347305,290.00088400740714,295.47241662359465,293.3731816985095,293.99912075756396,292.97338559381353,298.7913345017533,298.30392602125966,299.2680580558927,298.70649577780017,299.73622192896306,298.3950324879603,300.470092776021,299.6054589611289,301.33347115111644,299.84939789334095,301.0712924951471,302.70660532848655,302.62892405399805,303.80903782784276,304.56801508468857,305.69465083870347,303.96858532656404,303.7781813164361,305.61010531593183,305.0715969287176,305.89915586513763,306.5931828354787,307.9174911721667,308.1639286699921,306.9449229294956,306.7942719771986,307.94972230835253,308.632184512054,308.7348615883722,308.83954594889167,308.8614570994504,310.0049084673734,309.40450504446085,310.34320951580725,311.32453014857066,310.90401335427265,311.13408798822326,312.96672815187736,312.0632827800382,311.8902488099807,313.2205408916428,312.69009112692027,313.58604607165313,313.5864186545148,313.69331798853074,313.6407044752452,315.21899715138665,313.6787079798607,315.3357917328191,314.97668468231626,316.1039431700157,316.1165319897635,315.9545114023749,316.2904749322072,317.38877974712113,318.1163734605892,318.1051836157869,317.36878307700454,318.7274277881998,318.50777269691423,319.12543736329974,319.0323386091591,319.63215814946756,318.5788111559479,320.191393462199,319.72914492790136,320.3928898072736,320.3687243113631,321.6100799142693,322.0727777258215,322.1707633316929,322.26317695763737,322.83218816253424,323.6208111847793,323.9997308288973,325.0783412668074,325.62139716959877
2.5,223.7637312722218,233.08076313714312,235.83851139881568,247.5089265453333,257.99451798264334,257.732095911513,263.16751218942335,265.8010922260097,271.73589546893845,270.58221264683476,276.16781068091785,277.4464985549762,278.67073931148025,279.77369630129755,285.0710718325159,285.4416130168627,286.26994128294626,285.0573022281639,289.47706220271255,290.20249986902024,290.75260906625147,291.5082812028072,289.5738981976646,294.3834888579359,294.69459664629073,293.1823329373243,296.3237502645918,295.21309602627366,296.0558251392552,294.3372511884378,299.5786696177481,298.813446533891,300.3723561013559,300.22640017098223,300.9767920119867,299.9920981293448,301.7004708321564,300.35527225558286,303.0399824493364,301.2131258397294,302.2805005067013,304.28603704740254,303.5220467843755,304.6655742212498,305.59218626320796,306.9308272694365,304.61363682780853,305.56125306307507,306.942922600372,306.1225129337272,306.5114826302581,307.96630734391186,308.6549395594839,308.6737705030949,308.2273472627677,308.15782815307193,308.9028677562089,309.1894590013538,309.4375592857361,309.9923087939623,310.15611325525697,310.63574036550796,310.1745653600765,310.87031347074094,311.7442020060624,311.15812645267937,311.35145970666423,313.5346084191527,313.05526804842003,312.83013394819636,313.8069917900768,313.6297892659461,313.9618124383011,314.08724049941435,314.28926922305175,314.5503283157422,316.09700703414376,315.2828283807122,316.4230440406211,316.09486608874084,316.41901107776056,316.5850639799103,316.2877086851009,316.62826549773825,317.72365346927864,318.44162997787356,318.4827348552074,318.0405553945298,318.8509555854007,318.742467669799,319.3988685360785,319.4751693063168,320.0014563503289,318.9582511834358,320.69054939374575,320.24359414381485,321.0155788116319,321.15089985250717,321.882797745849,322.4740085202888,322.50167097925794,322.4890923452757,323.16111708148037,323.93706385342904,324.3927306611262,325.2025392967682,325.80174872268043
5,229.3390254588891,241.30231749523804,250.34885321605296,255.1009923409997,265.99643842862037,267.5026777781516,272.99137699435914,275.5799883731313,277.43680915706125,278.12024036181805,283.03881910449127,281.99708424721115,284.4593978226084,285.85833773124364,290.65923668422477,291.1277220278431,291.9550116860297,291.9171130731466,293.6541326158078,293.9255143407147,296.09971039412886,295.1465995863764,296.14426839593114,298.9490287185293,299.02710995177716,298.7737886164176,300.2323439917836,300.75640340332336,301.7521414988631,300.47636546070413,302.46752306302255,303.55151552167814,303.54430599738293,305.42872722719903,305.1605893575326,303.89818073817287,305.12354430045934,305.0861910150889,306.3606475899524,304.69540634920617,306.80632508065185,307.3830431816341,308.7443243553919,307.9923634698178,308.900497457445,309.84027622924174,308.7700161778413,309.07505490152596,309.79247131227345,310.24808800497476,310.01221838014123,310.6648618185252,311.5863548750602,312.36820235084286,311.85516652249964,311.7111173501855,311.99811453200954,312.7968029268327,312.765195555807,312.7078444081037,313.2722007481586,313.4631055337579,313.50431504395965,314.0111269606077,314.31778707292096,313.86681161770645,313.85459387830485,314.92456009370716,315.9726156635063,315.751313587227,316.1298020165593,315.76119471711615,316.03295646080693,315.8657776168272,316.9190179773269,316.6681302801274,317.7568230679913,317.20190649642956,318.0473862503657,318.2186785625524,318.01295684558613,318.7551485572175,318.88930773066375,319.046296608078,319.2714675589919,320.3009132176614,320.02600309842643,319.5476152522338,320.1294349373435,320.3368544851632,320.48053843220293,320.69953741209963,321.34304618279094,321.0174056663537,322.0102123265304,321.7145405651552,322.20785344146725,322.51145461710564,323.1509620395571,323.593320847929,323.5669641648145,323.3784292813256,323.93902271960116,324.6627372556979,325.1441454229562,325.64505612120774,326.293880328728
10,235.4880699000004,260.78597898666686,264.6982231105267,268.5597764266664,276.6387070972412,276.5844598857143,283.491464856923,285.57462331555524,285.146908797551,288.2203938856563,292.3533070233336,292.8717386193269,292.192766131387,295.8612265685049,298.4872235003794,300.3818151385993,298.837772295331,299.1234836175145,302.3004220270706,301.9264256070326,302.3985820478902,301.9853751182913,302.6329614465124,305.5304889200779,304.2055559618602,305.0130779020009,306.3899845486329,306.3315210241958,307.8417930312212,307.1028728678677,308.24429593943387,309.5480253947965,308.3055600052555,310.50583465519856,310.7697069893859,309.29291281442977,309.9119188021383,309.0070979370132,310.5056871052718,310.41425294093733,311.6476998295149,313.0079067027428,312.2518755695392,312.9637186289366,312.3046218593847,314.5874974891946,313.0426732207183,313.9523502192306,314.0763284913571,315.6769885528979,314.2148121490673,314.7383404542707,315.6049530071841,315.06444734730695,315.4360941289039,316.16527727999545,315.6642799027919,315.6681925366034,316.3932470385397,315.84912482444776,316.0919419592796,316.5146968015485,316.5328865193085,317.1289511330902,317.4442487033488,317.69870258278695,317.6785886327922,318.0053051005936,318.6260199785987,318.9626935509958,319.08989814290123,318.4787891676922,318.97463492995655,318.2802158419797,319.7512473897199,319.1448790463476,320.0614339535429,319.3609714783522,320.5183295280048,320.5788482144604,320.3753380999429,320.6388253239695,321.2734625862361,321.3822484513782,321.7808445847398,322.0370456799279,321.443323915149,321.6880854736271,321.9122439082974,321.924689208859,322.2723432353799,322.6682293311739,322.9087949873462,322.8313859789815,323.55443106277727,323.3674026434642,323.5439837256377,323.914182809429,324.1050432644324,324.6457105112337,324.9233457759988,324.5648802957255,324.85287013510583,325.4921742359462,325.8855082217587,326.17958404375963,326.9101459102979
25,277.531518516667,284.9426363333338,290.058318763158,294.59450549,297.27711227298875,298.446898879832,303.98924087435927,304.53407008636395,305.8600879481637,307.167600002357,308.39813834632747,307.4743294216347,309.06335380869575,308.8088545041443,311.2824531253955,312.486237879972,311.1539010874535,311.23005900011225,315.085710852273,314.51890726630023,313.02379090950774,313.95112877505727,314.70997696631673,315.366218505613,315.26079798816374,315.4308044284135,316.963191560817,316.11684536633123,317.88165344429524,317.09483852651874,317.53000722494124,319.14307077742023,316.87305333463274,318.34098978857173,318.686417278011,318.1102571151883,319.071304792732,317.7119227993125,319.189353529648,318.58480505435176,319.202701235931,320.02822372699427,318.93659412686776,320.26268891035727,320.41155268049147,320.48305617772326,320.60411213215673,320.3210197873205,320.52336965712476,321.39234717429326,320.9037277472455,321.4580372323185,321.7001214077518,320.5018918272597,321.9140546551715,322.0843532556585,320.99165413340876,321.46683117482974,321.95410981679504,321.87011061180954,321.6252779206445,321.71813553646723,322.03083955435454,322.0315438024785,322.18145107093153,322.229801939387,322.95181581311374,323.1835132925095,323.81149165530474,322.89579769140573,323.47301826260025,323.00498328916177,323.54032411226126,323.0591170834297,323.79101720281574,323.30895490842147,323.89350140270227,323.6891356051145,324.70879778325474,324.1905756856743,323.566283062923,323.9519622951635,324.43017438477074,324.6483648034242,325.025491298154,324.97512263095524,324.964164257815,324.877397330651,325.0004678572088,324.81825092737574,325.39647939483774,325.397481243933,325.272132830064,325.3911691689227,325.75532581255226,325.6962430479982,325.81530609371026,325.7325426301637,326.2515205191425,326.4615479719672,326.590512498879,326.398516810113,326.55631956841023,326.91780173248975,327.0596082121497,327.22518743544424,327.78635093530227
75,369.29632895555574,368.41697389999973,363.0648931776318,355.103466486667,356.40752912758626,351.9378476319325,353.745996636218,347.00026594798,347.0036668744895,349.86379392154873,346.517418395763,344.92422869471125,344.5136411719465,344.74585597207175,344.02844830079124,343.91078992955147,343.6591124214105,343.5132827858902,343.92601905353524,342.328653091209,341.3458728035445,339.3543564550725,340.7064784878152,341.095174650258,340.6906852902505,339.1963310675512,339.96028028424973,338.76643540287324,339.7159909919462,339.1256092807288,337.6809571879127,338.83537470447175,337.63045580737924,338.4383505840722,337.6897972627717,337.079468512838,337.880409209997,336.8422776618295,336.5944049374375,337.06607880131503,336.97129493584,336.1184648091722,336.64690229887924,336.71139557861125,335.91618516030974,336.3703281412805,336.0160247159953,335.3773812628135,335.76123384934976,335.98484602184675,335.04357653569195,335.7712098392935,334.904390102685,335.14722202457875,335.2536919919355,334.94359931016777,333.9990965478402,334.082926598363,334.0133423610425,334.1329386314608,333.52867705809626,333.51195885966,333.597243753174,334.07268206158574,333.348608066616,333.90198243010974,333.48219712493926,333.4700832000845,333.0878515464225,333.01146904257223,333.2778249126702,332.90362732632826,332.92166305449325,332.52770562822775,332.79356350109697,332.4051879400633,333.107562749822,331.94043462342074,332.6374921377385,332.12158328814377,331.836067858468,332.0342917052092,332.339805882873,332.00911860988924,331.87167889816476,331.60666174320176,331.36207912908696,331.3807071646522,331.43704827907226,330.999799091035,331.06511879445395,331.312492959288,331.040362384335,330.75729308293626,330.67769277718975,330.37390341544653,330.51180263626503,330.3105099921895,330.33695835358077,330.0957286573275,329.99544362535,329.9153000829775,329.60538272988947,329.4279746245115,329.2998423405665,328.94914715811524,328.5430327493217
90,416.039070291111,408.2610164838097,400.5830994752634,387.1762870606664,385.57390292,377.7226694188234,376.1489593183333,369.9465811882832,368.9781229643267,368.4388728692258,367.1585837437852,363.3561982896158,363.1261120598341,362.0471633024146,360.9482035440189,357.6523935250423,356.1553684546317,357.26877274302353,359.31846468646467,353.9286457939196,354.056286309908,352.6192326167507,352.0092832459946,352.5635716415745,351.8383862623612,349.9533847689331,350.8313550180162,349.4665370104982,351.3523031060671,348.5646136289906,348.2083090388126,348.8889477352699,347.0597827177238,346.8959194908769,346.8713410126137,345.989597238966,346.36429384374867,345.1403654534285,345.3742714574728,344.8501402799043,345.2140485064667,343.1517787370483,344.7160717856334,344.136601974944,342.9813028430033,343.22408112288747,344.0030914528834,341.8548352495755,342.5549541202764,342.9058966848915,341.13914021360284,341.3922836724643,340.6145675967511,340.8186348351325,341.34870651411956,340.4901667757153,339.1897197327716,339.4003357228965,338.8607381080512,339.3974828095691,339.33053157294273,339.0847414588089,338.467544980357,339.0160579771284,338.1164015149233,339.0466295971469,338.2311177155129,337.7910974942536,337.4919298694458,337.2658891536625,337.8200649991952,336.8274191552672,336.5693238235689,336.56119501948234,336.29321040610466,335.9495697987392,336.7538919557365,335.5662419059954,335.8270429010969,335.5421940856835,335.41549304403947,335.1297303030094,335.3418067008487,335.02608499062353,334.8467053387774,334.2849691212435,334.2453671421372,334.0544063344426,333.575876009488,333.38533269666846,333.1952704926069,333.67229883454934,333.1938968051865,332.99174521250046,332.736178239786,332.5327353702121,332.1171645228741,331.855320451406,331.8255172634461,331.57471748016394,331.228252885037,331.0493838349126,330.6476012544698,330.20349723839337,329.97955056954714,329.3837263133073,328.5829675722559
