,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440,pd445,pd450,pd455,pd460,pd465,pd470,pd475,pd480,pd485,pd490,pd495,pd500,pd505,pd510,pd515,pd520,pd525,pd530,pd535,pd540
Low,1243.1617434749999,1580.496305,1900.5450736,2248.404369275,2536.021076475,2873.8861389999997,3109.2707452,3437.7354929,3621.9908108749996,3862.858502275,4174.678084024999,4360.191061799999,4517.372036375,4850.1149602000005,5048.0997782,5289.2869707,5337.3628893000005,5616.84454015,5786.706093425,6052.175151474999,6171.222440574999,6368.55033005,6589.820375875,6727.292420175,6920.779158675,7063.881870374999,7251.997571524999,7404.14366805,7585.040088649999,7749.86333175,7868.3920424,8039.35595515,8231.083487875001,8326.943956975001,8443.908080725001,8677.073867825,8850.424286225,8961.065827675,9085.3286998,9222.165562475,9419.977491225001,9634.145727625,9709.281371575,9757.677028125001,9976.2815299,10099.9743549,10242.827095274999,10440.3945978,10567.871483975001,10661.118760175,10875.953477075,10944.823335075,11166.81837945,11243.92109365,11349.413211725001,11549.4716805,11676.99917385,11737.571587325001,11908.569861775,12104.6110254,12114.41721605,12294.726953325,12433.53458965,12630.182707725,12631.660447375001,12786.148546974999,12896.309588574999,13097.278297575,13217.3977488,13340.07548365,13459.550106125002,13521.903491425,13677.549617125,13879.636179124998,13947.559324599999,14039.391547225,14168.433659299999,14258.577549275,14447.881592425001,14473.191148675,14734.06856495,14813.131694175001,15009.049537225,15087.2840958,15212.704337825,15298.859165675,15436.64559035,15633.467964899999,15622.857787924999,15845.445079675,15922.383261925,16092.320469100001,16244.564625375,16310.155602275001,16417.162864225,16546.754111924998,16670.83442035,16766.432161999997,16980.446883725,17071.708276375,17182.805046525,17326.839317475,17461.088644674997,17600.273168300002,17751.538138825,17930.7393597,18106.0709552
High,2196.344384424999,2743.012222575,3203.9426423249997,3656.7134398,3955.8473986,4368.7595075,4629.054808625,4994.418412725,5224.8363911999995,5569.851098225,5839.682981649999,6075.137271499999,6331.52801485,6532.421269475,6797.228254875,6955.608366949999,7157.15333375,7489.8454755249995,7686.4423474,7869.06459465,8018.18451775,8277.16143885,8452.75800325,8576.528078175,8810.714369575,8966.453929375,9218.26927285,9287.526200774999,9559.38430105,9710.654945475,9826.311655125,10018.941969450001,10216.882340175,10347.766775325,10478.6865776,10627.128223525,10765.615422325,10967.485223625,11025.01297685,11206.816322175,11295.07609605,11469.232971424999,11654.259705974999,11802.987618125,11852.989772075,12084.725510925,12185.592581375,12338.525316025001,12417.531909899999,12569.07756785,12686.55683925,12863.58398625,12970.165357475,13097.228056299999,13207.52290955,13318.536973925,13469.539110275,13558.165197125,13711.800458525,13821.98816565,13934.251776775,14124.129913425,14152.585571775,14277.629810875,14442.611595274999,14578.842826099999,14660.841944725,14721.8757505,14893.456827725,14988.851828125,15087.291009625,15222.838148775,15301.67163525,15426.394670099999,15498.16931245,15594.374502375,15705.5558901,15778.765322375,15925.962067875,15966.8326268,16165.846549549999,16233.56253215,16350.9903031,16429.301347999997,16516.87375985,16636.7469098,16709.28209915,16817.224592774997,16902.629515524997,17017.386947599996,17101.560830625003,17182.3456089,17282.547856999998,17376.336473625,17479.681753075,17534.9660372,17644.485735475,17710.540991275,17782.998500874997,17872.122567525,17949.378767625,18020.643478550002,18109.943526475003,18164.669415925,18237.141958250002,18291.814986775,18336.10518945
Mean,1639.5823844010001,2097.8998120280003,2498.656336916,2880.3118587189997,3213.6178638260003,3561.075988684,3847.307316229,4156.7343178050005,4408.4336690810005,4685.314604588,4959.839991904,5180.921200805,5400.172813712,5652.772826613,5894.610435371001,6118.357307947,6279.371380722,6531.527198654,6724.052401352999,6923.466948282,7099.014338145999,7294.837893081,7521.046128439,7662.552145832,7854.406575480999,7994.713852059999,8227.840815821999,8364.052382564,8570.788901933,8707.176363993998,8869.188649792,9041.717418519,9215.640095006,9355.13605393,9490.017924636,9682.894542927,9824.678435463,9967.248137734,10101.256105298,10286.001114645,10412.588230062998,10541.255407783,10721.694580757,10856.66930773,10984.058609983002,11131.460649892,11257.174517119,11403.422833271,11566.349684394,11678.787548367,11815.233325127998,11945.112267736999,12075.063613592,12217.345078791,12350.836914996,12463.911739553001,12601.590307424,12734.652901454,12881.353610898,12987.466171697,13133.220798117001,13252.135511925,13367.855817955,13531.954400403001,13604.443006669,13741.411801435,13860.745997719001,13972.713139163001,14102.099173434,14211.326490318,14329.186698012,14446.006344519,14566.163105103999,14701.735886637,14810.53368541,14914.095591485999,15021.512551134,15133.048977939003,15255.869599789,15359.885902442998,15507.593818165999,15593.99508248,15717.723207284,15834.366992539,15942.137045134,16059.746040205,16153.630733675,16281.791339763999,16387.759088460003,16482.483970702,16594.697438418,16703.346657213002,16823.048410851003,16931.905935257,17024.566916103,17138.296211240002,17243.213542821002,17348.130204579,17460.162996610998,17544.588935415,17664.369158536,17760.602731334002,17867.715748704002,17971.769757817998,18079.652943233996,18178.26720922,18280.381986993
