,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230
Low,28.46668957,28.572519383333365,26.3102368475,25.344363195,23.5675842675,22.192104601428543,20.84868367,19.82556087722218,18.926078223,18.6636918945455,17.63335559875,17.159424183846113,16.744605861428614,16.1070064716667,15.7367644584375,15.189273019117627,15.001803939444432,14.776297680000026,14.3072848675,14.141697893095209,13.8348232172727,13.879802409782567,13.5013594841667,13.325146062,13.20459920750003,12.954843868703675,12.935038163750015,12.889435646724115,12.682992578333366,12.668863366451586,12.548769323437499,12.482433750757549,12.38846820647057,12.216533146571388,12.211508495416668,12.110647561216249,12.076516245657926,12.02825241641022,12.01279841775,11.87988627951219,11.913973651071432,11.938585310000008,11.900544700568208,11.912396515444414,12.1032676478261
High,81.87662311249998,65.858464155,54.11987798375,48.346552523999996,41.66147893250003,38.9168732235714,34.685582656875,32.04365466555558,29.772857712999997,27.835470980454563,26.2329567233333,24.97667935961536,23.533858106428543,22.532880008666666,21.574001692812498,20.923492952352937,20.09657066222222,19.620808223684175,18.924146557249998,18.459158395714244,17.823691555227306,17.512358884347787,16.959130433541635,16.5598557226,16.299710721538474,16.063793689259278,15.619099661250042,15.333335847586188,15.026014068833364,14.881753621935463,14.6070829715625,14.42394199060609,14.21476840705879,14.031898635714285,13.803144033333322,13.600958878648637,13.454500029605258,13.293616149871843,13.142975158375,13.002542412439029,12.846919113690472,12.703880378837257,12.548140969431827,12.375525653333323,12.1032676478261
Mean,54.388260503800005,46.35240262720001,40.78504522304999,36.554621962439995,32.629504397766674,30.372549213485712,27.852308043800004,25.96981481808889,24.54906635862,23.109098139618183,21.913811385650003,21.106158050523074,20.087098746371428,19.3862020198,18.752406376475,18.00370414210588,17.516310098111113,17.118403621326316,16.602782404129997,16.218054435980953,15.838501401863637,15.566011604800002,15.242068544025003,14.996773180696,14.727989282038463,14.493692922177775,14.284752279250002,14.083099830041379,13.878664232093334,13.741440079464516,13.58374586665,13.42282594611515,13.291772810899998,13.141793601491427,13.0147794293,12.885488215005406,12.805082556036844,12.686130785630768,12.60693716766,12.49480254242439,12.418611060047619,12.334546492883721,12.256567181304547,12.177289909324445,12.103267647826097
