,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230
Low,265.429003675,389.640814775,478.92788335,565.476229325,660.88175475,733.650741725,804.09388905,877.5233797249999,937.665154875,1005.770999925,1061.47481135,1115.244046525,1174.87904155,1221.1158272750001,1270.471102875,1325.5599497,1372.978725675,1413.98215545,1462.203127225,1506.764731,1544.37159395,1594.175175975,1627.1714575249998,1668.580008875,1705.1594248,1746.145533825,1786.598881675,1817.31624935,1858.2359272249998,1894.0515845749999,1922.7249569750002,1959.7758817000001,2000.673277925,2031.465501525,2065.825581375,2100.330097475,2137.318449575,2170.049150925,2207.7759257999996,2245.7802066,2277.4025451,2311.44082565,2348.6045074249996,2386.5309855749997,2443.001051
High,477.69802549999997,612.282248225,716.936807,811.2503419000001,890.447126975,976.42261485,1047.92920095,1114.67970115,1165.73082,1215.3611335,1269.47024035,1325.2469222999998,1373.693144275,1416.22867525,1464.0248334,1505.700369625,1557.819803675,1592.6985507250001,1635.131583175,1667.0469962250002,1712.2801007,1750.7700304,1787.9236133749998,1825.709093,1852.124577625,1893.9405531999998,1931.0370059,1961.0068474,1995.6194727,2028.12216735,2065.286694375,2091.50676175,2125.272924925,2155.051067325,2184.090008525,2212.250451275,2244.219932775,2270.0996573,2302.714968,2327.1252135,2356.053812175,2381.783254075,2405.441534,2429.0322125,2443.001051
Mean,371.26540829,496.913113868,604.5691508520001,692.9089502610001,780.819053297,862.3216801660001,934.426395014,999.35613399,1060.191949182,1122.1303425400001,1174.8039949650001,1230.4243719060003,1281.670333247,1324.6175844220002,1375.6347036500001,1421.5352432980003,1469.306665546,1509.4751533630001,1555.123558053,1593.2734818639997,1632.7602931019999,1676.418887264,1710.5026700920002,1749.5343254419997,1785.251349835,1824.08016753,1857.594695605,1893.80650778,1930.058510695,1965.999909309,1997.3289759789998,2029.7773532219999,2063.582999271,2097.931875898,2128.8716291570004,2161.887286407,2194.342461406,2226.229347039,2258.2305852690006,2290.1756396690002,2321.5187225040004,2351.9722521289996,2381.9944417979996,2412.444095817,2443.001051
