,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260
0.5,57.960171928555575,62.92832250142855,71.39050812197368,73.60531273303337,79.46227899491957,77.57908993250416,81.00438715485896,82.88179990990906,83.37127372181631,82.79010208637712,84.31679060207625,85.0311441770433,86.48483270978262,86.02765604823065,86.27143142898574,87.6218931992941,87.36385495286144,86.83829261580517,88.43215072097877,88.67960474921057,88.65647065980238,89.27247622450648,88.89428925891107,90.8506153467123,89.7729711323942,90.77951448226425,91.08716849784888,90.91419714683721,90.92974665687245,91.5314116243402,91.69609094249132,91.86372344494308,92.05969100467277,92.53521149842169,92.6444177773746,92.71737238222795,92.9376300826887,93.04624208124979,93.18997871447391,93.50273397650933,93.34050629634605,93.48579640285588,94.05357654603883,94.1732112917524,94.14474710986806,94.65766797497686,94.90573470454441,95.04170570062796,95.37686154132484,95.63233921861753,96.05138645216023
1,63.37163675155555,66.32780372685717,72.18316173178947,76.971593331,80.49440611786208,80.77973441653779,82.04860130448718,83.56508810482829,84.79625893888166,84.72054503540744,84.74969278726552,87.28062067316344,87.51442125623188,86.9566199340757,87.34228745763289,88.66609132550698,88.86284420327088,88.46673181894288,89.22163437842829,89.61451954406964,89.18857139337116,89.82262644768265,90.16127458193701,91.43500480775482,90.72231678974235,91.18328670435596,91.56236198886747,91.39752764852109,91.6145272644054,91.98575808759783,92.48973568160534,92.1600038916305,92.33175704616217,93.04783549960067,93.09836339507761,92.95137078510572,93.15144836746424,93.41618781949667,93.45281367013521,93.79665962983549,93.60764592832075,93.7724865697848,94.31147616566379,94.58373414292619,94.4308927794471,94.73763189668007,95.0514199497444,95.2038198148799,95.46730785609765,95.69765525142378,96.07712351687915
1.5,63.97317436622227,69.49033340171427,73.08565086478949,78.34387723943331,81.55667970319543,82.00716825811766,82.76905698968591,84.11380528356568,85.28253424995916,85.25912928659933,85.78564766601974,87.71345454606733,88.06446449054451,87.3549771086126,88.42374569908225,88.92840580146776,89.28262658395133,89.38046963017241,90.01226367609094,90.15424819680955,89.82658046560469,90.5525138529413,90.64825355135643,91.49770197410065,91.03629629818364,91.64578034898732,91.7475344418869,91.830542116204,91.76109487511457,92.28022024884872,92.76349020066272,92.28675107149145,92.49462777169305,93.22899781238026,93.18925808563777,93.1208388210793,93.35214485606824,93.54741509411316,93.63895634189804,93.93014591378339,93.74631782768584,94.0322868838144,94.4115735611521,94.6897692187163,94.58860518243246,94.8794186484619,95.10928996630929,95.29118077942321,95.61195462462614,95.73288046437739,96.10311282179819
2,65.31221203377778,71.47601709638094,74.80201708442101,79.19682166706667,82.16652232928739,82.89888164820164,83.28148348333332,84.87511879870704,86.08723181291428,85.79934920202015,85.98291626057632,87.77820954103844,88.51490624853832,87.89920244376215,88.80574861729744,89.29486733155186,89.85267790826965,89.66455692472114,90.83021918859798,90.46830339536993,90.39533884523433,90.68270971003508,90.81796632183192,91.86203432973939,91.54286150826952,91.7967956424809,92.00158328549645,92.03112538281609,92.15108860301919,92.37944041513195,92.89440716183958,92.59368863679526,93.0989909841991,93.40281406829295,93.36975697802481,93.42919665667212,93.50727104461713,93.71259869042774,93.90691036131864,94.12896427493452,94.02626626277693,94.27986377892286,94.53200443278128,94.75118140759207,94.65483276528346,94.95979296018326,95.22877561272877,95.36283588697219,95.63899850103644,95.78066342858486,96.11616638825062
2.5,66.66489939777775,72.0371586609524,76.5196247526316,80.34784567249997,82.76965206712644,83.87701395504197,84.14132566134612,85.72859798429292,86.40798062377554,86.15071213309767,86.19084068874295,88.53231217192308,88.75600596444103,88.12305031936937,89.38042060912976,89.52696559315126,90.12803485682274,90.0279390384882,90.97452328709089,90.74080863431321,90.56445601838196,91.10356106772689,91.16025257093487,92.10059057604512,91.66564647813065,92.13871063930897,92.25548757124099,92.4508189805316,92.2827771529306,92.5159736648555,92.99654631950868,92.85613538750559,93.30852241363031,93.53074888675205,93.48827002066575,93.46894027807289,93.55004654247564,93.84656833631513,93.99401980652884,94.21251714666663,94.18838789888582,94.44094913680719,94.60539535686594,94.88599368955953,94.71653962324856,95.06591099037823,95.2691321650322,95.44377749085811,95.66461121296706,95.83306476008028,96.13176288552864
5,74.06826610333337,77.25328567428575,80.49675468631582,83.47313291166667,85.09063660712646,86.06669780974794,86.40750849378205,87.3827514689899,88.38693176012248,88.69950762814814,88.26121138471756,89.73601756110581,89.90609884325049,89.86501924781984,90.49392314909808,91.10217516383752,91.361529370387,91.35524514781632,91.95552612303032,91.96381748862635,91.72577632398666,91.95629294672771,92.43230641511903,92.80255379649034,92.61775559814546,92.91678519086791,93.18272454727642,93.04433708849616,93.0407358009217,93.30837164372849,93.49931073307394,93.53270172025125,94.07082554735119,94.00727202434808,94.01831879052455,94.22237829177433,94.03475185336679,94.35068496566745,94.60600217566585,94.59247970860355,94.54150720807705,94.85461109231474,94.93807719402862,95.15485212003173,95.10324008845647,95.42545686565555,95.49557868041492,95.64968989510201,95.82259308246107,95.98407791248728,96.21341135945053
10,80.62436958666665,82.45640941142861,85.00755934526315,86.929960352,88.30794269770117,89.15196782016805,89.47835052692307,89.85247207272725,90.41857496481636,90.87745745481483,90.09040660361585,91.52650717932694,91.55060227279506,92.00431021996398,91.87742410794309,92.58157765361344,92.4275294707865,92.5963661567301,92.75592366604045,93.08570686076926,93.02802136083402,93.22210898627002,93.27957331183475,93.66397582420646,93.65557847958256,93.68686136015478,93.9150701048818,93.70765634850571,94.00592340666668,94.21792061836612,94.35337110725632,94.25782920019219,94.60849839021229,94.59385855002952,94.60820912181873,94.78718478576965,94.73517869434139,94.80506219867834,95.21414524127641,95.1553340495552,95.04661065673729,95.26570053338841,95.34146851200497,95.54955039238095,95.56952965948737,95.79905616399341,95.76994852790098,95.90452941981268,96.02584344259596,96.1157162319345,96.3490643779299
25,89.82708999444448,90.56108043809527,91.15564085921055,92.5369268916667,92.80600211666665,93.4043473462185,92.75413258974362,93.35731198131315,93.55908986306119,94.11821116430973,93.74882882175145,94.10623884567305,94.10065372380953,94.34155905405404,94.43110531321203,94.58022137899162,94.58700413196001,94.6307445955207,94.76732118262628,94.85627520421247,95.08229306743118,94.88274572829904,94.9258437077031,95.23642881109677,95.2002042273703,95.15636578236592,95.25939628024153,95.32749283510535,95.20437198519015,95.4094893875995,95.69661543724453,95.33846091947521,95.72913734222065,95.63356306482754,95.66801266474238,95.6555854937133,95.71021033915348,95.7240176805974,95.90487049035175,95.92891584617412,95.85301940943268,96.02172677539667,96.02431321294107,96.02050844246033,96.12193699908862,96.2500815392253,96.22613838712515,96.32186730038477,96.34547692108436,96.41993569629457,96.49566396649836
75,105.3671143444445,104.46427069523826,102.6094341723685,102.12927666999975,101.43364715862074,100.92432270924351,100.56430226217901,100.28250481666674,100.28475964612225,99.89731447373741,99.64168451228812,99.80885863533649,99.37751448167703,99.47243119945946,98.97345671424047,98.97424671428568,98.84035586373282,98.91837407939528,98.93541686262625,98.86513624990843,98.48623807535448,98.62026527482834,98.41471295602243,98.61746580451616,98.4441271559928,98.19619538407957,98.19699381374618,98.01595534932947,98.1623435860403,98.197301131881,98.02234290060925,98.01228406637102,98.03761286164293,97.94830412935964,97.86730576457173,97.7797874019389,97.70320760185183,97.58614611197463,97.58324950677138,97.5644793986131,97.51321523917748,97.52890121197565,97.47403554244502,97.37578047581347,97.31325007786218,97.30330717008545,97.27453559600765,97.16692620189028,97.0974636023614,96.99994413805774,96.96361301831007
90,110.1955803488886,108.62189907428571,106.69176136315781,105.7104976746667,104.5851571388508,103.6963935546215,103.3057880707691,102.93903869757611,103.0428729010616,102.2877367380471,101.3428310881924,101.9376933561542,101.7255635815322,101.7071069307391,100.944080192753,101.1686565010647,100.4923215199251,100.68248992062749,100.5066763695963,100.5146918720879,100.0119076255209,100.0546377710146,100.0455794027587,99.88091130291609,99.67444802758499,99.48076032172472,99.36858200768756,99.22010978605365,99.29023867038033,99.21771641015503,99.09230998157233,98.9783636177827,99.03645619482076,98.94796365070604,98.707749535748,98.64207897271449,98.59709685253135,98.36792088980177,98.35336332680401,98.40214789977043,98.18970786535426,98.17056977846559,97.9730402959319,97.95339992418256,97.86138318460608,97.77915222670303,97.73413992781379,97.5638026834995,97.43247511975902,97.26007770867379,97.07238809412233
97.5,113.79074693666622,112.42601561285706,109.95552100921087,108.906789653833,108.00900891040227,105.95236309184888,105.87448707637775,105.31726032499975,105.30554626255125,104.62846617639748,103.31889969752777,103.93209673004853,103.85620349938952,103.59657877589211,102.76018652211218,103.09576758570036,102.50074625529992,102.73085354478161,102.17369744797966,102.10436965700542,101.81820597402879,101.48116852491188,101.51675029466428,101.46518002787073,101.07544389590898,100.8649333360974,100.56854633364897,100.63919944981335,100.33762333251899,100.3847174841894,100.23741656236677,99.94585751425718,99.98058548775843,99.86653063251235,99.72460621292522,99.59365887891603,99.52205075992207,99.27951233519431,99.27307759959922,99.21393386245576,98.86493198449537,98.79856109144097,98.61097013481117,98.59019157352381,98.4156374969897,98.36391781315508,98.1644345139383,97.92655120258281,97.82573667481525,97.56124757573723,97.31349138123251
98,114.493978485778,113.19784221980939,110.64566983694758,109.214772491333,108.2953192533337,106.77406767152974,106.21057223956392,105.7158808223837,105.55996369596778,105.19643619776437,103.86110721023739,104.15981128892322,104.02125346834762,103.75477262838209,103.0649375381771,103.2039260581965,103.0017039047991,102.97431187600449,102.3953183303551,102.2254311463443,101.9703085641172,101.60692016876234,101.75819383737552,101.64570856159987,101.3098166013068,101.04826545171062,100.73073251489437,100.77876067691592,100.4166831799269,100.57775684440031,100.41208392657832,100.12549037388033,100.01474246025239,100.1081060579805,99.85546503621971,99.70136163043946,99.6253484692364,99.49422130465764,99.44421706734269,99.24916063250689,98.9248842561249,98.8763861641713,98.69775438759652,98.64549054971106,98.54522674866298,98.40802444216763,98.25250823716459,97.95443616637138,97.85053865609314,97.61786173552817,97.32888534797091
98.5,114.86362908311101,113.42621531628572,111.25855905105284,109.88829707406701,108.80625031275896,107.00185289151271,106.57127940384662,106.28335432053521,105.67046597363291,105.44687603643091,104.10326260124826,104.33056158836509,104.23802384327968,104.34403424301281,103.48869891826727,103.44311586979849,103.38585053846975,103.35723051189879,102.76321108350494,102.57272533656209,102.20820614772084,101.793235951088,102.12635797890482,102.16050881566622,101.52739679179457,101.25148435494599,101.09836395872257,101.15661103776841,100.55404947592154,100.84261260806443,100.5955674593775,100.29601694455961,100.16092906595019,100.26335751379071,99.91207216824239,99.82862340327434,99.74216357836818,99.67804109895162,99.54708625361377,99.35031009272736,99.04806207258079,98.95943321788172,98.85550990341879,98.70450142496271,98.65338800364931,98.49036034092563,98.32038103262585,97.99110752016226,97.9096007556215,97.65240720092046,97.34161894835644
99,115.56172800666711,113.5872360476191,111.97532263778993,110.243972369867,109.20857126075886,107.46447051999958,107.16744673787174,106.85930547335349,105.95785995956693,106.62201570274776,105.29086637784775,104.78477880086561,104.57784319151128,104.51081473912828,104.29792333883587,103.91546510559628,103.9796362019052,103.67893191731687,102.98872148312316,103.20953579365893,102.40434436760964,102.26344860950995,102.55567200620139,102.46728396766929,101.67669256688013,101.50017590501284,101.39935590993045,101.3090425743523,100.69708525039519,101.0724731210606,100.78098550948609,100.72466603345862,100.58824287424315,100.40134512068991,100.26414077985325,100.10883070467948,99.91749640936398,99.80993936441345,99.81887343475684,99.54561639393303,99.20943805522401,99.0923011335197,99.01964319755996,98.86900512017381,98.75123785255136,98.64747640560758,98.38986448677367,98.07507896103381,98.03004364495645,97.76048381371186,97.35290715964682
99.5,117.22113866677789,115.21500413619043,112.57136698486889,111.54357843720032,109.54224917798886,107.8389373335635,108.44282390483366,107.23686173950554,106.78442515971832,107.17400278944118,106.24785402298305,105.43202251292354,105.1007897148907,104.99248012985181,104.89669197201117,104.32299324038674,104.58883564223177,104.12560341243174,103.49194072327265,103.73631391023405,102.7640825363098,103.03245175289739,102.9973249740683,103.55674568690335,101.81411599933675,102.66221004676368,101.82642583455984,101.73955043659006,101.20821373061533,101.49799705331137,101.39510786836516,100.91943304831524,100.93343748557194,100.73351962461393,100.4033840565925,100.31815638711423,100.01590078961583,100.07245723866612,99.90196801022918,99.66407311272019,99.33823000517451,99.41249950286333,99.32615285717559,99.39928895941385,98.85404204803628,98.857950004703,98.55506132329828,98.16130979655307,98.11973297508005,97.79173537324569,97.36368286636424
Median,98.88695870000001,98.4018249047619,97.60118845,97.82260803,97.22904036206896,97.2955728672269,96.8843896096154,97.02549771919195,96.9836922542857,97.2563998356902,96.58871819293785,97.21165235144235,96.7848611115942,96.8672547459459,96.78724532262655,96.91898535910366,96.718337784769,96.69583729652855,96.76219656050505,97.034036510989,96.7761215115096,96.81708637650645,96.82864751603645,96.86437767419355,96.91457979797255,96.78526799911555,96.76007173175745,96.79032172068965,96.73106392769574,96.6496129051529,96.92938583297956,96.71752873473764,96.92127143376266,96.86058689300489,96.83071336831159,96.71749382502935,96.78042035895295,96.68272917361881,96.752758435201,96.718403414395,96.741567485213,96.81671122169095,96.80884314591114,96.720109125873,96.79299814089615,96.750704221022,96.76834467620296,96.7554975004349,96.7470880179277,96.7150730913077,96.73134369674784
Mean,96.59509485844444,96.74049132740952,96.43584507531052,96.86358285877333,96.77554245435402,96.68285830601343,96.47356376346154,96.6381490289475,96.79447664596897,96.84563635263973,96.25395329471299,96.8605252754,96.6891735912555,96.76134994054341,96.5641802591576,96.77209553743809,96.6516571592342,96.65416776795924,96.76446576172847,96.83212246388499,96.65640845293176,96.72882662637069,96.69834238867816,96.87528889921961,96.77146113821742,96.66469767270027,96.70071374408438,96.63720442604905,96.63407863141833,96.72960328353933,96.81814921240779,96.64302233821715,96.83952959168889,96.79179112757306,96.74189136442551,96.70728251432726,96.69979580472932,96.64327405449885,96.73278239703292,96.7505125058021,96.67325697714405,96.75510300642279,96.7375468519181,96.72084977535278,96.72782133930683,96.76393359634399,96.74964021976871,96.73209550512172,96.72683353360183,96.70929675118025,96.72292995656845
