,pd5,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255
Low,136.862334525,256.35583315,366.61166255,479.321620375,564.930688375,644.766857175,735.6452643,805.5281548500001,873.208968975,942.668170925,1004.480389075,1065.733073575,1121.52069555,1167.78870775,1236.71119135,1288.5590717500002,1333.726569775,1379.828313425,1421.197747575,1468.695602425,1526.3100023250001,1561.2908201,1598.543526525,1641.6628923750002,1679.959196775,1717.7165449499998,1764.9407272,1801.2651515,1827.43873035,1868.572800925,1906.30626605,1942.659455875,1979.7226931999999,2012.67682245,2048.4025074749998,2079.238466925,2112.7239824499998,2153.1546021999998,2186.8968667,2219.85369535,2257.6714584,2285.474859825,2320.509911875,2356.326552975,2391.987705475,2421.0887331999998,2461.81510065,2489.2193761,2533.759568725,2565.1448024,2624.2519828
High,302.7004131,475.125774325,614.2217967749999,720.0546340750001,829.038803275,910.9474230499999,982.9038595249999,1059.010783175,1123.9785444249999,1183.94222115,1243.0750374000002,1299.620517375,1361.2680313,1406.6084574,1457.834990375,1500.17284195,1550.4612628,1597.458767175,1626.093794775,1673.742702925,1718.026923,1754.5487587,1795.1567503499998,1827.455537425,1868.4617147249999,1910.5644065499998,1936.200944575,1980.1240077,2019.012061125,2049.879865475,2079.7043134250002,2113.37468145,2145.49163515,2178.042228825,2207.8467273,2243.91089885,2273.8033961,2303.21209125,2329.2312489250003,2360.1152383500003,2390.2072016,2419.8317376249997,2443.433410875,2474.2816847,2502.116973975,2527.3728808,2549.962649725,2576.584363975,2600.171367,2620.70776885,2638.164961
Mean,223.39058308,371.79994794099997,492.851293865,600.929610789,695.4110021579999,787.5639102179999,864.983235784,936.525756395,1007.6874979969999,1074.307171498,1132.852771361,1188.3314915810001,1245.74798025,1293.759770097,1350.061177145,1396.2027268329998,1444.4048698689999,1490.913771245,1530.7025125839998,1574.603963062,1621.749953089,1660.803830494,1698.447016998,1740.6450270930002,1776.677457942,1817.005007557,1854.3679856329998,1891.1372931800001,1927.1659199560002,1965.1919919780003,1997.995207305,2030.005098963,2067.581087584,2098.769563997,2135.0235441620002,2169.5163808899997,2197.49058221,2234.230346941,2265.755249085,2296.189752187,2327.853592275,2359.540744177,2391.081592216,2422.333203574,2453.0514716229995,2483.5235604659997,2514.489614383,2543.905754988,2574.486790457,2603.0158791470003,2632.8872700430006
