,mntd5,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255
Low,24.47227479,28.648845445,26.13223848166667,26.498509215000002,24.225111482,23.06644699916667,22.55978297714286,21.448435783125,20.417630783888857,19.710574425,18.95617048363639,18.232573290416635,17.515442626153888,16.8066130257143,16.714811308999998,15.92214316625,15.43811846794113,15.359674881666646,14.926618730526348,14.77461296275,14.264319177619031,14.140306525681819,13.969438202608679,13.7277801497917,13.5010681682,13.426748719038425,13.127225980185143,13.121796511964327,12.861804764827626,12.8145224945,12.53902510645162,12.504224275781251,12.3924040893939,12.281641981764695,12.280904799428612,12.215248703055522,12.100460344189186,11.997312790657915,11.851512344230734,11.852833868500001,11.806259336341482,11.804299374047666,11.688638057558126,11.71143473420458,11.580315924111122,11.558998575869554,11.564869532021232,11.488836950937468,11.504359813775515,11.5178460594,11.6017022705882
High,117.66413299,80.22061692999999,65.42569709833329,55.416838864999995,49.261628345999995,44.22098492999999,39.42030571714289,36.139966776875006,33.24425421055559,30.732317790999996,28.666322360909096,27.24718358375,25.698242773461537,24.4531124764286,23.65122051800003,22.2454860471875,21.87270680794122,20.906804787222246,20.27531113500004,19.71238038675,19.109756793571382,18.649315312499997,17.995106250000013,17.620148527083362,17.272800920999998,17.01868548769227,16.521095067592615,16.18591041875003,15.905772284655193,15.629419829833365,15.273846738064506,15.17957596125,14.866062359848513,14.623778516470583,14.42987474457147,14.237125335694422,14.10143248216214,13.892666916315775,13.686640814487133,13.571572653875,13.373984998292658,13.280661970119032,13.071785246279077,12.969315466704574,12.836590221999959,12.642448363912997,12.493678567978714,12.368272715624968,12.205212796734724,12.0456024002,11.8322820745098
Mean,66.57189346,53.61792541410001,46.338705524666665,40.80710538805,36.49079594384,33.52065292086666,30.668105875228576,28.447298543300004,26.773319082111108,25.1083362357,23.720547985181817,22.66565586988333,21.661253823015382,20.701901615742855,20.009469689026663,19.222346622612502,18.615457628788235,18.161974513500002,17.523187093073684,17.152120436790003,16.677853638523807,16.278731053172727,15.954281697321738,15.654839973400001,15.34638113424,15.050081837261537,14.787778859703703,14.59609144850714,14.38255336363448,14.205790025166666,13.967299003232256,13.843604071325,13.6557237406,13.486308300311762,13.363648619394283,13.236732711294447,13.093800204275674,12.953552283763157,12.856787380005127,12.74335851855,12.622228604692681,12.53999730002381,12.428530844976743,12.343362809950001,12.247941434448888,12.171095892086957,12.077894739170214,11.998539661058334,11.921317601746937,11.827226697136,11.756902246811759
