,pd5,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245
Low,143.96495752500002,266.807520975,357.14987779999996,477.45229625,557.114308875,647.920263375,719.641814,805.1664004749999,854.732655575,916.355423275,988.2546639,1046.516231575,1108.772819275,1156.9819651,1209.27617545,1248.8299225,1298.965285175,1356.18263635,1399.7794295,1444.6330520000001,1483.74812195,1532.00809345,1576.7327354249999,1618.02389955,1657.1901566,1692.530615725,1730.609101725,1772.933583775,1809.40047185,1838.3208404,1884.288564275,1920.467168925,1952.39839115,1993.123270875,2034.4267095,2066.246327475,2095.420765,2135.31280685,2167.0062611000003,2197.035946725,2236.484493175,2273.50311015,2308.5303943500003,2336.70723795,2372.69895,2409.994036575,2443.685985575,2486.8323752250003,2531.412883925
High,302.749695875,470.0098377499999,608.54260895,712.9061971749999,813.805417675,896.237149775,962.741507775,1047.744049825,1107.0999939,1173.4591638250001,1237.5424449999998,1287.5377442,1339.3378193999997,1388.8231665,1436.477397,1489.404068975,1527.5057571250002,1576.62343175,1617.2785505,1658.188337075,1703.175620825,1736.5020608999998,1772.2657903250001,1815.751879775,1851.80649735,1884.851807875,1921.7511852,1955.770843175,1997.63526825,2022.895731775,2053.293530925,2093.01768115,2120.2095922,2155.406348275,2190.4687814500003,2212.9828295,2246.637281775,2278.061161925,2300.4709162500003,2335.276850025,2357.5262590999996,2388.235409675,2416.2705016249997,2440.5688833,2467.667608975,2494.98092535,2515.261373325,2539.0931096,2558.001801025
Mean,223.128193204,369.0830845,487.227894493,596.477004361,689.487669156,773.958140759,852.35395225,923.18623966,986.0794725879999,1046.663157019,1114.9757869270002,1169.017293617,1225.1589458960002,1277.085844801,1328.2839179389998,1375.048073776,1420.132765617,1470.3137163499998,1515.814549168,1557.702648172,1596.850511118,1639.590440768,1679.358406207,1719.248707043,1758.439408339,1792.327853863,1833.374497222,1869.299173096,1905.77526921,1938.609900228,1974.523681107,2009.209320664,2045.1782067460001,2080.044454408,2115.5912490520004,2144.055650704,2177.787865211,2210.7056932530004,2241.114252156,2272.394859979,2304.8541211360002,2335.974260094,2369.483091422,2397.3648794940004,2427.9255494339995,2458.8145792279997,2488.8680796,2519.819548189,2549.044084006
