"","names"
"1","Anser_caerulescens"
"2","Anser_rossii"
"3","Artemisiospiza_belli"
"4","Artemisiospiza_nevadensis"
"5","Leiothlypis_celata"
"6","Leiothlypis_luciae"
"7","Leiothlypis_ruficapilla"
"8","Mareca_americana"
"9","Corthylio_calendula"
"10","Spatula_cyanoptera"
"11","Spatula_discors"
"12","Troglodytes_pacificus"
"13","Spatula_clypeata"
"14","Circus_hudsonius"
"15","Colaptes_chrysoides"
"16","Dryobates_pubescens"
"17","Haemorhous_cassinii"
"18","Haemorhous_purpureus"
"19","Larus_livens"
"20","Mareca_strepera"
"21","Nannopterum_auritum"
"22","Psiloscops_flammeolus"
"23","Rallus_obsoletus"
"24","Antrostomus_arizonae"
"25","Dryobates_scalaris"
"26","Haemorhous_mexicanus"
"27","Aratinga_nenday"
"28","Psittacara_mitratus"
