,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250
0.5,231.66865162,327.77434084,448.565531105,526.1034057200001,606.124561885,682.07953226,749.75918835,812.88015523,901.47018693,956.70453862,1017.796840585,1075.03830353,1113.68799816,1164.72331513,1234.230801375,1263.4616094350001,1333.573559655,1361.108881805,1397.34586659,1428.7793502299999,1481.93047993,1521.74386101,1582.343151015,1627.1707476850002,1665.21850918,1693.498965175,1740.0918453200002,1786.73253946,1818.160772195,1859.78172848,1882.5657134500002,1926.92138968,1959.196719565,2002.015654465,2031.9242462200002,2062.02169082,2110.65078269,2142.9503851100003,2165.828978575,2213.9385036500003,2241.233601885,2271.43986452,2311.124424825,2342.466402495,2386.90971652,2413.88643104,2454.16219014,2487.9627907950003,2530.109467275
1,248.08728939,341.41573839,459.40846079,548.84932159,618.29128167,706.5819313000001,770.87556106,838.69739495,906.6901516099999,972.10360765,1027.78935099,1084.93836783,1126.40858626,1183.4551213099999,1248.82834537,1279.10229813,1338.37145929,1375.65224232,1407.94445327,1453.0485691200001,1517.14901692,1543.78919548,1588.70205659,1634.2191953899999,1676.6657352,1720.6029066,1759.59487779,1793.5681697700002,1834.8235927399999,1875.0126988000002,1890.99420949,1944.9599204299998,1969.98461811,2011.02261833,2049.9730622800002,2078.66292144,2117.0616068199997,2149.5220702899996,2176.33160598,2221.94410056,2247.32484213,2279.6705082699996,2317.4786138599998,2348.41185421,2391.78267951,2422.69572848,2458.18910337,2497.68323593,2542.17008844
1.5,254.974294415,358.488497905,468.20265582999997,555.592980455,635.804366435,716.9484803,781.20249905,850.457381025,913.9449397950001,980.41376115,1036.269986965,1091.10603794,1141.38989395,1196.568193865,1252.4087850750002,1290.4028242850002,1344.368072755,1384.522218095,1434.034233615,1466.606741695,1525.50868619,1553.11592204,1602.787433705,1643.0084472449998,1680.923350385,1727.57316766,1769.7955793200001,1801.42860129,1841.74116724,1882.13502904,1906.8607038,1951.3549299400001,1979.708469335,2015.02250058,2053.248040235,2081.88740376,2123.75474818,2159.745667415,2183.3821300950003,2231.3057953700004,2256.8390719999998,2287.88274877,2323.087599525,2357.28166907,2397.245899555,2425.3640398700004,2464.16332365,2501.8460972850003,2544.86890923
2,259.08900582,366.87085207999996,473.07584816,558.96885776,644.1284677,720.59002072,788.74475892,858.83070092,929.04416998,983.56188508,1040.80823022,1094.1096776000002,1149.2876038000002,1204.2095209,1255.9338140799998,1301.5666627,1353.07783764,1389.94486456,1442.55015188,1473.09091172,1527.6268747400002,1562.74189226,1607.0730066800002,1649.93222816,1688.107288,1731.88841576,1774.45871218,1805.7832747,1852.24794158,1883.8866850000002,1912.95911314,1953.1480919599999,1989.63674958,2022.32758596,2059.95271338,2088.74473292,2127.1984551,2163.35245262,2189.7798,2234.4531307400002,2259.4874508,2291.95248572,2327.18278956,2361.64290878,2399.26237108,2429.5872245,2467.1463103,2504.73236052,2547.27381478
2.5,264.441028,372.57724329999996,475.16268015,568.0012143749999,648.133410625,724.9784186,791.3791938,862.833332775,934.490522375,991.4742856749999,1047.564338425,1101.310336875,1159.9231103,1207.1960197,1263.394511425,1305.732605325,1357.556563575,1397.54123765,1447.2528946999998,1478.8101931249998,1529.858058075,1568.3461295500001,1616.066889225,1658.58975465,1692.0246548,1737.75118425,1780.803196175,1810.74469725,1856.4629063,1892.292655475,1922.86122895,1956.674012825,1992.355337175,2026.4967641750002,2065.197562175,2095.8851082,2129.556717375,2166.4270802,2197.07442385,2235.9952917749997,2261.78151095,2297.643956125,2329.5684791500003,2364.0038841250002,2401.052620275,2431.73189415,2468.0111698,2506.9047691250003,2551.8376843
5,280.80177225,388.69814364999996,494.1804846,589.2487817,670.9526951500001,741.4232060999999,820.9768942500001,886.4081493,959.9278488,1012.22340565,1068.88989485,1125.3784169,1179.6800163,1228.1312371000001,1279.41886835,1325.51060415,1376.6883082,1418.7779824,1467.2011842,1506.6873566,1549.32035485,1585.9694646500002,1631.6843807,1673.8882225500001,1707.6440983,1753.6899166,1792.0535152500001,1824.6545147000002,1868.2796829,1901.8852049,1938.05587405,1971.7524017,2003.7215623000002,2038.4309115499998,2076.49267745,2107.0737009,2142.5654749,2177.6245842499998,2210.1725356,2246.0637705000004,2272.92604075,2306.2656327,2339.8976064999997,2374.4974556499997,2412.53041725,2441.06152805,2478.39179205,2515.2915407,2560.3248697000004
10,304.4282157,416.9744977,518.564938,609.9448018,695.8264236,771.4245161,843.8374354,915.1436752000001,978.9654643,1034.9706794,1091.479167,1152.584723,1205.0305646000002,1254.2410168000001,1302.0987074,1349.4191365,1397.1025064,1441.2492187,1483.6246334999998,1529.2574724,1568.9677839,1612.8380745,1652.1739168000001,1695.2774218000002,1733.7021134000001,1772.7887322,1804.6648426,1845.6057056,1886.1064997,1918.5015202,1954.7020140000002,1984.9898609,2023.4400419,2056.7256678,2093.1921779,2123.2987817000003,2160.8701097,2189.8503568,2224.8139397,2260.6360899,2289.6363947,2321.1796079,2353.8959606,2389.0678932,2423.7043229,2452.5825234,2489.0403193,2524.8498611,2565.1563745
25,336.11738725,453.621471,551.866172,647.63486175,735.9504345,807.4281980000001,885.048588,952.101122,1018.38849025,1073.70932925,1132.2138320000001,1190.8214045,1243.189324,1290.6940175,1341.19812275,1388.229414,1432.899811,1475.1860275,1516.5257322500001,1562.0372952500002,1607.16714775,1649.47040625,1684.2874219999999,1727.5215865,1764.094771,1801.7448085,1835.3225292500001,1871.3990865,1913.63629025,1944.5850125000002,1981.2891785000002,2014.4726635000002,2050.65685675,2084.82518825,2118.91405375,2150.74217275,2182.5651185,2215.73047,2250.1938097499997,2280.24377875,2311.15811625,2344.8640015,2376.1710522500002,2408.70030875,2441.0538292499996,2470.60984725,2503.37290275,2536.676315,2569.2432664999997
75,406.8740715,531.86877375,645.4484275,729.2640269999999,821.9168215,898.47459175,966.29170725,1035.18034475,1103.79362075,1156.5961362500002,1217.64811275,1267.23433775,1324.33397025,1371.82292175,1423.9240505,1462.145954,1510.08215225,1552.2507595,1590.65630225,1637.07749225,1679.58806175,1716.1607549999999,1753.8843515,1792.776169,1828.71863675,1867.49294575,1901.991973,1940.277779,1975.58874,2004.55098175,2040.7549385,2072.98501425,2106.6494977499997,2138.84560125,2172.9457045,2207.9206445,2234.75101875,2267.4225644999997,2298.06672325,2326.69800925,2354.1060802499996,2384.1716895,2414.48305375,2445.4252322499997,2473.3433025,2498.1232155000002,2525.409952,2551.7941929999997,2576.729742
90,438.9593857,563.862536,685.9981187999999,772.7157232,858.9576594,931.8625777999999,1004.0918071,1074.4723013,1141.7698355,1191.6320193,1248.3192222,1300.3373706,1358.4451134,1401.1043855,1450.599424,1493.6150753,1538.8574725,1586.5283363,1621.3335854,1669.7023574,1711.0182243,1747.1708227,1785.1028641999999,1818.6640479999999,1856.6587614999999,1894.2697041,1929.8671273,1966.4326191999999,2001.2116819,2030.6830882000002,2064.2819235,2101.6254491,2131.3054002,2162.7175515,2196.41745,2228.6178453,2257.0206245,2285.5506771,2314.3137379,2345.2758076,2370.4054407,2401.0508416999996,2429.2226234,2456.3001627,2484.385702,2507.9030699,2533.5125166000003,2557.5497482,2578.9693675000003
97.5,477.92121037499993,602.5151946999999,720.2941981,807.8850193,898.6348758,978.8672141,1048.467221425,1117.2810983000002,1178.6458818249998,1229.8694231000002,1287.60284245,1330.590441475,1397.46204175,1433.32833455,1484.085285025,1536.154317925,1570.07409805,1618.3732803,1655.7878721499999,1701.22587045,1739.0348416999998,1782.5494571250001,1817.125481175,1846.5312304249999,1883.181018275,1922.258981125,1954.692875475,1995.433515625,2022.7947634,2059.6299101,2093.9612154,2128.2980803,2157.209048025,2189.66666245,2213.26189815,2248.2772135,2280.9620272,2306.074467075,2329.8585645499998,2363.099245975,2387.903658625,2415.692843025,2443.42028295,2467.95071825,2494.7866353500003,2516.2605872,2541.07865055,2561.8155404249997,2581.110833125
98,484.07990784,604.2885030599999,726.53089634,810.671491,902.77428058,984.1487721,1055.9256391400002,1120.65471362,1186.6297480599999,1233.138866,1292.7872576,1332.2115315400001,1399.0082349,1436.33069904,1487.82705616,1539.3728016,1576.18358178,1621.93670856,1662.5903906,1705.03644788,1743.73272774,1786.4758501,1820.77694032,1851.94201568,1887.26826528,1923.6506399,1958.83945784,1997.70827828,2025.39468146,2063.5315279399997,2095.98584094,2131.42488194,2162.4917455,2194.0588556,2214.41178394,2250.7573441,2282.4663106,2308.14009966,2332.9149252,2366.66325038,2389.3071874800003,2418.65960262,2444.83066946,2469.0144864999997,2495.7876003399997,2517.16800844,2542.11556906,2562.46938958,2581.40332726
98.5,488.50681803,609.91984565,731.3890035549999,814.78993585,905.423071625,993.970973985,1059.900036455,1125.05754758,1188.81036133,1237.533484635,1295.71494107,1337.6875095799999,1403.934437155,1441.69739028,1502.434431325,1543.608492095,1583.03866176,1626.8381678849998,1669.416562665,1713.94645227,1749.652468835,1790.05529761,1825.470615895,1859.9104824099998,1890.617903005,1928.77843026,1961.563882015,2004.607216135,2031.144060325,2066.943499655,2100.38075587,2132.97323669,2166.761740755,2197.4489092149997,2220.08936363,2252.983671925,2284.1469506,2311.0176805849997,2337.5544100800003,2370.892684755,2393.413887905,2421.255876845,2446.2026511950003,2470.66551897,2497.9773627649997,2517.83235901,2543.2221515899996,2563.478121885,2581.61063429
99,492.76906254999994,616.21714265,736.60503718,820.38536018,919.39701472,999.8061136199999,1061.1526286699998,1139.80726532,1196.07595267,1242.6929209099999,1310.1565597200001,1344.26220063,1412.25682827,1449.0787076299998,1509.7311350900002,1553.91012384,1588.05762816,1632.98570062,1675.40897942,1720.60339706,1752.0750224399999,1796.5360738299999,1831.83479393,1864.96035382,1896.91960067,1931.58628355,1968.83458904,2010.07648283,2037.2100043,2072.12124167,2103.24176392,2137.62100371,2170.0662390999996,2203.3222079899997,2221.78439818,2256.7671044999997,2286.84744094,2317.4911856199997,2340.82586526,2373.0423726999998,2397.15648725,2423.48498807,2448.73671842,2472.1289185299997,2499.16852404,2520.1633761800003,2544.17157865,2564.37572262,2582.00461554
99.5,497.27283223499995,629.391409205,752.185455665,830.56027047,929.25386565,1005.0976734200001,1084.7538722299998,1160.007025155,1206.96873264,1253.6911856,1322.53983168,1365.95841256,1435.331388555,1455.350077575,1520.866857875,1566.37030913,1594.42821056,1642.235918525,1686.8476383749999,1736.434978635,1759.600897015,1801.579131215,1837.56420221,1874.97627543,1909.656497305,1939.494706815,1982.443174325,2022.00327022,2045.754525575,2078.243387855,2108.80126323,2140.600597135,2176.801897795,2209.1181306850003,2226.8079433599996,2260.616995935,2294.0741205,2319.173255265,2349.290875835,2380.064138435,2402.986964105,2428.6904835699997,2454.24579451,2475.34283792,2502.803602365,2522.399478135,2546.317252375,2565.4920567699996,2582.26302193
Median,373.60004649999996,493.2460745,598.6975090000001,689.0385565,779.329744,854.2999595,926.530439,994.7155865,1059.1761175000001,1119.3728495,1175.3599399999998,1230.3042074999998,1280.3597439999999,1332.993382,1384.6776184999999,1427.1344255,1475.78902,1515.9357420000001,1555.231651,1601.277431,1643.249307,1685.0115704999998,1719.3614965,1758.6639135,1797.0282320000001,1834.5980195,1868.8745275,1907.161845,1942.2090185,1975.336453,2010.4024184999998,2044.581553,2079.092802,2113.6063605,2145.3038564999997,2179.968951,2210.7992765,2241.1172155,2274.716202,2303.7297415000003,2335.4704975000004,2366.0150765,2397.6838369999996,2428.8303975,2459.2593075,2486.4516814999997,2516.214785,2545.4990159999998,2573.4944004999998
Mean,371.503136092,491.821198737,599.2872827729999,689.2395956820001,777.3556136169999,852.831382035,924.698792569,993.364959755,1060.335109188,1115.778939067,1173.5112271909998,1227.0793039429998,1282.245220216,1329.658104912,1380.840130222,1424.721194324,1471.253960073,1513.598014068,1553.871270874,1599.078642348,1641.284296656,1681.620976977,1718.625984231,1758.3946732890001,1795.2469759229998,1833.2390673679997,1867.693353061,1905.900359189,1942.7635251779998,1974.3285266500002,2009.784919013,2043.6313787400002,2078.1452742129995,2110.8207748,2144.357162696,2177.6501668800006,2208.6277995889996,2240.046405224,2271.936076967,2302.6840741710002,2332.174022671,2363.152698138,2393.8321546989996,2425.0840062960006,2456.017937169,2482.7178273449995,2513.1472010840002,2542.536833107,2572.06520061
