,mntd5,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245
Low,25.808420165,28.2860197075,26.4943309266667,25.4064485675,24.094034709000002,22.598515135833335,21.287188861428543,20.606870989375,19.734916182777745,18.8816669795,18.243300801818226,17.76818352750003,16.88385532461536,16.44380635678573,16.257648900666666,15.55891197125,15.406016667058857,14.962202069444412,14.829129012631544,14.473219247,14.241577544285706,14.09432975204548,13.861909246086972,13.443263372708365,13.5538617832,13.258242125000045,13.102700702037062,12.941485888749973,12.875580548965544,12.6477233888333,12.627274055806447,12.379906599375,12.343770718787836,12.135491991764665,12.158283562857143,12.027459583750009,11.851840240405398,11.847097913552595,11.832636091410302,11.80830184725,11.80340010463417,11.65678233559521,11.63276166732558,11.63086118920452,11.57058445066671,11.504443877934747,11.536084397234047,11.547481954062468,11.607293381734651
High,117.520738575,78.26909914999999,65.4177073066667,55.03616358875,48.434600184,43.069983494166635,37.84268143071425,35.20631063124999,33.09759512666667,30.735800649999995,28.622921912727282,26.91986799291666,25.628534681923114,24.73933717428574,23.568742218666667,22.660815194374997,21.819385179705847,20.73122950111111,20.183478797105266,19.74579371825,19.382989333333303,18.703009625227274,18.196658275652194,17.680178726458298,17.3347705802,16.943381731153853,16.635800885000002,16.2344593369643,15.890523958448322,15.610556558499999,15.411889246451576,15.12470584125,14.90602252712123,14.674090288676435,14.486012244285742,14.263672506250032,14.097208577702677,13.866788269473641,13.69764866089739,13.501967319625,13.289150675975595,13.164513527380995,13.002892874534904,12.805919017840873,12.644058329555513,12.511916864239117,12.317246675425539,12.155753229062467,11.92834362418371
Mean,66.37868251619999,53.1531838508,45.90020214553333,39.97300144445,36.0058625816,32.767808341733335,30.037622015685713,27.8198586846,26.41477336408889,24.763333681379997,23.370261461454547,22.33893467155,21.19347016695384,20.541891522128573,19.749763147080003,19.183600716162502,18.582924608317644,17.951708372655556,17.493752310989468,17.04254531025,16.649594414009524,16.27532175720909,15.946458275652171,15.6773254079,15.346693962792001,15.056718461884616,14.84639706145185,14.593858217664286,14.345724342089651,14.134930415,13.99552983177419,13.743130478400001,13.617151086969697,13.444227490017646,13.311861678754285,13.148629246316665,13.026428333340538,12.883055811831577,12.791011282271793,12.653567479205002,12.55325251309268,12.430403949895236,12.338208145479069,12.232694102254547,12.144946060768891,12.063258350565215,11.975175872838296,11.891793069483334,11.806824073730612
