,mntd5,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85
0.5,58.776177456,54.046408793000005,50.199808072666634,48.7322046595,50.861631697199996,48.293701397333365,48.07227301057144,46.30929146975,46.33379467933334,45.4154322106,44.922244966545456,44.777307886999964,44.02320952215385,43.50074376942853,43.8828682309333,44.1314819345,44.9642309411765
1,65.09105331200001,58.953943494,55.78164476933333,51.385609318,52.346160348,48.72126509066667,48.8977118697143,47.465043936,47.07707478444446,46.009604846799995,46.155086236727264,45.0078423983333,44.51077680184611,44.198739494857165,44.42634291440003,44.382753507249994,44.9642309411765
1.5,68.610706134,61.466657395,57.715187080666695,53.648114949500005,52.8479810276,50.363071579,49.45871477971424,48.699483022,47.84147321000003,46.8290240788,46.58290626781818,45.155505810499996,44.85403364215388,44.74280300014284,44.4978861917333,44.661691961375,44.9642309411765
2,71.907135984,62.838862664000004,58.59196083733333,53.771960381999996,53.430582702399995,51.12267261199997,50.50823623085714,49.25891049,48.29751280800002,47.2603557704,46.87891197818179,45.4111879793333,45.211807199999946,45.085104785142875,44.6599282949333,44.7947948025,44.9642309411765
2.5,74.91918048,64.90818585999999,59.46081438000003,54.82659369,53.88260795,51.668598759999995,51.07094406857146,49.845712588750004,48.683921882222194,47.716929762,47.10343755090908,45.59883449666667,45.36816788076922,45.24751771428572,44.7794618866667,44.880304765625,45.1581375529412
5,82.86653644,69.64099172,63.9538282533333,57.973789894999996,56.120368304,54.08080303666664,52.56918182285712,51.468502795,50.00404084888892,49.033029894,47.91947430181817,46.82896458333336,45.97773120769233,45.980647952857154,45.34260136533334,45.168247179999995,45.472677382352934
10,93.94778128000002,75.78763048,67.34408780000004,62.33421678,59.484154616000005,56.690557986666676,54.59176089714283,53.355237765,51.57433652888888,50.579748384,49.250793363636326,47.86981857999997,46.957766526153826,46.62739066000001,45.94071385333333,45.5909375125,45.5947599764706
25,111.20517360000001,85.91548695,74.4645576,68.5462329,64.00723372,60.894748466666655,58.425277100000024,56.2421196,54.37156337777775,52.79212038,51.25673679090912,49.929057591666705,48.6956460846154,48.042227149999974,47.0995764866667,46.39266915,46.0168732705882
75,148.7385116,109.2742465,90.4096997666667,81.28818935000001,74.71737284,69.86386285,65.74115072857143,62.7040398625,59.954784877777755,57.920087360000004,55.829810081818195,54.004668600000024,52.34669725384617,50.662898785714304,49.481371433333294,48.08887396875,46.5858332941176
90,162.1009636,118.96855916,98.52188470666661,87.15460492,79.209401488,73.39329262666668,68.97355301142856,65.559150545,62.3443020311111,60.075651136000005,57.62528150909092,55.6710183233333,53.79681092000001,51.8241061542857,50.53696104533333,48.7734819425,47.0127137176471
97.5,176.2181868,128.82343789,105.30980155,92.17351821999999,84.577145876,77.11564004499996,72.31798434571432,68.37182441249999,64.69455323444446,62.311349721999996,59.94642775636365,57.59039532499997,55.477680002307665,53.26006061285719,51.736470286666666,49.56440483625,47.2616418823529
98,176.2181868,129.917547676,106.20476707999968,92.657587452,85.4125536224,77.77554686666663,73.18220153714287,68.762976107,64.94606745688888,62.6385420976,60.19683726472728,57.8110655466667,55.56122686153844,53.485338317142876,51.862201627199966,49.671232438,47.2616418823529
98.5,177.308972506,132.05711523,107.360303904,93.309055352,85.90383365199999,78.57265584,74.10546880057142,68.9097463815,65.42129431844447,62.916847983,60.757782185454516,58.4254857758333,55.75924486184616,53.650904077,52.0884250772,49.861454388625,47.4668440235294
99,178.89134267199998,134.877579778,108.66688474533365,94.961240377,86.4586620488,80.1726886146667,75.0415388285714,70.3304602045,66.05123532711107,63.4515250608,61.74367669490909,58.8421044846667,56.123232007384615,54.04208405885716,52.3151428896,50.17345645775,47.4668440235294
99.5,189.4536272,141.17282639799998,111.76128090066634,95.57016802950001,87.611065192,81.1007043363333,76.2514276822857,71.37751618624999,67.19625131288889,63.8626128378,62.52995259454542,59.15515482883333,56.82483758692304,54.49452093599997,52.65612358706664,50.535470743625,47.4668440235294
Median,130.6444944,97.0192858,82.6146903333333,74.64245539999999,69.73162072,65.6974926,62.1270665714286,59.596567825,57.2739932222222,55.54263528,53.3362832,51.97562125,50.600490338461555,49.4243668,48.2931258,47.237070775,46.3496874352941
Mean,129.1374106396,97.23565608340002,82.5341718268,74.5662638436,69.40045300688001,65.29953801606666,61.99466914914285,59.4466961245,57.133138843244446,55.370746672239996,53.44428692134545,51.892586943433336,50.49208037803077,49.323585982857146,48.262813785493336,47.22926092865,46.31310733623529
