"","key","b:(Intercept)","c:(Intercept)","d:(Intercept)","e:(Intercept)"
"1","low",-1.008528490942,-34.1471902047824,172.573902604377,1.022168576103
"2","high",0.692993312321434,168.765471871252,261.606137669059,0.919746934274381
