,pd5,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65
Low,312.2150111,547.0465752,764.05100425,954.245748625,1111.883525,1291.732235975,1442.6978763500001,1585.68056015,1728.417356275,1875.892021425,2004.0802883,2144.4497243,2294.778681525
High,485.656887,783.190159325,1029.237813475,1224.7468278,1405.6582098249999,1572.31812875,1736.3820955,1866.1125957,1995.9534595500002,2117.556284025,2227.0705771,2325.7823432,2415.081442425
Mean,405.65382412699995,680.280144225,901.136310821,1097.645599593,1270.228819163,1436.0814621000002,1592.957744252,1732.6420948650002,1868.118304734,2000.734470637,2124.9431058160003,2244.328991632,2359.660291191
