,pd5,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85
Low,312.6408195,546.79955135,761.6248694,935.3073056750001,1097.8678854,1269.1547741250001,1423.960531075,1561.9016581,1714.0616854,1860.061393925,2000.399452775,2146.9091273500003,2271.41383685,2420.3845975,2558.3422763999997,2694.704339625,2859.905046
High,465.39149605,779.201880525,1021.5407132500001,1228.2982628,1412.2179686499999,1587.598157875,1742.697898225,1892.2664071,2038.1279571,2169.960325475,2298.1235954500003,2428.335034125,2534.9710034,2652.1202162249997,2751.9317812249997,2852.2370281000003,2918.73663885
Mean,398.56214758999994,669.175262313,891.09391668,1080.967396747,1257.881809222,1428.316199942,1588.924185955,1734.8775191660002,1881.8126547020001,2023.8858644250001,2155.5037446219994,2290.5528837479997,2416.89887456,2543.2533800369997,2664.216558305,2783.7377354140003,2901.0618655989997
