,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215
Low,276.2335917,392.3151869,484.14229255,567.3194325,655.367028375,736.096932175,800.100423225,873.214561275,930.7658761,987.114175325,1053.0532138,1103.61504775,1161.108013825,1218.590120375,1267.726245225,1317.5639168999999,1352.80001185,1414.307066325,1448.2274896,1493.088230375,1548.59499535,1582.072551425,1628.291646125,1655.50082165,1696.953754475,1739.0059096749999,1779.9307056500002,1817.2364374,1848.772174025,1893.194746875,1923.58176925,1964.56917495,1999.01373195,2027.8743897749998,2067.01360115,2097.22047815,2135.9288225,2169.4936384499997,2205.586612275,2243.5706481,2278.46888755,2311.44398615
High,481.29276537499993,611.638981425,712.2948471,809.389178825,910.2867770250001,972.0633530499999,1044.272979975,1120.3767774,1165.200548775,1227.6588144500001,1277.7934434249999,1335.9509726499998,1381.47952985,1428.726901575,1473.412532075,1521.1318247,1557.723943025,1603.456303025,1641.9456306,1683.9029911750001,1728.70455675,1759.104311825,1802.0496690500001,1837.0326845000002,1869.674442,1912.2524072,1943.717008175,1982.3679742,2010.3415914,2050.0137521,2080.374174575,2113.9761186,2144.530779575,2170.989170825,2201.0072572000004,2235.6441443999997,2263.599605275,2296.077341175,2323.587805925,2353.7779379500003,2383.127287325,2407.83980425
Mean,376.615191749,496.427581581,599.770986613,694.1799528580001,780.483366468,854.6392241459998,927.926444841,996.045948713,1053.802811641,1115.637946097,1176.441370797,1226.845042609,1280.7762445009998,1329.483078512,1375.050201963,1421.1093715050001,1466.384048985,1511.811665581,1554.9710381470002,1595.026562307,1638.796769847,1675.9748257909998,1717.36672928,1752.011721352,1790.6034361979998,1827.979933696,1865.066957561,1900.345553081,1935.8044417419999,1972.5937109539998,2007.3521562179997,2041.361726701,2074.7504142119997,2105.667282105,2137.369948591,2172.121468026,2204.5642584509997,2236.701242927,2267.870519202,2301.0348123979998,2333.62297916,2365.22068094
