,mntd5,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255,mntd260,mntd265,mntd270,mntd275,mntd280
Low,28.47161199,29.892851585000003,27.761138816666637,25.83538300875,25.626992217999998,24.281812960833367,22.718413715000015,21.18752626,21.098730298333333,20.765831076999998,19.644188839545482,18.746333275416635,18.57414035423074,18.186419608928574,17.466587336666702,17.193016361562503,16.4997711223529,16.305780635555532,15.65614791315793,15.49268993775,15.162875976904715,14.859948831590936,14.529630439999982,14.349973174999969,14.053430068199999,13.902464085576945,13.783016093148127,13.598372680178542,13.308264217241373,13.162864002000001,13.02988238435488,12.738041584687501,12.771475253030342,12.7280246060294,12.53505131242853,12.443533854444423,12.258452398108126,12.327048228289511,12.05997992397433,11.987762419125,11.908785125731695,11.85243752297618,11.822364306976725,11.726559004886363,11.726893341666711,11.607577738478307,11.646002274574428,11.514381358229135,11.47159856714283,11.481118392099999,11.405885169411743,11.417442878942262,11.429361067547196,11.398369988611147,11.40450664663639,11.52225825
High,119.3907446,82.69806625,66.6021481883333,57.25919161625,50.60384374,46.538867106666636,42.02062786357147,38.30455488,35.48178749000001,33.8251752225,31.324867454545473,29.846727354999963,27.988142001923084,26.8941138642857,25.618055037999998,24.600164432187498,23.71330780352944,22.742283450555576,21.915735898157873,21.37306117625,20.70715281928575,20.23553759159093,19.582280646739157,19.00876688375,18.4364877766,18.138205730576924,17.691102765925972,17.167130968392886,16.90003900327591,16.600088288,16.338848767258078,16.04994700390625,15.82256701181817,15.60323813382349,15.21221466814283,15.155113242916666,14.8052766391892,14.600873280131546,14.369249207564083,14.178213448,13.911267999878081,13.784345048214284,13.629945634883702,13.446973094545472,13.352615971000041,13.181996427500033,12.994600770957422,12.895938279375,12.66297413030614,12.5774212859,12.427448800097991,12.332792110096179,12.138158052641504,12.020523404629605,11.884588258272744,11.6605348035714
Mean,70.6501060954,55.2108544088,46.70829178326667,41.8364160396,37.96231210772,34.84608596336667,32.216474779514286,29.986249846449997,28.294552434622222,26.89145402754,25.44937064850909,24.214847896133335,23.191908493461536,22.31397044982857,21.534533020333335,20.724813940824998,20.064362636894117,19.431044665922222,18.785100087336843,18.378330672460002,17.899827239095234,17.506716619536363,17.034704050895648,16.618802989641665,16.236971585735997,15.997758096023079,15.684284450296298,15.415350287278573,15.082937797151724,14.887057215979999,14.620399256090325,14.3939631615125,14.260668251345454,14.067613759623528,13.845690074217142,13.726894590327776,13.515912157978379,13.405690817126315,13.211153961841024,13.067279732954999,12.950701376424389,12.838854355680953,12.721010350144185,12.627455633827275,12.512330832666668,12.40192555088261,12.307218954268084,12.217550116408333,12.112286374269388,12.045525516724,11.948612719482352,11.872215330546153,11.806046385577355,11.72935619938148,11.665623217443635,11.594635175450001
