,pd5,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280
Low,154.20763615,274.3197398,384.89408645000003,491.018491225,577.429267375,665.3287941,741.314491775,832.1698519,886.36146575,966.396601325,1021.3185032,1095.59378545,1155.3138167749999,1206.4961744,1279.5709884500002,1316.9511994000002,1377.84438575,1429.6226071,1471.7196915000002,1521.6305419,1569.4210186,1614.539634475,1665.1665660249998,1703.835206975,1732.9524463999999,1799.32597725,1829.9204925249999,1881.6064607,1906.318526825,1940.4533882,1981.6765662750001,2024.9873842749998,2076.2869158000003,2108.594797275,2139.678431125,2178.0450901249997,2213.4440322,2254.366759,2292.8214055999997,2328.64284435,2356.141249625,2388.2625218499998,2419.58367395,2452.7907792250003,2492.94744975,2527.690645525,2553.9704952999996,2591.76316245,2628.862839975,2657.70119465,2692.1478537499997,2727.8643795499997,2757.29239675,2797.231864475,2832.0590968250003,2887.6894798000003
High,305.898876,496.47928354999993,635.73266275,745.852868175,858.380660275,943.1648372249999,1018.863127675,1101.13613705,1178.831446875,1246.8965206999999,1301.42246785,1360.4183065999998,1421.441995225,1478.033310175,1519.6584411499998,1575.2754897999998,1625.61263775,1674.5488899499999,1719.1879067250002,1770.7858143,1811.3138638,1843.7417673,1889.153810625,1934.426942725,1975.107472675,2002.8171459,2046.189669025,2082.76031805,2122.036069225,2150.3108887,2188.0555584999997,2222.961659525,2257.8335462249997,2292.24638455,2318.337438675,2353.5727585749996,2384.968597375,2419.868438825,2453.4379451749996,2476.808195525,2507.2629821749997,2539.8658892000003,2565.311605025,2601.103144625,2627.4572149,2654.85114605,2684.030775625,2711.367991225,2737.020586475,2762.80854795,2791.923302425,2816.02596315,2840.183181325,2863.448815325,2885.0601778,2901.373491
Mean,230.460205107,384.1146177460001,507.640462612,619.074460006,715.08598081,804.881408249,886.402328647,969.16439816,1036.125065305,1108.13268369,1171.167571404,1231.410307279,1293.028351603,1350.4209013339998,1404.6122874779999,1453.0857924850002,1508.980894723,1556.08295405,1602.9938903109999,1649.3437819819999,1693.609237297,1739.7717253140002,1781.5798448060002,1823.666333375,1864.738607579,1904.2366245219998,1943.751471037,1983.903406832,2020.020416011,2057.021294486,2094.534267908,2132.0140390730003,2169.891700159,2204.726389684,2237.995806489,2273.3400580780003,2307.255734171,2341.318621731,2373.472158634,2405.933790953,2438.597777548,2469.960815975,2502.917552029,2532.752841946,2566.910595607,2596.3915304670004,2625.5991128129995,2658.1730595209997,2688.639890707,2719.674586551,2749.718658806,2778.826249957,2808.0849590469998,2837.933106527,2866.926678301,2895.831163132
