,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255,mntd260,mntd265,mntd270,mntd275,mntd280,mntd285
0.5,20.8393680185,22.137196399333366,22.573740122,21.4089390316,22.636430733666636,20.836893195714314,20.472531845875,19.05672370499998,18.6207167185,18.418418921272735,17.743206170583367,17.370001990384598,16.57731981114283,16.4159437143333,15.218529941375,15.520034703470552,15.293898391944456,14.90375550873682,14.69370396035,14.432801078571423,14.370234046772682,13.762360142043526,13.300961270958366,13.208237021279999,13.09001403938463,13.177930919111096,13.005764243964329,12.792249133517219,12.567694690400032,12.404128106677387,12.47767928565625,12.2286065083939,11.725124416705901,12.0513106613429,11.953765593166645,11.883860284513563,11.832612530236862,11.657233167153876,11.536060795925,11.529212591512223,11.378169726928618,11.393595672348871,11.217751935204591,11.271693955422254,11.311767061782653,11.204232558148952,11.171695073291668,11.090224171244904,11.1070270411,11.108527514803871,11.0870195931731,11.040674051339641,11.058359703259258,11.011977117854546,11.109759251071386,11.150909671122854
1,23.153668673000002,25.322386454000032,24.085431612,23.0088948788,23.3284306273333,21.63552917714287,20.82128731225,20.03829937133333,19.364289761600002,18.843905822545427,18.468813794999967,17.62243143676926,17.0137409004286,16.601108310800033,15.838072640625,16.048422531294076,15.564609415999989,15.097673014105306,15.072772713300001,14.773513017523792,14.542082344727264,14.04541227765214,13.815110858583365,13.60581255352,13.354103233923116,13.398320984666675,13.171237212000028,12.87746808931034,12.785205861866666,12.517390726258075,12.646293195250001,12.39233636709088,12.170272816000006,12.2369351652571,12.125570276388922,11.999480407081057,11.967936222421041,11.77249675164103,11.7267965168,11.634308717219522,11.568283891952401,11.480536881906986,11.31593143763639,11.3622578816444,11.353399798913065,11.300873059446777,11.255085841791699,11.20964378355105,11.140009967440001,11.161455287607856,11.15827918723074,11.103745726452782,11.10370273385186,11.078554478872762,11.1449440045357,11.193288686947414
1.5,26.3946490725,26.718949993666698,25.16496195225,23.6417248276,23.782607423,22.2958713662857,21.581717723625,20.9201177457778,19.815508193499998,19.04433353772729,18.71210344475,18.12285813276921,17.631409608999974,17.016573236466698,16.3300118540625,16.113526304941146,15.772093729944467,15.254033641052631,15.1456918611,14.99097602004763,14.698864219045454,14.21097925399997,13.972617687375,13.756421980199999,13.53328249373073,13.544060960555578,13.209152667285728,13.07500931148279,12.913181926800002,12.667916038258046,12.70293166509375,12.457923084272771,12.33402640850002,12.318470244085729,12.236329182444399,12.081572882594557,12.007148465736863,11.835941687846192,11.778091204825,11.689564949024428,11.620314368714258,11.56142673683721,11.434692266636398,11.417026644000032,11.398864743826092,11.361432929702161,11.3204525505417,11.272749651897962,11.23548546164,11.2291927462745,11.190511071634608,11.146556393717004,11.150788873000034,11.11912078794542,11.171720465375042,11.215249727508784
2,29.13329417,27.173894428000033,25.752535727,24.172120976,23.968241912666635,22.76177300857147,21.889818396,21.21166734311107,20.023717991999998,19.229991086909138,18.9881682696667,18.322378002461523,17.89319783171427,17.2298452538667,16.6220072225,16.36333446964701,15.866361515777799,15.451692463789454,15.2892184266,15.053654455619,14.831348746000007,14.375535156173918,14.184993744000032,13.82616515056,13.640324177692309,13.640095265925885,13.289515848285728,13.167827738620716,13.0218923345333,12.875466084774166,12.809014060625,12.533682961696966,12.437290798588199,12.381586836342816,12.261424357444444,12.154985602594584,12.03300325831579,11.874894463794895,11.8653296341,11.749992193756102,11.669603649142905,11.610728180651154,11.499625848272691,11.459187895022234,11.468854378782597,11.380597924936136,11.3637880523333,11.304956368163232,11.281959996,11.264747884862786,11.201993532692336,11.173679306716961,11.178628065037083,11.149714172363593,11.180760175928544,11.245503944280658
2.5,30.723898895,27.950623098333335,26.1353169825,24.501835798,24.249354128333366,23.074373316428588,22.287031524375,21.453935357222257,20.311362387499997,19.533267180909053,19.074420766250032,18.54400092038465,18.0458089832143,17.49335516933333,16.8212365159375,16.56582127764707,15.992125600277777,15.568825085789515,15.4055063575,15.270758616428596,14.978594343636319,14.447922882608678,14.236406001458366,13.9278551484,13.698685336730799,13.67082656981481,13.360703610714312,13.29395974172413,13.056215136833364,12.90905711887094,12.843900671875002,12.60762628878787,12.5263589957353,12.4044763072857,12.324452470833345,12.217874315405401,12.098865394736858,11.904996511666713,11.89910281875,11.829879566951185,11.754712525357132,11.65685513872096,11.528439768636373,11.539823976444413,11.496869776304395,11.416252412234048,11.387608669583333,11.365045930714311,11.3258789444,11.277979120392141,11.222280830576885,11.19139753509431,11.19473912333329,11.183582872909128,11.19995747776787,11.266005688596458
5,35.02806057,30.898255409999972,29.2186445075,26.943267073999998,25.8628656383333,24.412324737142818,23.47127580625,22.205988845555567,21.399075231,20.46463709909091,19.838225131666633,19.218618119230722,18.677146919999974,18.087670965999997,17.316448236875,17.013271710588274,16.38452577333331,16.23724774421051,15.840023846000001,15.617282903809526,15.313404007272725,14.867857804347846,14.64668642249997,14.4119039992,14.121047066153826,14.058576584074094,13.66457316857144,13.5672713558621,13.287192313000029,13.165938104838675,13.0580137765625,12.861306663939354,12.707377534705909,12.63012475485713,12.472111230277765,12.377507823243231,12.252420982631566,12.12651880384613,12.029453250749999,11.996234143658544,11.902895027619081,11.737294955581376,11.677990383409075,11.664962648222264,11.594734811304349,11.536687876383006,11.496886851041701,11.477035339183645,11.408425927,11.37313527960788,11.314891632500006,11.303507732264158,11.260546347962995,11.251271111272722,11.259714440714259,11.318237931578935
10,39.59884119,34.85209662666667,31.965912165000002,29.33482148,27.79554761000003,26.01725163714286,24.739330995,23.670088526666667,22.540870086,21.438974861818178,20.86590666999997,19.93040000153848,19.34482000857139,18.804329382666698,17.96662823125,17.6227155270588,17.18489266666665,16.734705267368433,16.375787262000003,16.13650675523806,15.819428294545451,15.251004845217361,14.98968887749997,14.760375298400001,14.478815493076901,14.35028454740744,13.9729359892857,13.81976890413794,13.60177038466667,13.41719448129035,13.268858439375,13.14192928060607,12.99750605117651,12.86361296285718,12.7177978533333,12.55336245783788,12.49285902263155,12.32068901333334,12.289830052000001,12.166732635609769,12.09531787380952,11.94209868744187,11.892038051818218,11.817078883555531,11.7567170895652,11.68060760936168,11.6143454179167,11.60073751306123,11.5217636148,11.47773414862745,11.43095979346155,11.39489663660381,11.3534480059259,11.31128957600001,11.31859191607147,11.346739819999991
25,46.5709495,40.4339048833333,36.7283777375,32.99907108,31.00132806666665,28.9550231714286,27.3897879625,25.814510905555526,24.315772865,23.415115668181823,22.429094116666647,21.477306896153827,20.603167035714275,20.04896059,19.084049059375,18.70785949117645,18.175075802777748,17.761229023684177,17.218149905,16.843304007142823,16.598083972727252,15.945002091304325,15.7361253083333,15.461098902,15.080120930769226,14.934443290740724,14.581765012500025,14.369988429310375,14.154796366666675,13.928726285483876,13.7432744984375,13.552025857575725,13.47192194558825,13.267369542857175,13.121410412500001,12.987223200000024,12.833815497368425,12.6674260346154,12.595032745000001,12.4699474182927,12.39051435595235,12.26358229767445,12.1628962693182,12.085352839999999,12.007511604347824,11.932786107446825,11.8393383895833,11.7724275663265,11.703241586999999,11.654985262745075,11.59650181346155,11.5361225037736,11.476540556481474,11.436498516363624,11.4032048107143,11.376328557894698
75,65.271683875,54.22898391666665,46.9352795625,41.98247011,38.7220220166667,35.512113121428555,32.745487893749996,30.653370327777775,28.777355485,27.53551911818185,25.9732259,24.699085465384577,23.7034944214286,22.851643493333324,21.976871396875,21.17293499705885,20.5325878388889,19.895859663157875,19.356735715,18.760813,18.299028954545477,17.797034408695627,17.3477826583333,16.9932555,16.57422686730765,16.294905268518526,15.9313626910714,15.662130396551726,15.403700034999975,15.14509852419355,14.937205028125,14.680222633333324,14.47814872647055,14.225126225714273,14.009543493055576,13.883838041891925,13.66393665526315,13.50591550384615,13.377128876250001,13.176998098780524,13.06361931666665,12.905767859302301,12.7805152204545,12.6654937966667,12.518028825000025,12.418920563829825,12.295236538541674,12.172109021428525,12.098326558,11.989277267647076,11.914433012499975,11.808474115094299,11.7285859703704,11.632396594545451,11.530191810714275,11.440344880701776
90,73.02778314000001,60.36543139333336,51.21541826,46.271289656,41.89344009333333,38.73391945142861,35.322833785,33.01244659333332,30.760393416000003,29.279312181818153,27.625335093333362,26.41398534153848,25.11809604714282,24.20545000266664,22.97425095375,22.231127652941222,21.623841538888893,20.83219302210528,20.2110846,19.573075861904762,19.02361038000003,18.63268487043479,18.14223879749997,17.717547595200003,17.186137799230742,16.94376106814818,16.47623567428569,16.27149640827587,15.95582621000003,15.67405633999996,15.39199491125,15.14476454848486,14.88763694529411,14.652179540000011,14.41460861555556,14.24503627729727,14.04780737526312,13.82855330051286,13.721732624500001,13.46655783804881,13.40316635095236,13.2033509274419,13.05915578090912,12.93449217511108,12.76824277173911,12.6491043757447,12.4927816325,12.3651335612245,12.2579378136,12.1415110007843,12.05969573115389,11.924512847169831,11.82674902888893,11.71865017381821,11.59233551464288,11.46834346280706
