,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285
0.5,65.49399549599995,74.08639596047617,79.0503748771842,80.9796608094,84.63148170910348,85.79321643717648,85.7943963274551,83.84204088114137,88.73307179416732,88.38822234305054,90.63936205249432,91.34896876367308,91.00268483187578,92.0476354745369,91.60827953790344,91.6689461128235,92.73012827615601,92.85359994266518,93.23706838311915,93.1376610151319,93.49337838255215,94.00450464402593,94.23232625223106,94.5072171355703,95.4245843243256,94.9539187265108,94.83256683168136,95.44766272600286,95.72187484211767,95.66402617916125,96.02699570574336,96.32053589388762,96.38804237900735,96.38147573767749,96.85318117110488,97.22197412683725,96.89082438636538,96.5122100552704,97.14502144440155,97.12680717719557,97.57387416389248,97.71295512973266,97.67618194745332,98.0197482242294,97.67022768394287,98.0632139970405,98.04501952444333,98.33479056222015,98.64495822103626,98.59602517164674,99.02125834830856,99.10365657691825,99.31956157616273,99.39185412695576,99.70380605437902,100.10633624764137
1,68.80894609844445,75.9041968685714,82.48587638684205,83.09790604899997,87.8090994210575,87.12606920110923,87.77431236191029,87.6869312011515,89.66740234662036,89.80518423796636,92.29073270524293,91.72180172464427,91.76767742537479,92.50911986350994,91.97064158026267,92.77340690291878,93.63383419457426,94.11453735225086,93.88132976174548,93.54198112050547,93.84653641157966,94.93038218611133,94.81906616770164,94.78542210646451,95.71372506384733,95.27125151087007,95.61456285143166,96.1928799649962,96.16551061563396,96.16295289206198,96.2662283199654,96.77315497647444,96.79873430943405,96.78802170106403,97.16071800234077,97.37982002809753,97.13236142356948,97.2512122227935,97.39273565150954,97.78315804075079,97.72830827263206,97.96059294653679,97.9369480804591,98.16016786526346,97.98287825102373,98.28943728022551,98.44626845246167,98.59102868470191,98.78162569890864,98.79015890006917,99.15264532052832,99.24803965416409,99.46474373378024,99.42118218527935,99.7900195117529,100.10690174045
1.5,70.79001359699997,77.39223583885713,84.69040350107899,85.0491142832,88.42777336535636,87.98790400075633,88.60218757609618,88.94530150485856,91.1123378922041,90.47693960680132,92.44950763853954,92.09275694806252,93.02923640624225,92.99913527635671,92.40693884841134,93.58133712086834,93.73804167161668,94.42992673015898,94.38217007565756,94.15673997320877,94.59358270984903,95.2189657509275,95.16423255584587,95.2502663811677,95.88363771025637,95.69885446337206,95.77567463614287,96.58050825056799,96.2985128118474,96.4236282808462,96.60883810754441,97.02337247114852,97.06403824037314,96.99376430367751,97.267074199405,97.56513659943066,97.48282395459093,97.40750782111127,97.61414442649647,98.01735488400244,97.94898454936272,98.08408631343278,98.02152546224967,98.32702619432621,98.18251185333888,98.38425898868994,98.56824812895431,98.66045220490227,98.79098059874252,98.87567876296033,99.19315515141535,99.28733537068635,99.49978213140497,99.48837933303356,99.82063954986671,100.11449118905053
2,74.15563338222226,79.03890968038094,85.38991574821054,85.75808771453333,88.98224874381606,88.87122034393282,89.14572861479489,89.84646861094944,91.46152868546942,91.52077295892252,92.94393979571754,92.5831781959423,93.39313959916356,93.24209943028468,93.13951199415821,93.88634938263309,94.21478157234958,94.94570992895855,94.6707602696485,94.6465478355678,95.03076927012509,95.50252559441645,95.46227042216523,95.57401040942455,96.08319558681455,96.1222779733112,95.98852652335869,96.75706635105745,96.53204156987199,96.8515219501232,96.7827974349654,97.18260457726234,97.42822870303517,97.30934033923413,97.3735734987126,97.73760732214105,97.59988168501592,97.55020753149564,97.68020715206633,98.13446572852413,98.08098791862379,98.21126894633338,98.11880515303531,98.49257748674444,98.39436069716427,98.44367374460379,98.61581241170013,98.75000172713143,98.90678599881441,99.05516917357046,99.25363465562997,99.37428724143166,99.52676994128767,99.55733213904716,99.83992331580134,100.12523914300661
2.5,76.73824835888891,80.68554386142858,85.88783616618421,86.78660649533336,89.30551037000001,89.2692240479832,89.58539018788458,90.68465874676767,91.63287988312248,91.98226741225592,93.33451792490115,92.88299327805287,93.72565105492752,93.42259427385589,93.80445458500795,94.06553404033615,94.45768807579904,95.14658373939533,94.97930620213133,94.85543018551277,95.21640794231864,95.62774287221967,95.88948592729695,95.96520731622576,96.30454843635066,96.30865087066334,96.22306832233295,96.88974091482282,96.5760753389552,96.9468418338752,96.9290404221836,97.31808218576127,97.54108412430558,97.44497916298852,97.50954062923188,97.88411121108398,97.74347245344056,97.72379808114992,97.79033289615957,98.27591919576757,98.16698830607085,98.39324092731363,98.21429252717209,98.55486552352576,98.50080192561614,98.57672492181122,98.7347365395284,98.80496699628301,98.95536586945462,99.09431244346456,99.29274651734929,99.41707204534016,99.54729326936187,99.61118254818845,99.86718556257169,100.12794462619674
5,80.88365546666665,85.079675547619,88.06166847921048,90.45138384900002,91.89916921712644,91.23586330453779,91.70907492557696,92.57027459888893,93.56096677338773,93.25026935313127,94.50578231237287,94.56159234033652,94.73972844757759,94.8167211843243,94.96585543712025,95.39142480907563,95.81807324463169,95.96008942795072,96.19926793476769,96.01810188580588,95.9533848286322,96.81659570170864,96.68374404397754,96.78148021701935,97.14258342809777,97.08869129385297,97.09307602727644,97.51080658608242,97.22776201506932,97.48234793069129,97.47479249756681,97.85733105962302,98.02352276263484,97.95077335673558,97.97221729887644,98.26964378437131,98.17756711596489,98.12924396964314,98.41361346974368,98.52874862578197,98.50608693349513,98.70900432550312,98.63087705346824,98.82126739419837,98.82294217783748,98.92358592393526,99.0690950168427,99.10238500971565,99.17109455973973,99.32476023859807,99.45451758318231,99.55342769168098,99.7129720259259,99.73492755402526,99.92242631633003,100.14701846346425
10,86.0255790533333,88.99776576380955,91.63444526105265,93.07719588866668,93.80987337172418,93.55768052369751,93.67162998487177,94.75122791010104,95.33008563526529,95.26719924619526,96.12486360785311,96.10615919153844,96.15693289569357,96.30103893953158,96.48705541987343,96.45720936162462,97.05581316052435,97.05889792595741,97.07347218789901,97.11854782992674,97.28217854265222,97.52904250273072,97.50410889585432,97.54161834185804,97.80320722254022,97.79267428627973,97.77979295347377,98.27572834178162,98.18532953061296,98.16466367525766,98.23097107706762,98.38423208171467,98.5530193001392,98.53761964510998,98.60589116421473,98.77613746638069,98.68549413366748,98.62914142194026,98.9090612833015,98.99054138470588,98.89110593527454,99.06191188522492,99.0905895778788,99.23585064432542,99.16186864938675,99.27124044286602,99.33450281556837,99.38744765805285,99.49561065738149,99.53942773633476,99.62010470839918,99.71471317538591,99.85345080934046,99.90905595000402,100.04779987262161,100.1899261658315
25,94.62365473888887,95.59843721904764,96.74246885657897,97.09439524999998,97.4370594643678,97.00961845714285,97.23977988044871,97.94045512676767,98.13917678673468,97.94988517643098,98.31730937259888,98.3304779401442,98.23767530455483,98.44461042252254,98.36706341740505,98.3938266429972,98.8231614880774,98.77351266315787,98.83224463924239,98.83782409926741,98.69330273786491,98.96981017559118,98.9477982267857,99.17840801825805,99.05390807173521,98.98867081509123,99.1955700748715,99.29609083922415,99.42486011765104,99.23928874264766,99.3847319015527,99.4843645505174,99.51910134014969,99.46766134660095,99.66127729958097,99.62864144864865,99.59291468738512,99.57553876182928,99.61972312712312,99.73058027190338,99.61048547490313,99.74117276509455,99.76694009954338,99.78257013416668,99.7654671102525,99.81515771847607,99.87076219802995,99.91087145928402,99.95476857704415,99.94901651352475,99.9941034904514,100.05420950717524,100.13187342816325,100.123852871201,100.207852641724,100.31149599990124
75,108.5990206,106.22173116666625,105.25229741447374,104.9098383683335,104.7001446534485,104.3630028890755,103.6226724522435,103.44850601969675,103.4005044442855,103.0778308212125,102.97795996991499,103.02112483028826,102.707808495652,102.5365903082885,102.46023590601226,102.38368234775875,102.455979097191,102.418736288802,102.1951001437375,102.05185096685,101.94689472835675,102.01389623211274,101.95248514754925,101.89768113019375,101.90622408953476,101.7313633381425,101.745706857631,101.71940622567024,101.76106954512325,101.45796633741125,101.5811223705385,101.544647590244,101.37058565913699,101.306990288867,101.4825278475015,101.414748743684,101.37574956978574,101.3282523402325,101.2492885263695,101.27459408091825,101.19266153203475,101.1556792093245,101.12677934162525,101.108351617361,101.098546588893,101.0602335182395,100.96488666063449,100.96193422062524,100.88145636483524,100.91058661729224,100.81298403801625,100.78510564250999,100.759561412908,100.66872697207725,100.6232247623015,100.5249928981965
90,112.55658714888901,110.1172489580952,108.6358411247371,107.759363449333,107.0640174641375,106.7956271643698,106.0209290753847,105.42793394505051,105.3051934540406,105.0485394676094,104.6470911863838,105.039333728365,104.6201565270395,104.19908000828829,104.0702053449363,103.89393799955151,103.9069508217725,103.7178007843674,103.4584614929695,103.3091300065933,103.21084927658029,103.2065111715944,103.130684076541,103.0776676730578,102.8893901404534,102.8330815964178,102.8117105584176,102.8819619926057,102.747546195579,102.4530380645997,102.5404520245044,102.3881618293127,102.2640455796453,102.1958274014315,102.2548456100869,102.1835104022209,102.0910770607905,102.0869911980329,101.9541524505979,101.90194206260189,101.841401688266,101.725789806807,101.7156566677795,101.70528920801621,101.6515652040518,101.4949941848263,101.4466031819487,101.36748385653361,101.3032286683792,101.2868723318448,101.1641391538933,101.1104421746943,101.02419873612011,100.8975224048414,100.7751853484048,100.66499002220421
